Quest,Acquisition,Walkthrough
https://masseffect.fandom.com/wiki/Tuchanka:_Turian_Platoon,"Prerequisite: Priority: Sur'Kesh
The mission is acquired immediately upon return from Sur'Kesh.
Primarch Victus brings to Shepard's attention a ship the turians have lost contact with, the details of which he would rather discuss away from the ears of the nearby Urdnot leader. A NavPoint on Tuchanka becomes available on the Galaxy Map afterwards, ready for investigation. If Shepard talks to Victus on the War Room, the primarch emphasizes that it's classified and says just enough to change the journal entry.
Once acquired, it will remain available until the completion of Priority: Thessia, after which it becomes inaccessible, and is considered failed.","Once on the ground, you will contact Lieutenant Victus, who tells you he is under attack from Reapers and will shoot up a flare to tell you where to go. Proceed forward and pick up the SMG Magazine Upgrade on the left. Then climb up the ladder. Proceed forward to the three Husks, and kill them. Then salvage the Spare Parts (3,125 credits) buried in the rubble and climb up the next ladder. Continue forward, jump over the gap and pick up the M-9 Tempest next to some dead turians near a crashed turian escape pod.
First Escape Pod[]
Surprise on your side for a change
Continue forward and you will get a chance to ambush three Cannibals. While you are fighting them two more will appear, and may attempt to flank you in the circular room so watch your right flank. Once they are all dead, a Harvester will appear. It will flee once about 75% damaged. You may be able to kill it, but if you do, you may trigger a bug (see bugs section below) that prevents completing the mission. Drive it off before it takes out the escape pod for a bonus 300 experience, plus compliments from your team.
You can't get across to where the turians were, so turn right and climb up the ladder. At the top, just to your left will be a Sniper Rifle Spare Thermal Clip. Step down from the ledge and continue forward to salvage some spare parts (6,250 credits), then backtrack slightly and take the path that was to your right. On the ground ahead of you will be the Phaeston assault rifle. Keep going forward and turn left at the dead-end T-junction to pick up some SMG Ultralight Materials. Return back to the other hallway and go down the ladder.
Second Escape Pod[]
Head straight ahead and pick up the med-kit on the right across from a dead turian. Keep going forward and around the corner. Sneak up on the Marauder and Cannibals and take them out. Again a Harvester will fly in, this time dropping off some husks for you to fight. Chase it off quickly for another bonus 300 experience, plus compliments from your team. Since you can't get to the turians, turn right and drop off the ledge. Lieutenant Victus will come in over comms asking about your ETA. Proceed forward and pick up the Hahne-Kedar chestplate on your left. Another drop down and you will find a flight recorder on the ground on the right. Slightly farther ahead on the left will be a Shotgun Smart Choke. As you approach the open area, another Harvester will drop some husks and fly off. Take them out and salvage the Junk (3,125 credits) on the dead turians before going down the ladder.
Harvester Battle[]
Tarquin Victus tries to put some fight back in his men
The same Harvester will then drop off some Cannibals and Marauders. Take them out and chase the Harvester off. Continue forward, down the ramp, and around to the right to find a med-kit on the ground near a fire. Drop off the ledge ahead to find a Sniper Rifle Extended Barrel. You will see some combat in the distance to your left.
After a final drop off a ledge, you'll see a fairly open area to your left, the site of this mission's final battle. You may wish to make a save before proceeding.
Warning:  It is possible for one or both squadmates to get stuck on the ledge of the final drop into this area, preventing them from fully joining you in the upcoming fight. If this happens, reloading a save can un-glitch them.
As you round the corner into the area, you and your squad unleash a few war cries as several waves of Cannibals and Marauders start dropping in, also accompanied by a Brute, which you should prioritize taking out.
Note:  Move forward along the right to find a Reaper Blackstar heavy weapon that will greatly help in taking out the Harvester that shows up eventually and serves as the ""final boss"" of the mission.
A squadmate will call out when the Harvester reappears during the battle. Pay attention to the L-shaped cover in the corner in the left part of the battlefield. It can protect you from frontal attacks, flank attacks, and the Harvester's blasts (though not grenades). The central pillar located between this cover and the Harvester blocks line of sight to the Harvester leaving it without targets. Enemies will continue to spawn at this point, but their supply is not infinite, so you might want to focus on eliminating all minor enemies before going after the Harvester, though the explosion that occurs upon the Harvester's death will kill all enemies that remain, instantly ending the fight.
When you're done, move forward and talk to Victus. You will receive Tuchanka: Bomb, a timed mission, and will return to the Normandy. Talk to Hackett, who will give you 12,500 credits, and then talk to Primarch Victus."
https://masseffect.fandom.com/wiki/Hades_Nexus:_Prothean_Sphere,"Prerequisite: Priority: The Citadel II
Listen to the refugee in Bay E28 on Docks: Holding Area or point #4 on the area map. He's begging the turian guard for some food in exchange for the location of Prothean ruins.
Alternatively, a Search and Rescue operation in the Hades Nexus will yield the sphere and this mission's journal entry. In this case it is labeled Citadel: Prothean Sphere.","Help the bald guy get some food (and some soap - those are dirty hands) by turning over the artifact to him
The Hades Nexus only becomes available after Priority: Rannoch. That is a gap of at least 4 Priority missions from earliest mission acquisition to mission completion: pretty sure the refugee's family will be starving for quite a while even if you decide to help ASAP. Scan Gei Hinnom in Sheol in the aforementioned cluster. Give the artifact to the refugee when you return to the Citadel: you'll instruct him to sell the artifact to the Alliance on Shepard's authority.
After handing over the artifact, you will gain 5 Reputation, 15,000 credits and an update to the Alliance Engineering Corps War Asset. If you talk to the refugee again, it turns out he used the money to buy food not only for himself and his family, but also for some others who are also trapped on the station."
https://masseffect.fandom.com/wiki/Citadel:_Improved_Power_Grid,"Prerequisite: Priority: Palaven
Prerequisite: N7: Cerberus Attack
Alison the technician can be found to the right of the Purgatory entrance looking at a datapad in her left hand. Listen to her complaints to acquire the mission.
Alternatively, both the item and the mission's journal entry can be acquired during a sortie against Cerberus on Tuchanka.","Note: This mission must be completed before doing Priority: Tuchanka as it will be the last opportunity to visit the Citadel in its present state. It is no longer available the next time the civilian areas reopen, after Priority: The Citadel II.
Blocky krogan computers? Still far more powerful than the one you're using now
The schematics can be obtained examining the Old Grid Schematics on the console in front of the controls for the cannon during the N7: Cerberus Attack mission on Tuchanka. Shepard quips it's not the kind of krogan ""relic"" they expected to find. Note:  It is temporarily unobtainable when Cerberus cuts the power to the consoles, then available again once you've restored the power. Take the schematics before using the cannon to demolish the Cerberus cruiser in orbit, which ends the main mission.
If you didn't retrieve the power grid schematics from the mission you can buy an equivalent from Spectre Requisitions in the Citadel Embassies for 1,000 base credits.
Whichever way you acquired the schematics, turn over the item to Alison, who is still standing outside Purgatory. Completing this mission gives you 5 Reputation, 30 experience and 1,000 credits. It also updates the Alliance Fifth Fleet War Asset.
Interacting with Alison after turning in the power grid plans allows you to overhear Alison's continued call, where she suggests donating a portion of Purgatory's profits to a krogan charity, in gratitude for designing the new power grid."
https://masseffect.fandom.com/wiki/Citadel:_Kakliosaur_Fossil,"Prerequisite: Priority: The Citadel II
Prerequisite: Priority: Geth Dreadnought
Listen to the salarian talking at the Apartments of the Presidium Commons. He is standing outside of Apartment 90, discussing how the krogan would benefit if they had the currently extinct kakliosaurs to aid them in battle.
If you never listened on his comm conversation, the mission objective and journal entry are obtained during a Search and Rescue operation in Argos Rho.","The war strategist gesticulates on reinvigorating this Earth film franchise called Jurassic Park in 2186
The Argos Rho cluster only becomes available after the Geth Dreadnought's destruction over Rannoch. Scan the planet Intai'sei in the Phoenix system of the said cluster. After gaining the artifact (a kakliosaur skull), speak to the salarian War Strategist, who's still standing outside the apartment. He quips that kakliosaur DNA is remarkably pliable and the cloning facilities on Sur'Kesh should have battle-ready units produced quickly.
Completion of the mission gives you 5 Reputation, 15,000 credits, and updates the Krogan Clans War Asset. Further eavesdropping on salarian indicates that the krogan have already begun riding the kakliosaurs into battle and don't mind how the creatures mark their territory."
https://masseffect.fandom.com/wiki/Omega:_Assist_Harrot,"When entering Aria's Bunker following the operation to gain the aid of the Talons, the elcor Harrot has appeared next to a Harrot's Emporium terminal. In order to gain Aria's favor, Harrot asks Commander Shepard to retrieve Aria's old couch, which Oleg Petrovsky had thrown out of Afterlife after the Cerberus conquest of Omega.
Note that if Shepard refuses this mission, Shepard will not have the ability to alert Harrot upon encountering the couch.","Aria staring at her couch
At the beginning of The Assault on Afterlife segment of the mission Omega: Aria T'Loak, defeat the Cerberus forces in the water treatment facility. When the bridge across the water channel is destroyed, raise the dam and cross it to the other side. Immediately on your right, there should be an access ladder on the side of the catwalk that descends into the part of the channel that was just drained. Climb down, and beneath the destroyed bridge are the remains of Aria's couch in a pile. If you interact with the couch Aria will ask: ""Is that my couch?"", and the mission will be completed."
https://masseffect.fandom.com/wiki/Citadel:_Medical_Supplies,"Prerequisite: Priority: The Citadel II
After returning to the Normandy from the Citadel you will be notified by Specialist Traynor that the medical officer (either Dr. Chakwas or Dr. Michel) wishes to speak with you. Go speak to her.","Time to use some tact on Tactus. Or just yell at him, whatever works.
Go to the Docks: Holding Area in the Citadel and head to the refugee medical center in Cargo Hold B. There you will find a turian named Tactus on the right hand side. When you talk to him, he recognizes you but states he is unwilling to give away the refugees' medical supplies due to a combination of his distrust of the Alliance, the dire situation of his people, and the high value of the supplies.
If you have enough reputation, you'll be able to convince Tactus to trade supplies as Chakwas/Michel had suggested by emphasizing either the potential mutual benefits or the stark military realities. If those dialogue options aren't available or you want a larger morality point reward, you can give your supplies away asking nothing in return for +15 Paragon points. Asking Tactus to reconsider will result in his refusal, as he states he can likely get a better offer from the black market, though you can still talk to him again later to reopen the discussion.
If you successfully negotiate a trade, speak with the medical officer to finish this mission. If you haven't yet brokered the trade, the doctor simply tells you it would be good if you did, and the mission remains open in the Journal."
https://masseffect.fandom.com/wiki/Priority:_The_Citadel_II,"Prerequisite: Priority: Tuchanka
The mission is acquired immediately after dealing with the genophage and is triggered by the first visit to the Citadel after that, thus causing almost all uncompleted Citadel-related side-missions to expire. See the preparatory notes on Priority: Tuchanka for details.
Priority: Citadel II itself is a ""point of no return"" for Grissom Academy: Emergency Evacuation, which must be completed prior or it will become unavailable and be considered failed.
Finally, although it is not possible to visit the normal Citadel locations between Priority: Tuchanka and the completion of Priority: Citadel II, purchasing items from the procurement interface in the Normandy's Shuttle Bay is still allowed. It is also possible to visit the newly unlocked N7: Cerberus Fighter Base or any other side missions before heading to the Citadel.","The mission begins when the Normandy approaches the Citadel but is not cleared for landing. Joker contacts someone inside the Citadel—either Thane Krios, or Armando-Owen Bailey—who explains the situation: Cerberus has attacked and partially taken over the station, including C-Sec Headquarters and the Docks. Shepard deploys with a team in the shuttle to clear them out.
Note: Thane will appear in this mission only if he is alive and he was talked to prior to completing Priority: Tuchanka.
C-Sec HQ[]
If he's breathin' he's workin'
Shepard lands outside C-Sec HQ, and must fight uphill against Cerberus Assault Troopers, Combat Engineers, and Centurions supported by Shield Pylons at the far wall. Don't advance down the central path just yet as there is a Turret already in place there—you can take it out from where you were dropped off without getting hit. Be aware that once most of the initial enemies are cleared out and you approach Bailey, more Troopers will jump down from directly above the locked door.
Tip: Right when you're dropped off, instead of taking cover directly ahead, there are areas directly behind you and also to the left that may give you more room to maneuver and put you out of reach of any grenades.
Once you've actually cleared out the area, head up the ramp and access the medical station on the left of the door, before talking to Bailey. There will be a short cut scene where Bailey briefly explains what happened. Bailey lets you inside C-Sec HQ, where he discovers that the salarian councilor (Valern if you saved the Council during Sovereign's attack; Esheel otherwise) has likely taken refuge in the C-Sec Executor's office. If Garrus is in the party he will note that the councilor mentioned Udina and that the executor's office is a defensible location. Bailey directs Shepard's party to the office; Shepard will also converse with Thane if Thane is still alive.
Inside C-Sec[]
Cerberus sure likes their sleeper agents
Go through the two doors behind Bailey to see two Assault Troopers across the hall with their backs to you. Once you take them out, two Guardians and an Engineer will come down the stairs on the left. Go up the stairs. To the right, you'll find a terminal, a Med Kit, and an Assault Rifle Piercing Mod.
As you advance farther into the room, two Assault Troopers will crash down from ahead, then two more after that. After you take care of them, examine the C-Sec Corpse to find it was another inside job like Mars. Bypass the door to continue. Opening the second door, take out the Guardian looking the other way. There's two Centurions blocked from view on the left of the Guardian and a Combat Engineer in the elevated room on his right. Once clear, loot the Recon Hood from below the big screen to the left. The bathroom to the left contains the M-76 Revenant beneath the first sink, and a locker (+6250 credits). Examine the C-Sec Corpse on the bathroom floor for comments from your squadmates, disgusted at Cerberus. Finally, there is a Medical Station on the wall next to the room's exit.

Facing the wall during an urban assault is never a good idea
As you walk along the corridor, an intercom goes off. Through the broken windows to the left, you'll see a Combat Engineer with his back to Shepard. Take him out, and jump into the room to grab the Sniper Rifle Extended Barrel on the shelf. There's also a weapon bench if you want to change your setup. Break the latch on the elevator controls (if it wasn't destroyed during the fight with the Engineer), and activate the elevator.
As you take the elevator, Bailey asks about any survivors. There won't be anything to shoot in the next area, so just pick up the items: a Pistol Piercing Mod in the room on the right, along with a terminal of Bailey's Personal Log; the M-25 Hornet down the middle passage on a C-Sec corpse right before the malfunctioning door; a Securitel Helmet and Pistol High-Caliber Barrel mod in the small room next to the locked door on the left side. To open this door, go to the room next to the malfunctioning door and use the first terminal for the Door Control. You'll find a datapad describing the actions of a weapons smuggler and a possible conspiracy, as well as a sample of said weapon, the M-358 Talon. Finally, go back to where you found the Door Control to exit this area. On the way out, salvage the 'Account Detail' terminal for 6250 credits.
Reaching the Executor's Office[]
Spot the councilor in this picture
On the other side of the door you'll find two more preoccupied Cerberus soldiers, this time executing a C-Sec sleeper agent who has now ceased to be useful. Take them out and enter a cafe area, with the kitchen on your right. This is one of the better places to hole up, because a number of Cerberus soldiers will flood in and you have to fight them off. Just beware that there's a set of stairs leading downward in the middle of the room, and to clear the enemy from it you'll need to physically go there. It might also be wise to post one of your teammates in the hallway next to the kitchen, so that Cerberus can't flank you from there.
Two medical stations, one inside the kitchen and one on the far wall, are available if you need the help. There's also 6250 credits against the back wall of the kitchen, a Sniper Rifle Piercing Mod near the far wall (you'll likely see it during the firefight), and—for a bit of flavor—a flatscreen TV in the corner of the cafe broadcasting a news report. It's Khalisah al-Jilani, covering C-Sec's attempts to reclaim the Citadel's comm towers so that they can send a distress call. She is doing her part by looping footage in her broadcast range, attempting to contact C-Sec to gather reinforcements.

Kai Leng[]
Greetings and goodbye
Up the stairs against the back wall, you'll find the executor's office. He's dead, but the salarian councilor is nowhere in sight. A disturbance in the cafe area you just left alerts your squad members to the place, revealing the councilor who was under cloak the whole time. Before you can get down there, Kai Leng will arrive to ruin your party. The salarian councilor gets out the critical information that Udina is planning a coup before one of several things happens:
If Thane is alive and was met at Huerta Memorial prior to this mission, he will intervene and put up a fight against Leng, saving the salarian councilor but getting stabbed in the process.
If Thane is not around but Captain Kirrahe survived the events of Virmire, Leng will attempt to kill the councilor, but a cloaked Kirrahe will take the blow instead, dying in the process. As he was never a member of the Normandy's crew, Kirrahe's name will not appear on the ship's Memorial Wall.
If neither character is around to intervene, Leng will kill the councilor.
Note:  If a Mass Effect 2 save has not been imported, neither Thane or Kirrahe will be present.
Shepard calls Bailey, and Bailey unlocks a C-Sec police car for Shepard's pursuit. Using transponders, Bailey determines that Udina is leading the Council to a landing pad near Shalmar Plaza, where Kai Leng is presumably waiting for them. In his spare time, though, Leng decides to interfere with Shepard by attacking the police car with his sword. This proves effective, damaging the vehicle and putting Shepard's party on foot in the Commons.
Presidium Pursuit[]
Cerberus sure likes to make an entrance
This next fight may be the first time you'll be facing two dangerous Cerberus foes: Phantoms, who have biotic barriers, are extremely agile and have a melee-range one-hit-kill; and Nemeses, who are shielded and have a powerful sniper rifle that can destroy shields or down fragile squadmates like Liara in one shot. Keeping your distance, or using disables on them like Concussive Shot, Carnage or biotics such as Stasis or Dominate, is your best bet against them. It is also possible to shoot and break a Phantom's sword, but this can be difficult without pinning them down with something like Stasis first.
The first area has a stairway that will allow you to circle around the Cerberus lines and attack them from behind, but this is not necessarily advantageous: both Phantoms and Nemeses are agile, and Phantoms are most dangerous at close range. On that note, the first Phantom you meet flips out of a shuttle that flies in from your right—be sure to give it a wide berth. Next you'll have to take a running-jump to a new section, but some Nemeses may have taken up station on the other side of the gap, so you may want to take them out first. More Nemeses and Phantoms appear once you're across, and this section has significantly less room to maneuver so you may want to consider leaping back across the gap. This creates an effective choke point, and if you have Stasis available, use it on enemies who attempt to jump the gap: they'll fall to their deaths when it expires.
Aerial shot of Shalmar Plaza
Head down the parking garage towards the door, which Cerberus will seal behind them. Jump the wall to your right and then keep heading up towards Shalmar Plaza using the Citadel's ""back alleys."" You'll find a datapad (+6250 credits) after jumping across a broken gap and going up some ledges on your left. To continue from that point on, put that pad behind you and you'll see the next alleyway. The next zone has an Atlas in addition to more troopers and an engineer.
Take out the Atlas ASAP as it continuously spams smoke grenades to conceal itself and its allies; there's plenty of cover on your left judging from your initial point of entry to the scene, and even with smokescreens you can hardly miss its bulky frame. Not far ahead is the stairs to an elevator that will take you to the Council; an alternative strategy is to simply ignore most or all of the enemies altogether and run for it.
Stop Council Elevator[]
Elevator music
The final combat zone of the mission can be easy because enemy reinforcements approach via elevator cars, all of which have Power Conduits on the top and bottom that you can shoot out, halting the lift car's progress entirely. However, this zone can also be challenging because the cars come from both sides, and some contain Phantoms. There is also no room for maneuvering and very little cover. There will be three elevators that need to be taken out, coming from Shepard's right, then left, then right again.
Snipers will want to shoot cars as they arrive. There is not much margin for error, but the tasks themselves are not difficult. Time dilation via Adrenaline Rush, the Sniper Rifle Concentration Mod, or Operational Mastery will give you more time to line up shots, or, simply spray away with a high-rate-of-fire weapon—there's enough time to reload between elevators and there is no further combat in this mission unless a Power Conduit is not destroyed in time. Overload, Energy Drain, and other instantly-hitting powers are especially effective when used by Shepard; other powers that launch projectiles may miss the mark due to the elevator's movement. Squadmate powers will hit the target instantly, making their powers (including grenades) more useful for stopping the elevators. You will gain 60XP each time you knock out an elevator.

Final Confrontation[]
The last elevator holds the Councilors as well as the Virmire survivor (Ashley Williams or Kaidan Alenko), who detects your landing once you jump onto the cab and immediately fires at you through the roof. The Council and Ashley/Kaidan quickly exit the elevator, only to find their escape shuttle destroyed. As Ashley/Kaidan orders their return to the elevator, Shepard and squad finally reach them, jamming the elevator door behind them to stall Cerberus' forces.
Humanity's second Spectre now stands between you and the Council, gun raised.
A Paragon interrupt allows you to de-escalate the situation by lowering your own weapons, but other than that it's all about trust. A variety of factors determine whether Ashley/Kaidan can be talked down. Starting at 0, the following table details the choices that influence the Virmire survivor's overall trust level:
Factor

Yes

No


Romanced Ashley/Kaidan in Mass Effect

+2

+0


• Cheated on them in Mass Effect 2

−1

+0


Saved the Council in Mass Effect

+1

−1


Kept Kirrahe or Thane alive through to Mass Effect 3 and save the salarian Councilor (otherwise Udina will produce a fabricated video of Shepard assassinating the salarian Councilor)

+0

−2


Shepard was kind to Ashley/Kaidan during Priority: Mars

+1

−1


Visited Ashley/Kaidan in the hospital once (when they were awake)

+2

+0


• Admitted and/or apologized for cheating on Ashley/Kaidan (if Shepard did cheat on them in Mass Effect 2)

+0

−1


• Visited them in the hospital a second time

+1

+0


Lowered their weapons against Ashley/Kaidan during the final confrontation

+1

+0
Final trust level:
−1 or below
→ Ashley/Kaidan cannot be talked down


0–3
→ Reputation check


4 or higher
→ Ashley/Kaidan automatically sides with Shepard
""If we don't figure out something, 'maybe later' will be an epitaph on a mass grave of eleven billion.""
If Ashley/Kaidan sides with Shepard, they will stand down. Either they or Shepard will order Udina to step away from the console that controls the elevator doors; Udina refuses and the asari Councilor tries to stop him, only for Udina to shove her down and pull a gun on her. A Renegade interrupt allows Shepard to shoot Udina, with Ashley/Kaidan taking the shot if Shepard does not.
If Ashley/Kaidan doesn't trust Shepard sufficiently, they refuse to move and Shepard is forced to go through them. A Renegade interrupt will allow Shepard to pull the trigger; if it's not taken, a squadmate will do it instead. Shepard will then automatically shoot Udina."
https://masseffect.fandom.com/wiki/Citadel:_Dr._Bryson,"Prerequisite: Mass Effect 3: Leviathan
Prerequisite: Priority: Palaven
Check your private terminal for a message from Admiral Hackett ordering Shepard to assist Dr. Garret Bryson as soon as possible.
Urgent message from Admiral Hackett
Commander, there's an Alliance researcher working on the Citadel named Dr. Garret Bryson. I need you to meet with him right away.

Dr. Bryson has uncovered important new information about Reapers that could have a direct bearing on the war. I'm officially directing you to support his efforts at the first possible opportunity. Please visit Bryson's laboratory on the Citadel at once.
Obtaining this mission starts the Mass Effect 3: Leviathan mission chain.","Travel to the Citadel. The location Dr. Bryson's Lab becomes available once this mission is obtained, so go there to begin this mission. On the Galaxy Map, this mission is labelled ""Meet Dr. Bryson"".
Didn't this walkthrough just claim there's no combat involved? Then why are there casualties?! Literally unplayable 0/10 won't ever trust again
The first few moments is introductions between Shepard and Dr. Bryson. He works for Task Force Aurora and their mandate is investigating myths and legends about the Reapers. You have opportunities to inquire about his mission and steer the conversation at no gain in morality points. Most of the team are out chasing leads, and Bryson beckons his assistant Derek Hadley for data on something called ""Leviathan"". Before Bryson can reveal more about this latest discovery, however, Hadley shoots him dead.
Hadley turns his pistol on you. A Paragon interrupt presents itself - taking or not taking it is purely dependent on player opinion, you won't die either way. Hadley is subdued, and C-Sec is contacted and arrives at the scene shortly afterward. EDI also comes in and helps sort through Dr. Bryson's files.
You now turn to interrogate Hadley, who has no memory of recent events. Again, no morality points whatever your conversation choices. Another interrupt, Renegade this time, can be taken, which has consequences on dialogue only.
Let's turn our attention away from the ominous creepy ball at the moment, the matter will be dealt with in due time
EDI suggests Hadley has been indoctrinated. Hadley explains his task force's activities, but once the conversation turns to Leviathan he seizes up and cryptically discourages Shepard from pursuing the matter before falling down unconscious. The C-Sec guards then take him out for medical attention.
EDI plays two video logs between Bryson and Hackett from the computer's logs. Bryson claims the Leviathan of Dis uncovered by the batarians is a Reaper, and the thing that killed it is the real ""Leviathan"". The second log indicates that the Reapers themselves are shadowing Bryson's teams in the search for this ""Reaper-killer"". Bryson formally requests assistance in tracking it down, and it appears Shepard is the help that was requested.
Upon completion of the playbacks, this mission is considered complete and disappears from the journal. The next mission is triggered.
Mass Effect 3: Leviathan Navigation




Mission Index

Next Mission →




Missions

Citadel: Leviathan I"
https://masseffect.fandom.com/wiki/Citadel_Arena:_Geth_Challenge,"Prerequisite: Citadel Docks: Retake the Normandy
Following the conclusion of Shepard's identity theft crisis, the Armax Arsenal Arena opens up along with the rest of Silversun Strip. After completing one match in the arena, check the Combat Sim Controls to read the following e-mail:
Wrecking Machines
From: CU Engineering Club

Commander,

Your match got you quite a following here at the Citadel U. Engineering Club. When we heard you were in the arena, we polled the club for what kind of dream matchup they'd like to see. Funny thing--the votes came in and not a lot of people wanted Reapers or Cerberus. (I guess that's too much like the news.) They wanted to see you take down the geth, like the old days. So they're getting some friends together and I wanted to ask, could you do one just for us? Geth, on the Blasteroid map?

We can't really afford to pay you, and you're probably doing pretty well for yourself anyway as a big-time Spectre and all that, but some of the engineers here are in weapons research. Give us a game, and we'll make you a mod? Is that too gauche?

Thanks,
Dave Shanel
Anti-President, CU Engineering Club","You need to play a combat match in the Armax Arsenal Arena against geth on the Blasteroid map. This challenge is not mutually exclusive with other arena challenges and can be completed in the same match as other nonconflicting challenges, such as the Citadel Arena: Medi-Gel Challenge. However, since it is the first challenge you receive, you will not have all the match options available to you without completing non-mission matches.
The fans will send a follow-up e-mail after successful completion of the match. After you read the e-mail, you'll receive the SMG Power Magnifier weapon mod and +2 Reputation points.
RE: Wrecking Machines
From: CU Engineering Club

Commander,

That was cosmic! There's nothing like seeing you on a wallscreen with people throwing corn chips and booing every time a geth makes a hit.

As mentioned, our engineering club went to town trying to make a mod for you. Enjoy!

Dave Shanel
Anti-President, CU Engineering Club

P.S. Since everybody always asks, ""anti-president"" is just a title that indicates we're not terribly serious around here. Come to think of it, maybe you should test that mod before trusting your life to it..."
https://masseffect.fandom.com/wiki/Silver_Coast_Casino:_Infiltration,"Prerequisite: Citadel: Identity Theft I
The mission's journal entry is acquired after entering the target casino.","Silver Coast Casino Floor[]
Brooks is required for this mission, EDI is not allowed into the casino because she's a mech/AI, so pick one of any other team mates. Since there's no shooting or fighting in this one, pick anyone you fancy, because their role is to distract the security at your call, or provide some comedic banter along the way.
Black tie required. None of them are wearing it.
Shepard and the team get the red carpet treatment upon arriving and they just smile and wave. The dialogue here will vary depending on certain factors, including Shepard's gender, who you have with you, if you're currently romancing the person you brought with you, and if you had your scars healed or left unhealed.
Once you are inside, move up the stairs and onto the casino floor. You will only have control of your other squadmate as Brooks will head directly for the shaft. Mingle with the guests for a little bit. Brooks will eventually call you up because there is a problem. Head up the stairs and to the shaft.
Tip: There are several more periods during this mission where you are waiting for Brooks to contact you to continue. If for any reason you want to speed through, saving then reloading the save should skip the waits.
Play cat-and-mouse with some security cameras for extra credits
Once you find Brooks, she mentions there is an alarm on the grate. Brooks gives Shepard a pair of resonance emitter lenses, provided by Liara, which allows Shepard to see and follow underground circuits. These lenses cause Shepard's eyes to appear yellow for the remainder of the mission. Also, if Shepard is an Engineer, Brooks will comment on this and your technical expertise.
Be careful when in visual range of guards or cameras as your security threat will rise if you make it too obvious what you are doing. Follow the blue wiring. The junction box is at the other end of the upper level guarded by a camera. Liara will upload a program to bypass the camera, but once you start don’t take too long as it doesn’t last very long. Bypass the box and Brooks will get in. Since this could take a while, mingle a bit more.
On the roulette side, you get two guards on alert. On the varren race side, you got a camera and a single patrolling guard.
After mingling a bit more, Brooks runs into another problem: there is a guard right beneath her. Distract him for a bit to allow her to pass. Shepard will tell the guard there is a red sand user in the bathroom and he will move to confront them. Brooks will radio she is clear, so back to mingling. Be careful to avoid setting things off. There are two ATMs on the ground floor you can get at for 3000 credits each and some Renegade points, but you have to bypass the respective cameras to do so.
When Brooks contacts you again, she has run into two problems. EDI and Liara come up with a solution, this time requiring you to follow red wiring. They lead to opposite sides of the casino: a terminal near the roulette tables, and another near the varren race tables. On the left is the pressure pad. You have to distract a guard and a camera. Send your squadmate to distract the guard, bypass the camera, then the security device. You have now two problems, two guards. Send your squadmate to distract one, the stationary one, and watch the patrolling one for the right moment. Be careful when you try and go, because if you get seen, you become suspected. Mingle immediately or it will be critical mission failure.
After bypassing them both, Brooks says that she is at the panic room and will be bypassing the lock. However, she misses one of the security devices and gets caught. EDI tells Shepard that she can call the guard to tell them it is a false alarm, but you need to reach him before that happens. It is the same guard that you talked to earlier. Once that is over, Brooks will radio she is clear so get back to talking and playing games if you feel like it.
To get to the safe room, be mindful of the timing and the guards' attention.
Brooks will finally radio she is in and now you need to meet her. There is one camera that you need to take care of, yellow wiring this time. This area is filled with two guards and two cameras. You can’t do anything about the patrolling guard, but you need to do something about the stationary one. Just keep an eye on the former. You have to be fast.
Once the patrolling guard turns away from the first camera junction box, move. Send your squadmate to distract the stationary guard, then bypass the first and second boxes, while keeping an eye on the patrolling guard. Then hurry and bypass the camera box while ensuring you are out of visual range of both guards. Once you are done, you are inside.
Safe Room[]
Once inside the safe room Shepard tells Khan they are going to have a talk, except Khan can’t talk because he is dead. Brooks manages to get into the terminal, but finds a deletion order on it. Brooks starts to beat herself up but Shepard calms her and then examines the terminal for mistakes. Bingo. They wiped the terminal but not the comm. Shepard activates the comm and a face appears on the screen over the mantel, distorted beyond recognition through signal degradation.
Follow the conversation. Eventually the figure says that they will take everything that Shepard is and everything they own. As the conversation cuts, Brooks says she couldn't trace the call. Shepard orders them to remove the drives and get them back so EDI can analyze them."
