Mission URL,Category,Overview,Story/Walkthrough
https://reddead.fandom.com/wiki/Outlaws_from_the_West,Chapter_1:_Colter,"Half frozen, close to death, and on the run, the Van der Linde gang find shelter in an old abandoned mining town. Dutch, Arthur, and Micah head out to look for supplies.","Following a failed ferry robbery in Blackwater and the Van der Linde gang's subsequent escape into a snowstorm in Ambarino, the gang is barely holding on, with an injured Davey Callander on the verge of death. Arthur Morgan subsequently appears and informs Dutch of an abandoned settlement where they can stay for the time being. As the gang arrives, they rush Davey into a cabin where he succumbs to his wounds. In response, Dutch gives a motivational speech pushing the gang to stay strong and turn Colter into a temporary camp. He informs the gang that he and Arthur will go scouting for food and supplies, then subsequently leave the cabin.
Arthur and Dutch go scouting for supplies and any sign of Micah or John Marston, who were sent to do the same. They soon encounter Micah, who tells them about a nearby homestead and leads them to it. As they arrive, Arthur hides behind a cattle shed and Micah hides behind a wagon whilst Dutch goes to speak to the people inside the house.
As Dutch is speaking, posing as a lone traveler lost on the trail, Micah notices a body in the wagon and alerts Arthur, who tries to calm Micah down and remind him that Dutch should be the main focus. The men in the house, who turn out to be members of the rival O'Driscoll Boys gang, begin to threaten Dutch, ultimately leading to a shootout between Arthur, Dutch, and Micah against said O'Driscolls.
Once the shootout is over, Dutch tells Arthur to help him search the cabin for supplies. Arthur finds food and ammunition, along with clues of what happened. He may find a pool of blood on the floor along with a photograph of the previous inhabitants of the cabin, a husband and wife.
As Arthur finishes searching, Dutch tells him to search the barn for anything of use there. Arthur enters the barn and is ambushed by an O'Driscoll who jumps on him from the loft above. A brawl ensues, which Dutch observes in amusement as Arthur easily subdues his opponent. Once the O'Driscoll is defeated, Dutch tells Arthur to beat information out of him. The O'Driscoll informs Arthur of an O'Driscoll hideout southwest from their location, by a lake, and also hints at a train robbery they were planning. Once he's talked, Dutch gives Arthur the choice of sparing or killing the O'Driscoll, or Arthur can simply knock him out unconscious. If the player lets him go, he'll appear in a later mission only to be killed.
There is a Tennessee Walker inside the barn which Arthur must calm. Dutch then tells Arthur to lead the horse to a hitching post outside the house, and that Arthur should keep the horse. As they do so, a commotion is heard inside the house, caused by Micah taunting a frightened woman, who had been hiding in the cellar. The woman is terrified, throwing plates and knives at Micah, who is only amused. Amidst the chaos and Dutch attempted to calm down Micah and the woman, the house catches on fire from a knocked lantern. Dutch gently disarms the woman, whose name is Sadie Adler, and calms her down. He offers to bring Sadie back with them, keeping her safe. The four then return to Colter as the house burns down."
"https://reddead.fandom.com/wiki/Enter,_Pursued_by_a_Memory",Chapter_1:_Colter,John Marston has not returned from an earlier scouting trip. Arthur Morgan and Javier Escuella ride out into the snow to look for him.,"Abigail Roberts is concerned with the safety of John Marston, who hasn't been seen in two days since going on a scouting mission. She asks Arthur and Javier to find him. Arthur is noticeably reluctant, but agrees to go with Javier to retrieve him after being persuaded by Hosea Matthews.
Arthur and Javier ride together, and soon Javier spots a camp in the distance and speeds up. After riding for a while, the pair come across John's horse, frozen and mauled to death. Javier fires his gun to see if John hears, and in the distance, he can be heard calling out for help.
Arthur and Javier leave their horses and continue on foot, climbing around several ledges. They find an injured and bloody John and carry him back to the horses. As the three arrive to their horses, they are attacked by three wolves, which Arthur kills on the way.
As Javier and Arthur ride back down, Javier spots another group of wolves and spurs his horse into a gallop. Arthur kills the wolves and there are no more wolf attacks for the rest of the journey. Upon arriving at the gang's camp, John is carried inside by Bill Williamson and Lenny Summers, whilst Abigail berates him."
https://reddead.fandom.com/wiki/The_Aftermath_of_Genesis,Chapter_1:_Colter,,"Pearson informs Arthur that the camp is very low on food, and that soon people will begin to starve. Arthur and Charles decide to go hunting for food, and ride for a while before stopping to track an animal.
Arthur follows Charles for a while, and when Charles picks up a trail, Arthur goes to his horse to get his bow. The pair then stealthily follow the deer trail, trying not to scare the deer. They find it and Arthur kills it with his bow.
Arthur tracks a second deer and kills it, then puts the carcass on his horse whilst Charles puts the carcass of the first deer on his. As they are traveling, they encounter a bear roaming around. Charles advises Arthur to keep out of the way, despite there being more meat on the bear. It is up to the player whether they may try to kill the bear or not. Afterwards, they take the deer to Pearson's butcher's station and Arthur skins it."
https://reddead.fandom.com/wiki/Old_Friends,Chapter_1:_Colter,"Looking for information on the O'Driscolls' planned train job, Dutch leads the gang to attack their camp at Ewing Basin.","Arthur enters the men's shack at Colter and finds Micah Bell and Bill Williamson arguing. The fight almost turns violent before Dutch enters and scolds Bill and Micah, saying that Colm O'Driscoll is the one who needs hitting. As the gang members head to their horses, Arthur asks if attacking their long-time rivals is right given the gang's current state. Dutch tells Arthur to stop doubting him and says that they need more information if they want to hit the train the O'Driscolls were planning to rob. Dutch gives Arthur a Carbine Repeater and a lasso and the gang set out.
On the way, Dutch sees hoofprints in the snow and they follow them. He reminds the others about his hate towards Colm after he killed Dutch's lover Annabelle and how their rivalry began after Dutch killed Colm's brother in retaliation. The gang soon reach a cliff edge overlooking the O'Driscoll camp. Dutch assigns different positions to Micah, Bill, Javier Escuella and Lenny Summers before he and Arthur scope out the camp. Using binoculars, they see Colm on his horse, shouting at and hitting one of his men, who then leaves on horseback in fear. Colm follows suit, but Dutch decides that they shouldn't deal with him yet. Dutch and Arthur slowly creep down towards the camp unseen, during which Dutch reassures Arthur that this is not a revenge mission, merely a way to find more food and supplies.
After taking cover in the camp, the player has the option of firing the first shot themselves or let Dutch do it instead. Regardless, the gang engage the O'Driscolls in a gunfight and soon defeat them. As they search the bodies, a gunshot erupts from the woods as more O'Driscolls attack. After dealing with them, the gang search the camp; Micah finds some plans for the train robbery and Arthur finds some explosives in one of the buildings. Their mission accomplished, the gang members begin their ride home. Dutch congratulates his men on a job well done and proudly tells them that they will always be one step ahead of their enemies, outsmart them and never be beaten.
As it gets dark, Dutch sees the same O'Driscoll Colm assaulted earlier standing ahead of them. The O'Driscoll panics and rides off, so Arthur chases him and easily catches up before hogtieing the man and putting him on his horse. Arthur then heads back to camp with the O'Driscoll, whose name is Kieran Duffy, whimpering and begging for mercy the whole way.
Back at Colter, Arthur brings Kieran to Dutch, who tells Bill and Uncle to tie their captive up in the barn and starve him, despite Kieran insisting that he hates the O'Driscolls. Dutch congratulates Arthur and assures him they will get Colm eventually."
https://reddead.fandom.com/wiki/Who_the_Hell_is_Leviticus_Cornwall%3F,Chapter_1:_Colter,"In need of money, and with the plans and explosives stolen from the O'Driscoll's camp, the gang rides out to rob Leviticus Cornwall's private train.","After reaching the train, Bill goes out to set the explosives, and Arthur goes to help him. They set up the explosives, and sit back for the gang waiting for it to go off. Unfortunately, the explosives do not work and the gang goes after it on horseback. Lenny and Arthur jump aboard the train, while Javier falls and is wounded when he misses the jump.
Once on the train, Lenny and Arthur advance through the train in order to stop it. Arthur stops the train and a shootout commences between the train guards and Arthur and Lenny. After the shootout ends with the guards getting killed, the rest of the gang catches up to them. They find the train car with the bonds inside as well as employees that have locked themselves inside. Dutch attempts to persuade them to open the door, but the attempt fails and so they resort to using dynamite to open the door.
Once opened, the employees are forced out at gunpoint, so Arthur, Lenny and Micah go inside to look for the bonds. Arthur eventually finds them, and once outside, Dutch lets Arthur decide whether to spare or kill the passengers. This choice does not affect the story or mission in any way - it only affects the player's honor."
https://reddead.fandom.com/wiki/Eastward_Bound,Chapter_1:_Colter,"With renewed strength and the weather finally stable, the gang rides down from the mountains to set up camp at Horseshoe Overlook.","After the gang decides to move east to Horseshoe Overlook, Arthur gets on a wagon with Hosea, and the rest of the gang gets on wagons and horses for the ride.
After crossing a stream, one of the wheels on Arthur's and Hosea's wagon falls off. Charles, who was riding with Bill, stays back with them to help. While putting the wheel back on, Hosea points out that some Native Americans are watching them from a nearby cliff. After fixing the wagon, they continue on the path to Horseshoe Overlook."
https://reddead.fandom.com/wiki/Who_is_Not_Without_Sin,Chapter_2:_Horseshoe_Overlook,Arthur goes to find out what Reverend Swanson is doing at Flatneck Station.,"Arthur arrives at Flatneck Station to look for Reverend Swanson. He finds him beyond intoxicated, playing poker with two men named Luther and Marvin. After he passes out, Luther asks Arthur to play the Reverend's hand.
If Arthur does, he will play poker with the men until either one of them busts out, until five hands have been played, or if the player decides to simply leave the game. Arthur gets up to leave, and notices that Swanson has gone.
Arthur searches for him, and finds him being beaten by a man. Arthur fights the man and defeats him, then chases after a nearby shepherd, who had seen the fight, and stops him from getting the law. The Reverend is then seen on the railway bridge, and has gotten his foot stuck in the tracks. Arthur runs onto the bridge and barely manages to save him from a passing train, after which Swanson apologises to Arthur for all the trouble he caused and passes out again. Arthur takes Swanson back to camp, and leaves him in his tent to sleep it off."
https://reddead.fandom.com/wiki/A_Strange_Kindness,Chapter_2:_Horseshoe_Overlook,"Wanting the gang to lie low after the trouble in Valentine, Dutch asks Arthur and Charles to scout out a new camp location at Dewberry Creek.","After getting involved in a shootout in Valentine, Arthur rides back to camp to find the gang packing up. Dutch says that Micah told him of a good hideout spot at Dewberry Creek, and sends Arthur and Charles to check it out.
Upon reaching the dried-up creek, the pair notes it's a poor spot and they find a dead body in the riverbed. They soon find a small camp nearby and a German family hiding under a wagon. The family could hardly speak English. However, the daughter managed to communicate that the father had been kidnapped. Arthur doesn't want to look for him, but Charles convinces him, and the two ride off to search for the man.
They follow a horse trail and reach a clearing by Flat Iron Lake. They find the father tied up, but are attacked by bandits. Once the assault has been put down, Arthur unties the man and takes him back to his family. While riding back, he tells Arthur (in German) his family runs a gold mining business, and he was being held for ransom. Arthur doesn't understand what the man is saying. On returning to his family, the man gives Arthur a gold bar as a token of appreciation for rescuing him.
Later, the rest of the gang meet up with Arthur at their new campsite. Dutch likes the look of it and assures Arthur that they will make the best of it."
https://reddead.fandom.com/wiki/Exit_Pursued_by_a_Bruised_Ego,Chapter_2:_Horseshoe_Overlook,"After spotting a huge bear up by the Dakota River, Hosea and Arthur ride out and track it.","Hosea tells Arthur in camp he plans on going hunting. Arthur agrees to go with him, and the two decide to take a black Shire horse to Valentine to sell. After Arthur sells or keeps the horse, he can buy a new horse. Arthur and Hosea then set out for Grizzlies East, where a Legendary Bear is located north of O'Creagh's Run. On the way, the two make camp and cook rabbit. In the morning, Arthur crafts bait, and the two set out. After reaching their location, Arthur and Hosea track the bear to a small area in between two large rock formations. The trail ends, and Arthur has the option of splitting up and look for the bear separately or set the bait.
If Arthur chooses to set the bait, the bear doesn't appear, and he and Hosea check it, but while doing so the bear suddenly appears in front of them. Hosea hides while Arthur shoots the bear multiple times with his revolver, and it flees.
If Arthur chooses to split up, Hosea will go left while the player goes right. After a while, Arthur hears Hosea shouting for help. He runs and sees the bear chasing Hosea. Arthur shoots the bear multiple times with his revolver, and it flees.
After checking on him, Hosea states that he's heading back to camp. Arthur can decide if he wants to stay or go back to camp with Hosea.
If Arthur chooses to go back to camp, the player will fast travel with Hosea back to Horseshoe Overlook.
If Arthur chooses to stay behind, Hosea will leave while Arthur remains in the area, allowing the player to hunt for the bear."
https://reddead.fandom.com/wiki/The_Spines_of_America,Chapter_2:_Horseshoe_Overlook,"To prove their business credentials to the Emerald Ranch fence, Seamus, Arthur, and Hosea attempt to rob a stagecoach from Old Bob Crawford at Carmody Dell.","Arthur will arrive at Emerald Ranch. Hosea is seen talking to Seamus. Hosea greets Arthur and introduces Seamus as their new prospective business partner. Seamus tells Hosea that he has problems with trusting them and believes they are amateurs. Hosea convinces Seamus that he and Arthur can prove themselves to him. Seamus asks them to steal a stolen stagecoach that was purchased by his cousin-in-law named Bob Crawford, and if they are able to achieve the task Seamus states that he is willing to do business with them. Seamus tells them that Crawford lives around Carmody Dell. Seamus states that Crawford has money in his house and they can take the money if they like. Seamus tells them not to kill anyone. Once Arthur and Hosea arrive at the house, the player has the choice to rob during the daytime or nighttime.
If the player chooses to rob during the daytime, Hosea will distract Bob Crawford and his son Bob Crawford Jr. Arthur can steal stuff from the home and after looting the house Arthur will head to a barn where the stagecoach is stashed. Afterward, Bob Crawford and his son will go back inside the house and Hosea will head over to the barn. When leaving the barn with the stagecoach, Bob Crawford Jr. will hear some noise and notices them stealing the stagecoach. Arthur and Hosea will ride away and head back to the Emerald Ranch.
If the player decides to go during nighttime, the Crawfords will be sleeping. Arthur can steal items and money from the house, and can rouse Bob Crawford from sleep and threaten him for extra money before knocking him out. When finished looting the house, Arthur meets up with Hosea (who is driving the stolen stagecoach) out front and they ride back to Seamus at Emerald Ranch."
