Quest Name,Category,Walkthrough,Objectives
Dressed_to_Kill,Cyberpunk_2077,"The quest automatically initiates as you approach the Desert Film Set, located at Jeff's Dirt Track to the east-northeast of Rocky Ridge town in the region of the same name in the Badlands. Upon arrival, an Trauma Team Atlus can be seen flying away, leaving behind a scene of carnage: Multiple dead bodies, some wearing the uniforms of the Wraiths, and others, oddly enough, sporting very out-of-place high end clothing, something more likely to be seen on a Media; also present is an admittedly nice-looking Thorton Colby CX410 ""Gran Butte"".
After a little searching, V finds a shard on one of the apparent victims which tells the story: Evidently, the executive of some high-end clothing business got it in his head to do a photoshoot out here, as a way of demonstrating the versatility and comfort of their clothing line and appealing to a more ""rustic"" sense of fashion, with the Butte being the centerpiece as a stand-in for an executive limo or sports car. Such activity attracted the Wraiths, who decided that they'd rather shoot bullets than pictures at the unfortunate models. Said models, however, were savvy enough to bring their own iron for just such an occasion, and a firefight ensued between the two sides. What was left of the photoshoot team fled in the AV, leaving their set, and their prized Thorton Colby, behind for the taking-and better for it to be in V's capable hands than the Raffen Shiv.","Search the area.
Get in the car."
Coin_Operated_Boy,Cyberpunk_2077,"When you go to Brendan's usual location outside Megabuilding H8, you will find an upset Theo Price is standing where his unit used to be. She'll explain that Brendan's owners had him taken away to ""re-evaluate"" his code, dismissing her pleas that he was a true friend and more than a simple S.C.S.M. unit.
At the SoftSys shop in Heywood, you can either bribe or convince (requires Technical Ability) the clerk to receive access to the room where Brendan is receiving a firmware update. Once in the room, Brendan notes he's being updated because he mentioned someone's marital troubles and the person didn't like that very much (you can also see this message on the computer next to him confirming it). With sufficient Technical Ability, you can deduce that Brendan is not a true AI, but instead possessed an exceptional convo-emulating algorithm to facilitate his interactions with visitors. He'll then ask you to tell Theo a message from him and give you one last joke if you wish.
Return to Theo to pass along Brendan's message to conclude the job.","Go to the service point.
Talk to the clerk. [Optional]
Find Brendan.
Talk to Brendan.
Talk to Theo."
The_Distance,Cyberpunk_2077,"The gig can be unlocked by finishing The Beast In Me and waiting several days. V receives a message text from Jim Jarry, the organizer of the street races. After agreeing to his offer, there will be four new gigs on the map, marked with crossed flags. Going to one of the flags, V needs to sit on the marked bench and pay €$ 2,000 as entry fee to join the race.
Locations[]
There are 4 different races and tracks which represent the tracks from the Side Jobs:
The Beast in Me: City Center
The Beast in Me: Badlands
The Beast in Me: Santo Domingo
The Beast in Me: The Big Race",
Bullets,Cyberpunk_2077,"Upon returning to Jinguji some time after a previous visit, Zane welcomes V and asks what he can do for you today. After browsing the shop's selection, suddenly a cyberpsycho enters and kills the store's guards. Zane activates the alarm, and V must defeat the cyberpsycho. Once this is done, talk to the MaxTac officer, Melissa Rory, and then sit on the couch. On the way out, there is an option to talk to the MaxTac lieutenant and discuss her mantis blades and the cyberpsycho attack.","Defeat cyberpsycho.
Talk to the MaxTac officer.
Sit next to Zane."
Shape_of_a_Pony,Cyberpunk_2077,"This quest starts after purchasing the Porsche 911 Turbo Cabriolet (930) from the Autofixer website for €$74,000.
Santo Domingo Fixer Muamar Reyes will send V a message that his Autofixer service normally delivers the cars, but that somehow the seller vanished into thin air.
After replying to the text, Muamar sends V the coordinates of the vehicle last known location, the abandoned parking lot on the outskirts of Arroyo, Santo Domingo.
Once arrived at the scene, there is no sign of the car. Only the body of a man can be found. As you approach the body, Johnny Silverhand will appear and comment on the appearance of the man, as it appears to be an impersonator by the name of Johnny Silverman.
Inspecting the body for clues, you find a pair of shards on the man, a conversation between him and Muamar Reyes and a set of GPS coordinates, which will be uploaded to your navigation system.
Following the coordinates not far from the body, near a makeshift garage south of the EBM Petrochem Stadium, you find encounter several Wraiths surrounding the car. After neutralizing the Wraiths, you can find the Car Keys on one of them and unlock the vehicle by entering it.
After entering the vehicle, a message can be sent to Muamar Reyes about recovering the vehicle. After sending the message Muamar will deposit half of the original purchase price back to your balance.","Read and reply to the message from Muamar.
Go to the car's last known location.
Inspect the body for clues.
Find the car.
Defeat the Wraiths and recover the key.
Get in the car.
Text Muamar about recovering the car."
Machine_Gun,Cyberpunk_2077,"After a set amount of time (can be approximately eight in-game days) after Skippy has changed firing modes, he will reveal that he has found data on its previous owner, Regina Jones. The gun will then ask you to return him to her. The mission will be added to you journal even if you decline to follow Skippy's request.
If you ask Regina about Skippy, she will remark that he was stolen, and asks you to set him down so she can run a diagnostics test. After she runs the test, Regina says that either a deeper test is required (if Skippy is set to Stone Cold Killer mode) or she will reset Skippy to his default factory settings and rename him ""Daisy"" (if Skippy is set to Puppy-Loving Pacifist mode).
You can then ask her where she got Skippy (won in a poker game), or whether V is going to be compensated for their trouble. If Skippy was reset, there is also the option to accuse Regina of killing Skippy. She will dismiss the accusation because the gun has no consciousness. After receiving the reward, the quest ends.","Take Skippy to Regina Jones.
Set Skippy down.
Talk to Regina."
Beat_on_the_Brat:_Kabuki,Cyberpunk_2077,,"Go to the fight in Kabuki.
v · d · eCyberpunk 2077 QuestsMain JobsPrologue
The Corpo-Rat
The Nomad
The Streetkid
Act 1
The Rescue
Practice Makes Perfect
The Ripperdoc
The Ride
The Pickup
The Information
The Heist
Interlude
Love Like Fire
Act 2
Playing for Time
Tapeworm
Evelyn Parker
Automatic Love
The Space in Between
Disasterpiece
Double Life
Alt Cunningham
M'ap Tann Pèlen
I Walk the Line
Transmission
Never Fade Away
Anders Hellman
Ghost Town
Lightning Breaks
Life During Wartime
Hanako Arasaka
Down on the Street
Gimme Danger
Play It Safe
Search and Destroy

Act 3
Nocturne Op55N1
The Devil
Last Caress
Totalimmortal
The Sun
For Whom the Bell Tolls
Knockin' on Heaven's Door
Changes
The Star
We Gotta Live Together
Forward to Death
Belly of the Beast
Changes
Secret
(Don't Fear) The Reaper
Changes

Epilogue
Where is My Mind?
Path of Glory
All Along the Watchtower
New Dawn Fades
Phantom Liberty
Phantom Liberty
Dog Eat Dog
Hole in the Sky
Spider and the Fly
Lucretia My Reflection
The Damned
Get It Together
You Know My Name
Birds with Broken Wings
I've Seen That Face Before
Firestarter
King of Wands
The Killing Moon
Unfinished Sympathy
From Her to Eternity
King of Swords
The Killing Moon
Through Pain to Heaven
Who Wants to Live Forever
King of Cups
Black Steel In The Hour of Chaos
Somewhat Damaged
Leave in Silence
Four Score and Seven
King of Pentacles
Black Steel In The Hour of Chaos
Somewhat Damaged
Leave in Silence
Four Score and Seven
Who Wants to Live Forever
Epilogue
Things Done Changed

Side and Minor JobsJohnny Silverhand
The Ballad of Buck Ravers
Chippin' In
A Cool Metal Fire
Blistering Love
Holdin' On
Second Conflict
A Like Supreme
Judy Álvarez
Both Sides, Now
Ex-Factor
Talkin' 'bout a Revolution
Pisces
Pyramid Song
Panam Palmer
Riders on the Storm
With a Little Help from My Friends
Queen of the Highway
River Ward
I Fought the Law
The Hunt
Following the River
Kerry Eurodyne
Rebel! Rebel!
I Don't Wanna Hear It
Off the Leash
Boat Drinks
Lifepaths
These Boots Are Made for Walkin' (Nomad)
Small Man, Big Mouth (Streetkid)
War Pigs (Corpo)
Aldecaldos
I'll Fly Away
Gun Music
Fortunate Son
Brendan
I Can See Clearly Now
Spray Paint
Coin Operated Boy
Claire Russell
The Beast In Me
City Center
Badlands
Santo Domingo
The Big Race
The Distance
Coach Fred
Beat on the Brat
Arroyo
Kabuki
The Glen
Rancho Coronado
Pacifica
Delamain
Human Nature
Tune Up
Epistrophy
Wellsprings
Northside
North Oak
Rancho Coronado
Badlands
The Glen
Coastview
Don't Lose Your Mind
Jefferson Peralez
I Fought the Law
Dream On
Joshua Stephenson
Sinnerman
There Is A Light That Never Goes Out
They Won't Go When I Go
Nix
Spellbound
KOLD MIRAGE
Regina Jones
Psycho Killer
Machine Gun
Robert Wilson
The Gun
Shoot To Thrill
Viktor Vektor
Paid in Full
Upgrade U
Zen Master
Imagine
Stairway To Heaven
Poem Of The Atoms
Meetings Along The Edge
Vehicles
Dressed to Kill
I'm in Love with My Car
Murk Man Returns Again Once More Forever
Sex On Wheels
Shape of a Pony
Apartments
Houses In Motion: Makeovers
Welcome Home: Corpo Plaza
Welcome Home: Japantown
Welcome Home: Northside
Welcome Home: The Glen
Miscellaneous
A Day In The Life
Big in Japan
Bullets
Burning Desire/Night Moves
Career Opportunities
Every Breath You Take
Ezekiel Saw the Wheel
Fool on the Hill
Full Disclosure
Happy Together
Heroes
I Really Want to Stay at Your House
Killing In The Name
Love Rollercoaster
Only Pain
Over the Edge
Raymond Chandler Evening
Sacrum Profanum/Losing My Religion
Send in the Clowns
Space Oddity
Stadium Love
Sweet Dreams
The Gift
The Gig
The Highwayman
The Prophet's Song
Venus in Furs
Violence
Phantom LibertyMuamar Reyes
Push It to the Limit
Just Another Story
Baby Let Me Take You
Mr. Hands
Dazed and Confused
Dirty Second Hands
Go Your Own Way
Shot by Both Sides
Run This Town
Miscellaneous
Addicted To Chaos
Balls to the Wall
Corpo of the Month
Money For Nothing
Moving Heat
New Person, Same Old Mistakes
No Easy Way Out
One Way or Another
The Show Must Go On
This Corrosion
Tomorrow Never Knows
Voodoo Treasure
GigsDakota Smith
Tier 1
Dancing on a Minefield
Flying Drugs
Tier 2
Big Pete's Got Big Problems
No Fixers
Trevor's Last Ride
Tier 3
MIA
Sparring Partner
Tier 4
Goodbye, Night City
Radar Love
Reward
Every Grain of Sand
Dino Dinovic
Tier 1
A Lack of Empathy
Tier 2
An Inconvenient Killer
Serial Suicide
Tier 3
Guinea Pigs
The Frolics of Councilwoman Cole
Reward
Gas Gas Gas
Mr. Hands
Tier 1
Two Wrongs Makes Us Right
Phantom Liberty
Tier 2
Dogtown Saints
Prototype in the Scraper
Treating Symptoms
Waiting for Dodger
Tier 3
The Man Who Killed Jason Foreman
Spy in the Jungle
Talent Academy
Tier 4
Heaviest of Hearts
Roads to Redemption
Reward
Hi Ho Silver Lining

Muamar Reyes
Tier 1
Error 404
Race to the Top
Serious Side Effects
Tier 2
Breaking News
Family Matters
Hacking the Hacker
Tier 3
Cuckoo's Nest
Severance Package
Tier 4
Desperate Measures
For My Son
Going-away Party
Reward
Ride Captain Ride
Regina Jones
Tier 1
Hippocratic Oath
Many Ways to Skin a Cat
Monster Hunt
Playing for Keeps
Rite of Passage
Tier 2
Dirty Biz
Troublesome Neighbors
Welcome to America, Comrade
Tier 3
Backs Against the Wall
Catch a Tyger's Toe
Woman of La Mancha
Tier 4
Flight of the Cheetah
Shark in the Water
Tier 5
Last Login
Small Man, Big Evil
Tier 6
Bloodsport
Scrolls before Swine
Tier 7
Freedom of the Press
Lousy Kleppers
Tier 8
Fixer, Merc, Soldier, Spy
The Heisenberg Principle
Occupational Hazard
Concrete Cage Trap
Reward
Last Call
Rogue Amendiares
Family Heirloom
Hot Merchandise
Nasty Hangover
The Union Strikes Back
Sebastian ""Padre"" Ibarra
Tier 1
Fifth Column
Jeopardy
Life's Work
On a Tight Leash
Tier 2
Bring me the Head of Gustavo Orta
Old Friends
Psychofan
Tier 3
Eye for an Eye
Sr. Ladrillo's Private Collection
The Lord Giveth and Taketh Away
Tier 4
Going Up or Down?
Reward
God Bless This Mess
Wakako Okada
Tier 1
Tyger and Vulture
We Have Your Wife
Tier 2
Greed Never Pays
Olive Branch
Until Death Do Us Part
Tier 3
Getting Warmer...
Wakako's Favorite
Tier 4
A Shrine Defiled
Reward
Professional Widow
Minor ActivitiesReported Crimes
Another Circle of Hell
Dangerous Currents
Don't Forget the Parking Brake!
Needle in a Haystack
One Thing Led to Another
Paranoia
Protect and Serve
A Stroke of Luck
Blood in the Air
Comrade Red
Crash Test
Delivery From Above
Disloyal Employee
Dredged Up
Extremely Loud and Incredibly Close
Honey, Where are You?
I Don't Like Sand
Justice Behind Bars
Lost and Found
Roadside Picnic
Smoking Kills
Supply Management
Table Scraps
Turn Off the Tap
Welcome to Night City
Worldly Possessions
You Play with Fire...
Suspected Organized Crime Activity
Arroyo
Chapel
Desperate Sons-of-Bitches
Jackson Plains
Just Say No
Living the Big Life
Modern Labor Market
New Boss, New Rules
No License, No Problem
Opposites Attract
Privacy Policy Violation
Rocky Ridge
Tygers by the Tail
Vice Control
Vista del Rey
West Wind Estate
Wipe the Gonk, Take the Implants
Cyberpsycho Sightings(Psycho Killer)
Bloody Ritual
Demons of War
Discount Doc
House on a Hill
Letter of the Law
Lex Talionis
Lt. Mower
On Deaf Ears
Phantom of Night City
Seaside Cafe
Second Chances
Six Feet Under
Smoke on the Water
Ticket to the Major Leagues
Under the Bridge
The Wasteland
Where the Bodies Hit the Floor
Increased Criminal Activity
BARGHEST
Scavengers
Voodoo Boys"
Big_in_Japan,Cyberpunk_2077,"This article requires cleanup.[Reason: Rewrite from V's perspective, use of conditions]
Head to the Afterlife where you'll find a man, Dennis, looking for a solo to take on a job, but rather than use a fixer, he wants to cut out the middleman and have you work directly for him.
If you agree, he'll ask you to go find a marked fridge in Kabuki and once you gather the contents inside, contact him for further steps.
Head out there and it should be the fridge in the last shack out on the pier. As you might have guessed though, something is off about this: as soon as you open the fridge a rather fatigued man falls out. Call Dennis but he won't tell you the specifics about the guy, only that you need to get him to a nearby car to take him to Northside, and that Tyger Claws will try to kill him and therefore, you.
Tyger members are going to be patrolling the area and standing at the stairs, so you'll have to take them out carefully as, if your companion is killed, the job will fail. You cannot draw a weapon while carrying the man, but you are safely able to put him down on the ground and then move a certain distance to fight.
Once you get to the car, put him in the trunk, then drive to the location in Northside and talk to Dennis. Shortly after he reveals the man's name, Haruyoshi Nishikata, who you can then talk to and who'll then tell you his story: he's the world's best surgeon but the Tyger Claws' boss died on his operating table and the gang became angry at this, so Dennis helped him flee from Japan to Night City. That said, the gang doesn't know that Haruyoshi actually killed the boss on purpose.
For payment, while you'll get some eddies, make sure to also pick up the Scalpel katana that Dennis notes is your reward and is leaning against the barrels.","Go to the slum on the outskirts of Kabuki.
Find and open the container with ""No Future"" graffiti'd on it.
Talk to Dennis.
Pick up the body.
Carry the body to the car.
Get in Dennis' car.
Deliver the body to the specified coordinates.
Leave the car.
Talk to Dennis."
Imagine,Cyberpunk_2077,"V talks with a strange monk, goes through the meditative braindance and leaves.","Approach the stranger.
Talk to the stranger."
I%27m_in_Love_with_My_Car,Cyberpunk_2077,"In a Northside warehouse in the northeastern part of Watson, Johnny Silverhand will appear near a Quadra Type-66 ""Hoon"", a weaponized vehicle. Behind this car is a metal shelf that has collapsed, covering a small container. The key to the Quadra is inside this container.","Search the warehouse.
Get in the car."
