Quest URL,Category,Synopsis,Objectives
https://horizon.fandom.com/wiki/A_Gift_from_the_Past,Main_quests,"Six years after her naming ceremony, while venturing across The Embrace, Aloy finds herself trapped in a ruin and must find a way to escape.","Find a Way Out
Examine the Strange Object
Find a Way back to the Surface
Use the Device to Scan the Room
Use the Holo Lock
Return to the Door
Open the Door
Find a Way Out
Scan the Device
Find a Way Out"
https://horizon.fandom.com/wiki/Lessons_of_the_Wild,Main_quests,"Following the tumultuous cave escape, Rost decides that Aloy is ready to learn the ways of hunting, gathering, and crafting taught in the Nora tribe. She is sent on her first task to hunt machines, including the Watcher and the Strider.","Follow Rost
Gather the Salvebrush Berries
Eat the Berries
Follow Rost
Hide in the Tall Grass
Wait for the Watcher to Pass
Follow Rost Past the Watchers
Follow Rost
Gather Rocks
Follow Rost
Wait for Rost
Throw Rocks to Lure the Watcher to Rost
Stay on the Ridge
Throw Rocks Near Rost
Loot the Watcher Carcass
Gather Ridge-Wood
Craft Hunter Arrows
Follow Rost
Listen to Rost’s Instructions
Scan the Strider With Your Focus
Identify the Strider’s Weak Points
Kill a Strider
Loot the Strider Carcass
Follow Rost
Sneak to the Wounded Boy
Lead the Boy to Safety"
https://horizon.fandom.com/wiki/The_Point_of_the_Spear,Main_quests,"Aloy is now old enough to enter the Proving, which takes place in two days. In the morning, Aloy finds Rost overlooking the Embrace, clearly troubled by something. After some prying, Rost tells her that he has a final lesson: he instructs her to gather the parts for Fire Arrows and to meet him at the Northern Embrace Gate.
Aloy retrieves the parts for Fire Arrows from a herd of Striders in the valley. Before meeting Rost at the gate, she meets with Karst, a merchant willing to
Karst is a member of the Nora tribe who ignores the rules to shun outcasts. Aloy meets up with him at his home near Mother's Cradle and trades him a Scrapper Lens for a Tripcaster. After Aloy accomplishes these two tasks, she meets Rost at the North Gate where they are greeted by a gruesome post-battle scene with the corpses of Sawtooths and Nora Braves. Rost points to a lone Sawtooth still prowling about and Aloy dispatches it on her own.
Rost reveals that the real lesson of the hunt was for Aloy to place importance on the protection of the Nora tribe and their hunting lands, not purely on her own benefit.","Find Rost
Talk to Rost
Craft Fire Arrows
Gather Ridge-Wood
Gather Blaze from Striders
Gather Metal Shards from Machines
Talk to Karst and Trade for a Tripcaster
Trade for a Tripcaster
Meet Rost at the North Gate
Rest at the Campfire
Follow the Path of Destruction
Kill the Sawtooth
Loot the Sawtooth Carcass
Talk to Rost"
https://horizon.fandom.com/wiki/Mother%27s_Heart_(Quest),Main_quests,"Aloy meets Rost outside the gates of Mother's Heart. He tells her to meet High Matriarch Teersa who will lead her through an annual festival before the start of the Proving. Before she enters the city, Rost tells her that he will not see her again. She pleads with him to reconsider his words, but Rost assures her that her acceptance into the tribe will lead to the answers she seeks. The front gate guards of Mother's Heart attempt to turn her away before Teersa intervenes.
The city is bustling due to the arrival of envoys from the Sundom, who have visited the Nora lands for the first time in several years. Teersa also tells Aloy that an ""old friend"" is waiting for her. Turns out, it is Teb, the young Nora brave she saved during the events of Lessons of the Wild. Teb is now a Stitcher and gives her the Nora Brave armor as a long overdue thanks. Karst can also be found in Mother's Heart and wishes Aloy the best of luck in the Proving.
As Aloy continues enjoying the festivities, she notices the foreign envoys are being given a rough reception by the Nora crowd due to the bloody history between the tribes. Erend, an Oseram, calms them when he explains that the Carja Sun-Priest Irid is attempting to apologize for the capturing, killing, and slavery that occurred under the former Sun-King, Jiran. Aloy spots a strange man named Olin wearing a Focus in the crowd. She briefly chats with him before being introduced to Erend.
Afterward, Aloy takes part in a prayer lantern ceremony that officially starts the events of the Proving. Night falls and Aloy finds the lodge, where she meets Resh, a guard who makes his distaste for her perfectly clear. While preparing for bed, Aloy butts heads with Bast and meets Vala, another Nora who wishes to win the Proving.","Talk to Rost. He'll be waiting for you near Mother's Heart.
Enter Mother’s Heart
Talk to Your “Old Friend.” Teersa said someone is waiting to see you.
Go to the Matriarch’s Lodge
Scan with your Focus to see what it detected
Talk to the Man Wearing a Focus
Go to the Blessing Ceremony
Talk to Teersa
Talk to Olin (Optional)
Enter the Hunters' Lodge where the aspirants will sleep the night before the Proving.
Confront Bast
Talk to Vala (Optional)
Go to Bed and try to get some sleep."
https://horizon.fandom.com/wiki/The_Proving,Main_quests,"Aloy, Bast, Vala, and other Nora follow Resh to the Proving grounds. The ceremony begins with the initiates rock climbing to the starting area. Then there is a hunting test. A horde of Grazers stampede into the grounds and the initiates must kill one and collect their trophy before moving on. Aloy kills a Grazer, but Bast destroys her trophy. She falls behind the others, but kills a second Grazer and collects another trophy to move on.
The second part of the Proving is to cross the Brave Trail, a perilous mountain pathway filled with chasms and other obstacles. Aloy, having already fallen considerably behind, makes a desperate move to cross an old crumbling trail that takes a more direct path to the exit. A Proctor warns her that two died while crossing it last year, but Aloy is not deterred. The old path contains log bridges and a variety of zip lines. Aloy finds herself in first place while crossing the finish line and wins the Proving.
As a Proctor announces Aloy's victory, arrows rain from above and slay her along with a handful of other newly anointed Braves. A group of attackers in Carja clothing attack the remaining Nora. Aloy, Bast, and Vala dispatch them before more reinforcements arrive. However, a Cultist using a machine gun overwhelms Vala and Bast, killing them both. It is revealed that Aloy is one of the primary targets of the raid. While inspecting an enemy corpse, Aloy finds it to be wearing a Focus. Suddenly, she is grabbed from behind by an unmasked attacker. He tells her to turn her face to the sun before Rost appears firing arrows at him. After a struggle, Rost is stabbed by the unknown attacker but manages to crawl to an unconscious Aloy. He pushes her off the mountain to safety, while she witnesses an explosion that envelopes Rost.
Aloy manages to survive and regains consciousness inside All-Mother Mountain.","Climb up to the Proving Grounds
Kill a Grazer
Loot a Second Trophy
Go to the Start of the Brave Trail and race to the Proving finish line at Devil's Claw.
Run the Abandoned Brave Trail
Kill the Attackers so the Proving aspirants can escape.
Loot the Enemy Leader. Who were these attackers? Maybe you can find a clue."
https://horizon.fandom.com/wiki/The_Womb_of_the_Mountain,Main_quests,"Aloy looking at the comparison of her and Elisabet.
Aloy wakes inside the sacred mountain, a place where only the Matriarchs are allowed inside. She searches for her equipment, finds it, and rearms herself. The mountain contains doors and other remnants of old technology found in the Metal World. She scans the damaged Focus recovered from the Cultists and discovers a video hologram of Rost's killer. The hologram tells the other cultists to avoid all contact with the Nora tribe but to kill every witness if they are seen. A map is shown and Aloy sees a video of herself while she was talking to Olin in Mother's Heart. Afterward, Aloy sees an unknown woman who bears a strong resemblance to her. The word ""Terminate"" is shown - proving that the Cultists were targeting Aloy.
The door scanning Aloy as Teersa bows down in worship.
Teersa comes across Aloy and tells her to follow her to the place where she was born. Aloy was not born from a human, but from the mountain itself. The pair enter the Great Chamber where the All-Mother resides. As a child, Aloy was found in front of a large metal door within the heart of the mountain. Teersa believed that Aloy was a gift from the All-Mother, while the other Matriarchs saw her as a curse. When Aloy steps up to the mountain's door, a red light shines, stating ""Halt for identification. Error: Alpha Registry Corrupted - Identity cannot be confirmed. Entry denied.""
Teersa and Jezza performing the Seeker blessing on Aloy.
Teersa says that if Aloy heals the corruption, the door could open. Aloy decides to seek answers by finding Olin and to visit Meridian looking for clues. Teersa says that the war party sent after the killers was slaughtered and the Eclipse were able to somehow control machines. The Matriarchs bestow upon Aloy the rank of Seeker - an important distinction of the Nora tribe that allows her to travel outside of their lands.
The Corruptor appearing.
Aloy looking at the override module.
Aloy finds Resh, the newly appointed War-Chief, and asks him to open the gate to Mother's Watch. He initially refuses and voices his disapproval. Before she can leave, a horde of Striders attacks the settlement. Among them is a Corruptor, a powerful machine capable of taking control of docile machines and turning them hostile. After destroying the machines, Aloy examines the carcass of the Corruptor and removes its override component. She attaches the device to her spear. This grants her a new ability to hack into machines and take control of them and she learns the PSI Overrides.","Search for your Equipment
Examine the Damaged Focus
Follow Teersa
Talk to Teersa
Follow Teersa out of the Mountain
Talk to Resh, the new War Chief; only he can give the order for the gate to be opened.
Kill the ""Demon"" and Corrupted machines
Examine the ""Demon"" carcass; somehow it dominated the other machines. But how?"
https://horizon.fandom.com/wiki/A_Seeker_at_the_Gates,Main_quests,"Varl meeting Aloy.
With the new device that allowed her to override machines, Aloy successfully uses it to override a Strider, which she uses as a mount to travel faster. As she approaches the Main Embrace Gate, she hears the sounds of fighting outside. Varl, a Nora Brave, is ending a fight against a group of corrupted machines. Aloy asks him the best way to reach Meridian, to which Varl tells her to head towards Mother's Crown and seek Marea. He also warns her that the trail is dangerous and that the tribe is in disarray after the disappearance of War-Chief Sona.
A Corruptor and corrupted machines attacking Daytower.
Varl also tells Aloy to seek out Sona's war party and grants the quest The War-Chief's Trail. Aloy ventures to the edge of the Nora lands and meets Marea. She tells Aloy of a Carja fort to the west called Daytower. Marea tells her to clear the Corrupted Zones outside of the settlement and gives her advice on how to deal with the new machines. Aloy then travels to the Carja fort, where a Corruptor is causing chaos outside of its gate. After defeating it, the guards gladly grant Aloy entry.","Test the Override Device on a Machine
Override a Strider
Mount an Overridden Strider
Talk to Varl at the Gates of the Embrace
Go through the Gates of the Embrace
Talk to Marea at Mother’s Crown
2/2 Clear Corrupted Zones; The Carja have closed the gate at Daytower because of the threat of Corrupted Machines in the Valley. Go to two Corrupted Zones and kill all Corrupted Machines in each to convince the Carja that it is safe to re-open the gate.
Go to Carja Border Fort at the western end of the valley.
Kill the Corrupted Machines"
https://horizon.fandom.com/wiki/The_City_of_the_Sun,Main_quests,"Journey to Meridian[]
The Carja guards apologising for the wait to enter the city.
Aloy begins her journey to Meridian, the Carja capital to find Olin, the Oseram whom she met before the day of the Proving Massacre. As Aloy reaches the city, she finds that an angry crowd of Carja artisans have gathered outside the main bridge, halted by the Carja guards. Continuing past them Aloy is barred entry from the city with the guard informing her that in light of the recent murders of Ersa and her Vanguard, all travelers are subjected to search before entering into Meridian. After a brief argument with the guard Erend emerges, relieved to see she is alive. Once they are alone, Aloy relays what she knows about Olin and the Proving Massacre, demanding to be taken to him. Erend tells her that Olin is no longer in the city but agrees to let her search his apartment as long as he may accompany her.
Finding Olin[]
The hatch destroyed.
Entering the apartment, Aloy discovers a sealed hatch hidden beneath a rug. Without a key and unable to open it herself, Aloy continues searching for more clues and a way to open the hatch. Searching upstairs, Aloy finds a pallet stacked with ingots. As she pushes the pallet form the platform, it crashes through the hatch below, granting them access to the floor below. With her Focus, Aloy begins investigating the secret workshop, discovering a map on the wall and Olin's journal, confirming that the Oseram knew Aloy was being targeted. She then finds a datapoint addressed to Olin from the killers, learning that the killers captured his wife and child to coerce him into working for them. After Aloy fills Erend in on what she found then turns and tries to leave, although Erend blocks her way, asking for her help in finding those responsible for his sister's death. Telling her he'll wait for her at Red Ridge Pass, he lets Aloy go.
The Corruptors activated.
Aloy journeys to the Rockwreath, the excavation site where she hopes to find Olin. From a hidden vantage point, she watches as Corruptors are raised from the ground. Suddenly, Olin and the killers cry out, revealing their Focuses have stopped working. Realizing they are not alone, the cultist leader orders for a search of the area to find the intruders. Meanwhile an unknown caller taps into Aloy's Focus, informing her that he has temporarily disabled the killers' Focuses to assist her. Aloy descends into the site to kill the Corruptors and the cultists.
Olin's Fate[]
Olin answering Aloy's questions.
Once the enemies are dispatched and only Olin remains, Aloy approaches him to demand answers. She learns the killers are called ""the Eclipse"", a Shadow Carja cult. The Eclipse's master, a ""demon"" called HADES, is the one who put out the kill order on Aloy at the Proving. She learns that the man who tried to kill her is Helis, Sun-King Jiran's champion Kestrel and an Eclipse leader. Under the instruction of HADES, the Eclipse are excavating sites of the Old Ones to bring machines back to life and recruit them into their army. Although Olin doesn't know who the woman is that Aloy so closely resembles, he tells her that he saw an image of the woman in Maker's End, ruins of the Old Ones.
After Olin reveals all he knows, Aloy decides whether to spare his life or kill him to avenge the deaths of the Nora killed during the Proving Massacre. Regardless of Olin's fate, Aloy agrees to travel to the Spurflints to rescue his family, although her choice regarding Olin's life impacts the errand Collateral.
If Aloy kills Olin, she will find and rescue the hostages from the cultists by herself and relay a message to Olin's family.
If Olin remains alive, he will meet Aloy in the Spurflints and lead her to the Eclipse outpost. She can further decide whether or not to accept his steel for the fight. Either way, Olin will reunite with his family and they decide to return to the Claim.","Go to Meridian
Talk to the Checkpoint Commander
Follow Erend
Investigate Olin's Apartment
Examine the Rug
Find a way to Break the Hatch
Push the Stack of Ingots
Enter the Secret Room
Investigate Olin's Secret Workshop for evidence that reveals his current whereabouts and explains his motivations.
Examine the Map
Talk to Erend
Find Olin at the Excavation Site that was marked on his map.
Enter the Excavation Site
Kill the Corruptor and the Cultists
Talk to Olin"
https://horizon.fandom.com/wiki/Maker%27s_End_(Quest),Main_quests,"Intent on learning more about the mysterious woman that she so closely resembles, Aloy journeys to Maker's End, the Old Ones ruin in the northeastern mountains of the Sundom.
Aloy seeing the Deathbringer.
HADES taking notice of Aloy.
After stocking up on a cache of supplies left by the unknown caller outside the ruins, she discovers a number of Corrupted machines guarding the site where the Eclipse have begun excavations. Following the sound of explosions to their source, Aloy is faced with a new war machine of the ancients, a Deathbringer. After killing the cultists and the machine, Aloy takes a Focus from the Eclipse officer. Through this, HADES learns that Aloy is still alive and consequently causes the Focus to self-destruct. Free to roam the ruins, Aloy squeezes through the crack to enter. Similar to All-Mother mountain, Aloy is examined by the Identiscan and permitted access to the Faro Automated Solutions (FAS) facility.
Through a number of datapoints, Aloy learns that FAS was a corporation that manufactured machines and technology such as the Focuses. They controlled these machines through codes. After some time, the corporation stopped making machines and began to make weapons. Another datapoint tells her that for some reason the people were angry with FAS. Continuing on to a room with holographic recordings, Aloy learns that the Deathbringer, Corruptor and Metal Devil were all creations of FAS as robots of war. Climbing up an elevator shaft and scaling the various levels, Aloy finally reaches Ted Faro's office on the 35th floor.
Ted and Elisabet discussing the threat to life on Earth.
Consulting the remaining technology of the Old Ones, a number of data files are retrieved and Aloy finally learns the identity of the mysterious woman, Elisabet Sobeck, and the beginning of the downfall of her civilization. Ted Faro, founder and head of FAS, invited Elisabet Sobeck to provide a solution for a glitch in the Faro robots. With the capacity to self-replicate and create their own fuel through biomass conversion, the machines had begun the extinction of all life on Earth at a rate faster than the humans could contain. Another data file reveals that Elisabet Sobeck managed to forge a solution; Project Zero Dawn, to which Ted Faro reluctantly agreed.
Aloy and Sylens discussing the situation.
Despite all the new information, Aloy is no closer to understanding her connection to Elisabet Sobeck nor why the Eclipse specifically targeted her at the Proving. The unknown caller appears before Aloy as a hologram, explaining to Aloy that he has spent the last few decades searching the ruins of the Old Ones to discover what happened to them. Threatening to remove her Focus and render him blind after he berates her for asking trivial questions, he finally introduces himself as Sylens. He informs her that HADES is the head of the Eclipse and that it is through his instruction that the cultists are digging up the ancient machines. He also explains the reason he can tap into her Focus is through years of experimentation, likening it to her overriding of machines.
Remembering that Elisabet Sobeck mentioned she was heading to a place called the U.S. Robot Command, Sylens tells her it is now a ruin called the Grave-Hoard in the eastern mountains. Determined to find out more about Project: Zero Dawn and Elisabet Sobeck, Aloy heads for the Grave-Hoard.","Go to Maker's End and search for clues to the unknown woman's identity. Who was she?
Loot the Equipment Stash to see what the mysterious stranger left for you. (Optional)
Go to the Ruins where Olin found an image of the unknown woman.
Investigate the Explosions
Kill the Cultists and the Deathbringer
Loot the Eclipse Officer; perhaps his Focus holds useful information.
Investigate the Rubble blocking the entrance to the ruins.
Search for Information about Elisabet Sobeck
Go to Ted Faro's Office at the top of the Ruin.
Search Ted Faro's Office for Information about Elisabet Sobeck
Scan the Datapoint
Watch the Hologram
Scan the Datapoint
Watch the Hologram
Scan the Datapoint
Watch the Hologram
Exit the Ruin by using Ted Faro's Personal Elevator."
https://horizon.fandom.com/wiki/The_Grave-Hoard_(Quest),Main_quests,"Still no closer to understanding her connection to Elisabet Sobeck nor why the Eclipse specifically targeted her at the Proving, Aloy travels to the Grave-Hoard, the ruins of U.S. Robot Command in the eastern mountains to find more answers.
As Aloy nears the ruins, she sees a number of Eclipse agents and Corrupted machines. Killing them and descending into the bunker, the first room reveals that it was a site where the Old Ones faced off against hordes of Faro robots. Logs from the soldiers preserved as datapoints detail a number of battles that the Old Ones fought against the robots as well as the increasing hopelessness of the situation. Restoring power to a bunker door, Aloy continues deeper into the ruins. After taking out a room of machines and cultists, Aloy finds a room that shows her a map of the Earth, demonstrating the progression of the robots. Making her way outside, she finds the cultists tinkering with the skeleton of a Metal Devil, causing a Deathbringer to be released from the machine and brought to life.
Upon defeating the enemies, Aloy enters another room to find that Project Zero Dawn was successfully completed but only through the aid of a simultaneous war plan, Operation: Enduring Victory, which bought time for Zero Dawn to be finalized.
Upon climbing back to the surface via an elevator shaft, Aloy concludes that she needs to find the Orbital Launch Base that the Old Ones mentioned in the datapoint. Sylens informs her that it lies in ruins beneath the Citadel, the palace at the Shadow Carja capital, Sunfall. Understanding that it will be too dangerous to enter the city as any Eclipse agents wearing Focuses will be able to identify her, Aloy suggests crashing the network to disable their communications with each other and HADES. Through Sylens' instructions, Aloy makes her way back to the Sundom.","Go to The Grave-Hoard
Explore the Grave-Hoard
Examine the Door
Restore Power to the Ancient Door so you can go deeper in to the Grave-Hoard.
Continue exploring the Grave-Hoard
Kill the Eclipse in the Armory
Continue exploring the Grave-Hoard
Use the Console
Continue exploring the Grave-Hoard
Kill the Deathbringer and the Eclipse troops
Search the War Room for information about Project: Zero Dawn, Elisabet Sobeck's plan to defeat the robot plague.
Climb up the Escape Elevator"
