Quest URL,Content
https://zelda-archive.fandom.com/wiki/Under_a_Red_Moon,"""When the moon bleeds and the fiends are rebornThe monks will invite you as they have sworn.But first you must stand on the pedestal bareWith nothing between you and the night air.""
— Kass
Under a Red Moon is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is obtained from the Rito minstrel Kass at Washa's Bluff south of Hyrule Ridge. He recites a song as a hint to find a nearby Shrine. To complete the quest, Link must stand on a nearby Ancient pedestal during a Blood Moon wearing no armor. Once this is done, a shrine will emerge from the ground nearby."
https://zelda-archive.fandom.com/wiki/A_Fragmented_Monument,"A Fragmented Monument is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Garini in the Palmorae Ruins. It involves finding and taking a picture of three monument fragments scattered in the nearby area and showing them to Garini who puts together the passage: ""When the two find their place and kneel in reverence, the shrine will reveal itself."" Crouching on top of one pedestal will prompt Garini to crouch on the other, revealing the shrine.
Initiating the Quest[]
On Palmorae Beach, just east of Lurelin Village in the Faron region, are the Palmorae Ruins up next to the cliff of Cape Cales. You will find two glowing orange pedestals, and a man standing next to a broken-down monument. Talk to him, and he will introduce himself as Garini, and tells you he’s trying to decipher the codes on the monument, but that there are pieces missing. He asks you to locate and document (take pictures of) the broken pieces for him.
Quest Guide[]
There are three fragments to find, and they aren’t terribly far away. If you have trouble finding them, remember that Garini tells you they glow with an eerie blue light at night. Standing on top of Cape Cales is a good vantage point for the farthest two, but the pieces are rather small.
The first fragment you can find by going south from the pedestals, and following the shoreline to the right (west) where there are some crates on the beach. You can find the fragment there, nestled between some rocks in the water.
The second fragment you can find just east of the pedestals, up against the cliff wall, behind a few palm trees.
The last and furthest away is at Soka Point, the very tip if Crepe Cresia. Follow the crescent shape to the very end, and the last fragment will be just behind the farthest palm tree.
Once you have pictures of all 3 fragments, go back to Garini and talk to him. Show him all the pictures, and he will tell you the deciphered message; “When the two find their place and kneel in reverence, the shrine will reveal itself.” However, he admits he doesn’t know what the message means. Go to either pedestal you want and crouch on top of it. Garini will follow your lead and crouch on the other pedestal. The shrine will then surface in front of the fragmented monument."
https://zelda-archive.fandom.com/wiki/The_Cursed_Statue,The Cursed Statue is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Calip in the Fort Hateno. The quest is completed when Link fires an arrow into one of the surrounding statue's eyes when they begin to glow (only at night).
https://zelda-archive.fandom.com/wiki/A_Brother%27s_Roast,"A Brother's Roast is a Shrine quest in The Legend of Zelda: Breath of the Wild. The quest is obtained from Bladon once Link locates his brother Gonguron passed out in Gorko Tunnel southeast of Goron City. He requests that Link bring a Rock Roast from just down the hill to revitalize his brother. The Rock Roast must be carried by hand up the hill which is home to several Moblins equipped with Fire Arrows. Once it is delivered, the quest is completed and Kayra Mah Shrine becomes accessible."
https://zelda-archive.fandom.com/wiki/Watch_Out_for_the_Flowers,"Watch Out for the Flowers is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Magda near Hylia River. She requests to watch out for the flowers she cultivated around a Shrine known as the Hila Rao Shrine.
Even after Link manages to swerve and weave his way through the maze of flowers and complete this Shrine quest, the rules of the Shrine quest are still in effect: Link cannot step on or attack the flowers more than three times without being penalized with a beating from Magda for three Heart Containers.
If Link has a way to set the grass on fire and/or create an updraft, or come down from high above somehow, then Link can easily avoid the flowers and land on the Shrine's entrance point."
https://zelda-archive.fandom.com/wiki/A_Song_of_Storms,"A Song of Storms

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
Kass


Type
Shrine Quest


Location
Calora Lake


Prerequisite(s)
None


Reward(s)
Rubber Tights
A Song of Storms is a Shrine quest from The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Kass at Calora Lake. Link may receive a Rubber Tights set as a reward by finding the Treasure Chest within, as well as access to Qukah Nata Shrine."
https://zelda-archive.fandom.com/wiki/The_Ancient_Rito_Song,The Ancient Rito Song is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Bedoli in the Rito Village. Completing it gives access to Bareeda Naag Shrine.
https://zelda-archive.fandom.com/wiki/Secret_of_the_Cedars,Secret of the Cedars is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Clavia at Hateno Village.
https://zelda-archive.fandom.com/wiki/Recital_at_Warbler%27s_Nest,"Recital at Warbler's Nest is a Shrine quest from The Legend of Zelda: Breath of the Wild. The quest is obtained from a young Rito girl named Kheel at Warbler's Nest, just west of Rito Village. Kheel is upset that none of her sisters showed up for singing practice and asks Link to return to the village and tell them to join her. One of the sisters is in the kitchen and refuses to practice until she has eaten some Salmon Meunière. The other three sisters are out getting the ingredients; one is in the Slippery Falcon general store getting Goat Butter, one is singing on a ridge directly above the sisters' home (visible from Akh Va'quot Shrine) with Tabantha Wheat, and one is on the small island just east of town catching Hearty Salmon. After collecting their ingredients, they can be combined in the kitchen's cooking pot to create the Salmon Meunière. After eating it, the final sister agrees to attend singing practice.
When Link returns to Warbler's Nest, the sisters are already practicing a song which proves to be a hint for revealing a hidden shrine. Using a Korok Leaf, Link must stand on the nearby pedestal and send bursts of wind through the five melodic statues surrounding it. Each statue has a number of stalagmites on top of it, indicating which tone that statue is correlated to (one being lowest, five being highest). Once Link is able to mimic the sisters' song using these statues, Voo Lota Shrine will emerge from the ground nearby."
https://zelda-archive.fandom.com/wiki/Stranded_on_Eventide,"""Upon arriving on Eventide Island, a voice spoke of a challenge and then took all of your weapons and armor away. If you offer precious orbs to each of the three altars on the island, the voice has promised to return your things.""
— Adventure Log description
Stranded on Eventide is a Shrine quest in The Legend of Zelda: Breath of the Wild. It is automatically given once Link sets foot on Eventide Island in the southeast corner of Necluda Sea. The Sheikah Monk Korgu Chideh challenges him to offer three Ancient Orbs to corresponding platforms across the island. However, the challenge is intensified immediately as the monk removes Link's entire inventory, including all of his armor, weapons (including the Master Sword if he has obtained it), bows, arrows, shields, the ingredients, and cooked food, leaving him with only Key Items he has obtained (Sheikah Slate, Paraglider, Korok Seeds, Spirit Orbs, Saddles, Bridles, and the Champions abilities), Runes, the abilities obtained through freeing the Divine Beasts, and any extra Heart Containers, Stamina Wheel, or inventory upgrades he has obtained up to that point. He also retains upgraded runes such as Stasis+, Remote Bombs+, and Sheikah Sensor+. However the amiibo Rune becomes temporarily unusable preventing Link from using it to obtain weapons, items, armor, or from summoning Wolf Link during the Shrine Quest. Additionally the game cannot be saved while Stranded on Eventide, though the game will autosave shortly before Link sets foot on Eventide thus Link can reload a previous save if he wishes to take on the Side Quest after obtaining more Heart Containers, Stamina Vessels, inventory upgrades, Rune Upgrades, or Champion abilities. Link can also use the Cryonis Rune or the Raft located on the beach in the southwestern portion of the island to leave the island, which will cause Korgu Chideh to ask Link if he wishes to give up on the trial. If Link selects to give up his equipment and items will be returned though he will have to start the Side Quest over again by sitting foot on the island. If he chooses not to give up, Korgu Chideh will return him back to the island.
As a result, Link must rely on his runes, survival skills, and combat abilities to survive the island's dangers. Like ""The Isolated Plateau"" quest at the beginning of the game, Link can obtain items and ingredients by foraging. He can obtain weapons by defeating monsters or finding them in treasure chests. However he has to be careful as he has no armor and there are more dangerous enemies on the island such as a Hinox which guards one of the spheres. Fortunately, Link can use his runes such as Magnesis Rune and Remote Bomb to save his limited supply of weapons and bows. He can also use the Cryonis Rune to lift floating wooden treasure chests containing items. Stasis+ can be useful as it can freeze enemies, allowing Link to flee from them more easily or attack them. The Sheikah Sensor+ upgrade can help Link learn where he might find specific items and help him locate things like treasure chests and Ore Deposits as long as he has added them to the Hyrule Compendium by taking their picture with the Camera Rune. Remote Bombs+ recharge faster and are more powerful, making them more useful in combat allowing Link to save his limited supply of weapons & bows or give him an alternative means to defend himself if he runs low on these items. A Rock Octorok can be found on the southwestern portion of the island, which Link should avoid killing as he can use it to refresh ""Rusty"" equipment he finds on the island turning them into better equipment. Link can find a Rusty Broadsword, a Rusty Shield, and a Rusty Claymore which he can use the Rock Octorok to refresh. Once the challenge is completed, Link's inventory is returned to its former state and Korgu Chideh Shrine emerges from the ground at the top of a mountain on the island. On the hill near the Rock Octorok, Link can find a Bokoblin campsite where he can find a Seared Steak roasting on a spit and a Cooking Pot. The Cooking Pot is invaluable for creating food dishes which can help Link survive on the island and provide better health restoration than raw or roasted food, though Link must be careful as the island has a limited supply of ingredients. Additionally Link can use the Cooking Pot to turn lizards, rhino beetles, and monster parts into Elixirs to provide beneficial effects and health restoration depending on the elixir and ingredients used. However Link must be careful as the camp contains several large Electric Chuchu in addition to Bokoblin, how Link can use them to his advantage by killing them, which will cause them to produce a discharge of electricity that will shock any nearby Bokoblins. In addition to fruits, seafood, and fish Link can acquire on the island, Link can find various wild animals such as Water Buffalo, Woodland Boars, Blue-Winged Herons, and Seagulls which he can hunt for their meat, however Link must be careful not to spook them while hunting and must take care not to waste his limited amount of arrows and bows.
This Shrine Quest technically acts as the main trial for the Korgu Chideh Shrine, as Link receives the monk's Blessing when he enters the shrine instead of another trial thus ""Stranded on Eventide"" is one of those Shrine Quests that functions as an overworld trial where the trial is actually getting to the Shrine itself by completing its Shrine Quest.
This shrine quest also resembles the ""EX Trial of the Sword"" a DLC Side Quest that appears as part of The Master Trials DLC. Both side quests involve testing Link's survival skills by taking away his armor, weapons, and items he has come to rely on forcing him to fight with his runes and items he finds during the quest.
Stranded on Eventide with a Horse[]
Link and Epona ""Stranded on Eventide"" after traveling together there by Raft
If Link can get a Horse onto a Raft and manages make it to Eventide Island (this must be done before the Shrine Quest has been completed), Link can start the Shrine Quest stranded with his horse which remains along with his runes, Champion abilities, Heart Containers, Stamina Vessels, and Key Items. This offers a few advantages as his horse can make traveling around the island easier and can kill weaker enemies by trampling on them, allowing Link to save his limited supply of weapons. It also allows Link to attack from horseback giving him an advantage over enemies. However Link must be careful as his horse can be killed in combat or accidentally.
Master Mode[]
Playing on Master Mode, any enemy with a higher tier gets upgraded, resulting in the player adopting a more defensive manner of combat. Aside from obtaining Octorok balloons and fighting lower-tier enemies to access one of the orbs, the best option is to avoid fighting any group. The, now, Black Hinox, requires you to subtly glide on top of it to claim the orb, as its health is too high for all available weapons to be of any help, especially without an attack buff."
