Mission URL,Type,Background,Walkthrough,Game
https://borderlands.fandom.com/wiki/Fresh_Off_The_Bus,Main,"A mysterious, disembodied woman spoke to you and told you to follow this little robot into town. That seems like the best course of action, for now.","Fresh Off The Bus Video walkthrough
Objectives[]
Follow Claptrap into Fyrestone.
Strategy[]
Stepping off the bus leaves newcomers at an entrance to Fyrestone with only a single low-quality gun for possessions. Speak to the Claptrap to obtain a HUD, and an ECHO communications device, then follow it to the New-U Station. Using the console after demonstrating the New-U, the Claptrap rolls towards the north gate of Fyrestone. Rather than following him, give the area a thorough search for money, ammo and guns.
Any object with a green light can be searched, but around this area, usually only the dumpsters have a chance of holding new guns. Red chests, on the other hand, always hold weapons (or at least Grenade Mods and/or shields). The game's first red chest is on the roof of the hotel, and there are several ways to reach it. The easiest way is to jump from the generator on the hotel's south porch directly to the roof. The chest typically offers two new guns, both of which are probably more powerful than the default weapon carried by new characters.
After stocking up on any available guns, ammunition and cash, meet up with the Claptrap again at the Fyrestone gates, where it opens the door just as a bandit raiding party bursts into town. The ruins of the town often provide effective cover. This reduces the number of shots sustained from enemy weapons fire. Return fire striking the heads of the bandits will result in a critical hit that amplifies the damage that they sustain and helps to eliminate them quickly.
After first wave of five or six bandits is killed, the Claptrap stops at another red chest containing a fixed set of Repeater Pistols. When playing alone, or in a two or three player party, the chest will only yield two repeaters: a Torgue and a Hyperion. When playing with a full four person party, the chest will contain four pistols. These basic handguns provide a good opportunity to see each manufacturer's specialty: The Torgue deals extra damage, the Hyperion has superior accuracy, the Vladof has a faster fire rate and the S&S Munitions offers an extended magazine. Even if they aren't particularly useful they can still be picked up to sell later on.
Progressing further into town draws the attention of the last bandits in the main street. Killing the final bandit completes the mission.
Completion[]
You followed Claptrap into Fyrestone, and soon found yourself in a firefight with the local bandits. If you can find a survivor, maybe he'll be able to help you on your way to finding the Vault.",Borderlands
https://borderlands.fandom.com/wiki/The_Doctor_Is_In,Main,"""I thought I was a goner that time! Damn bandits won't leave us alone. Had to lock the place up tight, and now the damn door won't open. Blasted circuits are on the fritz again. Give it a go from the switch out there, would ya?""","The Doctor Is In Video Walkthrough
Objectives[]
Open Building 03 in Fyrestone, and meet Dr. Zed.
Building 03 open
Dr. Zed talked to
Strategy[]
Once the raiders attacking Fyrestone have been defeated, the Claptrap will lead the way to the house of Dr. Zed. Dr. Zed will speak over the intercom to say, ""The circuits are on the fritz again"" and that the door must be opened from the outside. After pressing the switch on the right side of the larger door, it will open, and a cut-scene of Dr. Zed standing over a body on an operating table will play. Talking to him completes the mission.
Completion[]
""Thanks fer openin' her up again. Name's Zed. They still call me 'doctor', even though they don't let me cut on folks anymore. I keep the med vendors 'round here up and runnin'. From the vendors you can buy all the healin' you could ever want from a real doc.""",Borderlands
https://borderlands.fandom.com/wiki/Claptrap_Rescue,Main,"""Claptrap has been shot by the bandits, but the damage looks minor. Perform a quick diagnostic, then see if you can find a Repair Kit somewhere in Fyrestone. You might be able to revive him.""","Claptrap Rescue Video walkthrough
Objectives[]
Perform a diagnostic on Claptrap, then find the Repair Kit and repair him.
Diagnostic performed
Repair Kit
Strategy[]
On the way to the gate, Claptrap will be assaulted by a group of bandits, who then vault over the wall and attack. Claptrap is severely damaged in the attack and the Guardian Angel asks that the Claptrap be repaired. The mission marker then indicates a table next to a building where the repair kit is sitting, and the kit is to be brought back to the little robot.
Completion[]
""Once you've tightened a few screws, replaced some burnt wiring, and judiciously applied a little duct tape, Claptrap is rolling once again.""",Borderlands
https://borderlands.fandom.com/wiki/Skags_At_The_Gate,Main,"""Outside of Fyrestone, just past the gate and across the road, you'll find several skag dens. A skag is a vicious four-legged creature, and they'll eat anything, including you. I wanna know if you can handle yourself in a fight against some of these beasts, so head on out there and kill some of 'em for me. If you're still in one piece, then c'mon back.""","Skags At The Gate Video walkthrough
Objectives[]
Kill 5 skags and return to Dr. Zed.
Skags killed: 0/5
Strategy[]
Skags can be found just outside the gate. The nearest skag den is just across the road, and houses five skags, enough to complete the mission. There are also more dens up the slopes in either direction, as well as down the road to the east.
Shooting skags in the mouth (this is easiest while they roar, or during certain attacks where they may pounce with their mouths open) allows for a critical hit to be scored, dealing amplified damage. Some caution is advised among packs of skags, as they can inflict high melee damage.
Completion[]
""I guess those skags didn't give you much trouble, eh? You clearly know how to handle a gun. That's good, real good. You're gonna need it, 'cause I've got somethin' else for you to help me with.""",Borderlands
https://borderlands.fandom.com/wiki/Fix%27er_Upper,Main,"""If you're gonna head out of town, you need a shield. A shield forms an invisible barrier around you that absorbs damage. Normally, you'd buy one from the med vendor here, but this one took a bullet during the bandit raid. Fortunately, it just needs a new Power Coupling, and it so happens there's an old vendor we can use for parts. It's right outside of town, down the road east. Go grab the part, install it into the med vendor, and buy yourself a shield.""","Fix'er Upper Video walkthrough
Objectives[]
Obtain a Power Coupling, repair the med vendor, and buy a shield.
Power Coupling
Med Vendor repaired
Shield purchased
Strategy[]
To find the Power Coupling, head out of the gate that leads outside of Fyrestone and turn left to avoid another skag confrontation near the Skag den opposite the gate. Further along the path is a small shack with more skags to fight nearby. The power coupling is attached to a broken med vendor beside the shack.
When the power coupling is retrieved, head back to Dr. Zed's building and use the power coupling to repair the vending machine. The vending machine can now be used to buy and sell items, including shields. The Item Of The Day will be a shield as well, and may be a preferable choice of purchase if the funds are available. The freshly bought shield will automatically equip and Dr. Zed will then be ready to offer the mission reward.
Completion[]
""See? You don't need a PhD to do my job. I guess people just feel more comfortable with my honest face and bedside manner. Feel free to sell your items at the med vendor and buy some First Aid Kits for later.""",Borderlands
https://borderlands.fandom.com/wiki/Blinding_Nine-Toes,Main,"""Nine-Toes placed a few men at a small outpost outside of town, across the road and west. Those men report every move we make, so our next move should be to make them dead.""","Blinding Nine-Toes Video walkthrough
Objectives[]
Kill bandits and return to Dr. Zed.
Bandits killed: 0/8
Strategy[]
Dr. Zed states that his actions are being monitored by some of Nine-Toes' thugs. He wants them eliminated. Follow the mission marker outside of Fyrestone and cross the road where there's a small outpost to the west. Only 8 Bandits need to be killed to complete the objective, however it does not take much more effort to kill the rest and loot the camp, which contains a red chest. Once completed, return to Zed and talk to him to complete the mission.
Completion[]
""Well done, friend. Here's the bounty for those guys. By the time Nine-Toes realizes we've taken out his eyes, we'll already be making our next move.""
v • d • eBorderlands Missions Borderlands Main Missions

Arid Badlands • 
Fresh Off The Bus • 
The Doctor Is In • 
Claptrap Rescue • 
Skags At The Gate • 
Fix'er Upper • 
Blinding Nine-Toes • 
Nine-Toes: Meet T.K. Baha • 
Nine-Toes: T.K.'s Food • 
Got Grenades? • 
Nine-Toes: Take Him Down • 
Nine-Toes: Time To Collect • 
Job Hunting • 
Catch-A-Ride • 
Bone Head's Theft • 
The Piss Wash Hurdle • 
Return To Zed • 
Sledge: Meet Shep • 
Sledge: The Mine Key • 
Sledge: To The Safe House • 
Sledge: Battle For The Badlands • 
Leaving Fyrestone • 
Dahl Headlands • 
Getting Lucky • 
Powering The Fast Travel Network • 
Road Warriors: Hot Shots • 
Road Warriors: Bandit Apocalypse • 
New Haven • 
Power To The People • 
Seek Out Tannis • 
Meet 'Crazy' Earl • 
Get Off My Lawn! • 
Hair Of The Dog • 
The Next Piece • 
Jaynistown: Secret Rendezvous • 
Jaynistown: A Brother's Love • 
Jaynistown: Spread The Word • 
Jaynistown: Getting What's Coming To You • 
Jaynistown: Unintended Consequences • 
Jaynistown: Cleaning Up Your Mess • 
Another Piece Of The Puzzle • 
Not Without My Claptrap • 
Salt Flats • 
The Final Piece • 
Get Some Answers • 
Find The Echo Command Console • 
Reactivate the ECHO Comm System • 
Find Steele • 
Destroy The Destroyer • 
Bring The Vault Key To Tannis


 Side Missions

A Bug Problem • 
Altar Ego: Burning Heresy • 
Altar Ego: Godless Monsters • 
Altar Ego: The New Religion • 
Bait And Switch • 
Bandit Treasure: Three Corpses, Three Keys • 
Bandit Treasure: X Marks the Spot • 
Big Game Hunter • 
Braking Wind • 
By The Seeds Of Your Pants • 
Circle Of Death: Round 1 • 
Circle Of Death: Round 2 • 
Circle Of Death: Meat And Greet • 
Circle Of Death: Final Round • 
Circle Of Slaughter: Round 1 • 
Circle Of Slaughter: Round 2 • 
Circle Of Slaughter: Meat and Greet • 
Circle Of Slaughter: Final Round • 
Claptrap Rescue: Crimson Fastness • 
Claptrap Rescue: Krom's Canyon • 
Claptrap Rescue: New Haven • 
Claptrap Rescue: Old Haven • 
Claptrap Rescue: Safe House • 
Claptrap Rescue: Scrapyard • 
Claptrap Rescue: Tetanus Warren • 
Claptrap Rescue: The Lost Cave • 
Claptrap Rescue: The Salt Flats • 
Claptrap Rescue: Trash Coast • 
Corrosive Crystal Harvest • 
Death Race Pandora • 
Dumpster Diving For Great Justice • 
Earl Needs Food...Badly • 
Earl's Best Friend • 
Find Bruce McClane • 
Firepower: All Sales Are Final • 
Firepower: Market Correction • 
Firepower: Plight Of The Middle Man • 
Fuel Feud • 
Get A Little Blood On The Tires • 
Get The Flock Outta Here • 
Ghosts of the Vault • 
Green Thumb • 
Hidden Journal: The Arid Badlands • 
Hidden Journal: Rust Commons East • 
Hidden Journal: Rust Commons West • 
House Hunting • 
I've Got A Sinking Feeling... • 
Insult To Injury • 
Is T.K. O.K.? • 
Jack's Other Eye • 
King Tossing • 
Like A Moth To Flame • 
Middle Of Nowhere No More: Fuses? Really? • 
Middle Of Nowhere No More: Investigate • 
Middle Of Nowhere No More: Scoot On Back • 
Middle Of Nowhere No More: Small Favor • 
Missing Persons • 
Product Recall • 
Relight The Beacons • 
Scavenger: Combat Rifle • 
Scavenger: Machine Gun • 
Scavenger: Revolver • 
Scavenger: Shotgun • 
Scavenger: Sniper Rifle • 
Scavenger: Submachine Gun • 
Schemin' That Sabotage • 
Scooter's Used Car Parts • 
Shock Crystal Harvest • 
Smoke Signals: Investigate Old Haven • 
Smoke Signals: Shut Them Down • 
T.K. Has More Work • 
T.K.'s Life And Limb • 
The Legend Of Moe and Marley • 
Today's Lesson: High Explosives • 
Two Wrongs Make A Right • 
Up To Our Ears • 
Wanted: Fresh Fish • 
Well There's Your Problem Right There • 
What Hit The Fan • 
Why Are They Here?


 The Zombie Island of Dr. Ned Main Missions

Welcoming Committee • 
Is The Doctor In? • 
House of the Ned • 
There May Be Some Side Effects... • 
Secrets and Mysteries • 
Jakobs Fodder • 
Hitching A Ride • 
A Bridge Too Ned • 
Night of the Living Ned • 
Ned's undead, baby, Ned's undead


 Side Missions

Missing: Hank Reiss • 
Eggcellent Opportunity! • 
Pumpkinhead • 
Leave It To The Professionals • 
Here We Go Again • 
The Pack • 
It's Alive • 
Upsale • 
Claptrap Rescue: The Lumber Yard • 
TK Lives! • 
Brains • 
Braaains • 
Braaaaains • 
Braaaaaaaaaaaains • 
Braaaaaaaaaaaaaaaaains


 Mad Moxxi's Underdome RiotProve Yourself. The Secret Armory of General Knoxx Main Missions

Scooter? But I Don't Even Know Her. • 
Boost the Monster • 
Greasemonkey • 
You've Got Moxxi: Roadblock • 
You've Got Moxxi: Moxxi's Red Light • 
Prison Break: Road Warrior • 
Prison Break: Over the Wall • 
Prison Break: Try Not to Get Shanked • 
Rendezvous • 
Code Breaker: Analysis • 
Code Breaker: Time is Bullets • 
Athena Set Up Us The Bomb • 
Bridging the Gap • 
Armory Assault • 
Loot Larceny


 Side Missions

Big Crimson Brother is Watching • 
Bugged • 
Circle of Duty: Cadet • 
Circle of Duty: Corporal • 
Circle of Duty: Medal of Duty • 
Circle of Duty: New Recruit • 
Circle of Duty: Private • 
Circle of Duty: Sergeant • 
Claptrap Rescue: Lockdown Palace • 
Core Collection • 
Drifter Lifter • 
It's Like Christmas! • 
Knoxxed Out • 
Little People, Big Experiments • 
Local Trouble • 
Lost Lewts • 
Mop Up • 
OMG APC • 
Power Leech • 
Purple Juice! • 
Road Rage • 
Stain Removal • 
Super-Marcus Sweep • 
This Bitch is Payback • 
This Bitch is Payback, pt. 2 • 
Thrown for a Loop • 
Wanted: Dead! • 
You. Will. Die.


 Claptrap's New Robot Revolution Main Missions

Are You From These Parts? • 
New Contact • 
Operation Trap Claptrap Trap, Phase One • 
Operation Trap Claptrap Trap, Phase Two: Industrial Revolution • 
Operation Trap Claptrap Trap, Phase Three: TripWIRED • 
Operation Trap Claptrap Trap, Phase Four: Reboot • 
Helping is its own reward... Wait No it isn't!


 Side Missions

Fight For Your Right To Part-E • 
Parts Is Parts • 
We All Have Our Part To Play • 
A Part Of Something Larger Than Yourself • 
Like Shootin' Rakk in a Barrel • 
Spa Vs. Spa • 
Burnin’ Rubber • 
One-UpmanPipp • 
It's a Trap... Clap • 
Finger Lickin' Bad! • 
Taking Stock • 
Not My Fault • 
Old Spicy • 
Eleven Rakk And Spices",Borderlands
https://borderlands.fandom.com/wiki/Nine-Toes:_Meet_T.K._Baha,Main,"""There's a reward for the death of Nine-Toes, but he's elusive. We don't really know where his hideout is. Talk to T.K. Baha at his farm south of Fyrestone. He's blind as a bat, but no one knows the area better than he does. Maybe he can help.""","Nine-Toes Meet T.K. Baha Video walkthrough
Objectives[]
Talk to T.K. Baha at T.K.'s Claim.
T.K. Baha met
Strategy[]
Dr. Zed says that in order to kill Nine-Toes, information on his hideout will need to be obtained from T.K. Baha. The mission marker south of Fyrestone points the way to T.K.'s house, and talking to Baha completes the mission.
Completion[]
""Who's there?! Oh, new kid in town, eh? The name's T.K. Baha. Wait! I think I heard somethin'...""
v • d • eBorderlands Missions Borderlands Main Missions

Arid Badlands • 
Fresh Off The Bus • 
The Doctor Is In • 
Claptrap Rescue • 
Skags At The Gate • 
Fix'er Upper • 
Blinding Nine-Toes • 
Nine-Toes: Meet T.K. Baha • 
Nine-Toes: T.K.'s Food • 
Got Grenades? • 
Nine-Toes: Take Him Down • 
Nine-Toes: Time To Collect • 
Job Hunting • 
Catch-A-Ride • 
Bone Head's Theft • 
The Piss Wash Hurdle • 
Return To Zed • 
Sledge: Meet Shep • 
Sledge: The Mine Key • 
Sledge: To The Safe House • 
Sledge: Battle For The Badlands • 
Leaving Fyrestone • 
Dahl Headlands • 
Getting Lucky • 
Powering The Fast Travel Network • 
Road Warriors: Hot Shots • 
Road Warriors: Bandit Apocalypse • 
New Haven • 
Power To The People • 
Seek Out Tannis • 
Meet 'Crazy' Earl • 
Get Off My Lawn! • 
Hair Of The Dog • 
The Next Piece • 
Jaynistown: Secret Rendezvous • 
Jaynistown: A Brother's Love • 
Jaynistown: Spread The Word • 
Jaynistown: Getting What's Coming To You • 
Jaynistown: Unintended Consequences • 
Jaynistown: Cleaning Up Your Mess • 
Another Piece Of The Puzzle • 
Not Without My Claptrap • 
Salt Flats • 
The Final Piece • 
Get Some Answers • 
Find The Echo Command Console • 
Reactivate the ECHO Comm System • 
Find Steele • 
Destroy The Destroyer • 
Bring The Vault Key To Tannis


 Side Missions

A Bug Problem • 
Altar Ego: Burning Heresy • 
Altar Ego: Godless Monsters • 
Altar Ego: The New Religion • 
Bait And Switch • 
Bandit Treasure: Three Corpses, Three Keys • 
Bandit Treasure: X Marks the Spot • 
Big Game Hunter • 
Braking Wind • 
By The Seeds Of Your Pants • 
Circle Of Death: Round 1 • 
Circle Of Death: Round 2 • 
Circle Of Death: Meat And Greet • 
Circle Of Death: Final Round • 
Circle Of Slaughter: Round 1 • 
Circle Of Slaughter: Round 2 • 
Circle Of Slaughter: Meat and Greet • 
Circle Of Slaughter: Final Round • 
Claptrap Rescue: Crimson Fastness • 
Claptrap Rescue: Krom's Canyon • 
Claptrap Rescue: New Haven • 
Claptrap Rescue: Old Haven • 
Claptrap Rescue: Safe House • 
Claptrap Rescue: Scrapyard • 
Claptrap Rescue: Tetanus Warren • 
Claptrap Rescue: The Lost Cave • 
Claptrap Rescue: The Salt Flats • 
Claptrap Rescue: Trash Coast • 
Corrosive Crystal Harvest • 
Death Race Pandora • 
Dumpster Diving For Great Justice • 
Earl Needs Food...Badly • 
Earl's Best Friend • 
Find Bruce McClane • 
Firepower: All Sales Are Final • 
Firepower: Market Correction • 
Firepower: Plight Of The Middle Man • 
Fuel Feud • 
Get A Little Blood On The Tires • 
Get The Flock Outta Here • 
Ghosts of the Vault • 
Green Thumb • 
Hidden Journal: The Arid Badlands • 
Hidden Journal: Rust Commons East • 
Hidden Journal: Rust Commons West • 
House Hunting • 
I've Got A Sinking Feeling... • 
Insult To Injury • 
Is T.K. O.K.? • 
Jack's Other Eye • 
King Tossing • 
Like A Moth To Flame • 
Middle Of Nowhere No More: Fuses? Really? • 
Middle Of Nowhere No More: Investigate • 
Middle Of Nowhere No More: Scoot On Back • 
Middle Of Nowhere No More: Small Favor • 
Missing Persons • 
Product Recall • 
Relight The Beacons • 
Scavenger: Combat Rifle • 
Scavenger: Machine Gun • 
Scavenger: Revolver • 
Scavenger: Shotgun • 
Scavenger: Sniper Rifle • 
Scavenger: Submachine Gun • 
Schemin' That Sabotage • 
Scooter's Used Car Parts • 
Shock Crystal Harvest • 
Smoke Signals: Investigate Old Haven • 
Smoke Signals: Shut Them Down • 
T.K. Has More Work • 
T.K.'s Life And Limb • 
The Legend Of Moe and Marley • 
Today's Lesson: High Explosives • 
Two Wrongs Make A Right • 
Up To Our Ears • 
Wanted: Fresh Fish • 
Well There's Your Problem Right There • 
What Hit The Fan • 
Why Are They Here?


 The Zombie Island of Dr. Ned Main Missions

Welcoming Committee • 
Is The Doctor In? • 
House of the Ned • 
There May Be Some Side Effects... • 
Secrets and Mysteries • 
Jakobs Fodder • 
Hitching A Ride • 
A Bridge Too Ned • 
Night of the Living Ned • 
Ned's undead, baby, Ned's undead


 Side Missions

Missing: Hank Reiss • 
Eggcellent Opportunity! • 
Pumpkinhead • 
Leave It To The Professionals • 
Here We Go Again • 
The Pack • 
It's Alive • 
Upsale • 
Claptrap Rescue: The Lumber Yard • 
TK Lives! • 
Brains • 
Braaains • 
Braaaaains • 
Braaaaaaaaaaaains • 
Braaaaaaaaaaaaaaaaains


 Mad Moxxi's Underdome RiotProve Yourself. The Secret Armory of General Knoxx Main Missions

Scooter? But I Don't Even Know Her. • 
Boost the Monster • 
Greasemonkey • 
You've Got Moxxi: Roadblock • 
You've Got Moxxi: Moxxi's Red Light • 
Prison Break: Road Warrior • 
Prison Break: Over the Wall • 
Prison Break: Try Not to Get Shanked • 
Rendezvous • 
Code Breaker: Analysis • 
Code Breaker: Time is Bullets • 
Athena Set Up Us The Bomb • 
Bridging the Gap • 
Armory Assault • 
Loot Larceny


 Side Missions

Big Crimson Brother is Watching • 
Bugged • 
Circle of Duty: Cadet • 
Circle of Duty: Corporal • 
Circle of Duty: Medal of Duty • 
Circle of Duty: New Recruit • 
Circle of Duty: Private • 
Circle of Duty: Sergeant • 
Claptrap Rescue: Lockdown Palace • 
Core Collection • 
Drifter Lifter • 
It's Like Christmas! • 
Knoxxed Out • 
Little People, Big Experiments • 
Local Trouble • 
Lost Lewts • 
Mop Up • 
OMG APC • 
Power Leech • 
Purple Juice! • 
Road Rage • 
Stain Removal • 
Super-Marcus Sweep • 
This Bitch is Payback • 
This Bitch is Payback, pt. 2 • 
Thrown for a Loop • 
Wanted: Dead! • 
You. Will. Die.


 Claptrap's New Robot Revolution Main Missions

Are You From These Parts? • 
New Contact • 
Operation Trap Claptrap Trap, Phase One • 
Operation Trap Claptrap Trap, Phase Two: Industrial Revolution • 
Operation Trap Claptrap Trap, Phase Three: TripWIRED • 
Operation Trap Claptrap Trap, Phase Four: Reboot • 
Helping is its own reward... Wait No it isn't!


 Side Missions

Fight For Your Right To Part-E • 
Parts Is Parts • 
We All Have Our Part To Play • 
A Part Of Something Larger Than Yourself • 
Like Shootin' Rakk in a Barrel • 
Spa Vs. Spa • 
Burnin’ Rubber • 
One-UpmanPipp • 
It's a Trap... Clap • 
Finger Lickin' Bad! • 
Taking Stock • 
Not My Fault • 
Old Spicy • 
Eleven Rakk And Spices",Borderlands
https://borderlands.fandom.com/wiki/Nine-Toes:_T.K.%27s_Food,Main,"""I did hear it! Damned skags gettin' into my food! Damn them all to hell! You! Whoever you are, I want you to go kill those rat-bastards! They just stole half my food stores! Go get my food back, then we'll talk after I ain't so pissed off.""","Nine-Toes T.K.'s Food Video walkthrough
Objectives[]
Recover the stolen food items and return to T.K. Baha.
Stolen Food: 0/4
Strategy[]
T.K. says that the skags have made off with his food and he won't talk until he gets it back. The mission marker leads to the west of T.K.'s farm where there are numerous many skag dens. The mission markers indicate each piece of food, most of which are within range of nearby skags. Once the fourth piece of food has been collected, the mission can be turned in to T.K.
Completion[]
""Whoo! I enjoyed listening to that. Skag corpses hittin' the ground is like music to my ears. Brought my food back, did ya? Thank you, stranger. So, you're lookin' for Nine-Toes' hideout? It's over in Skag Gully. Seein' as you helped me with my skag problem, I'm happy to help you with your Nine-Toes problem!""",Borderlands
https://borderlands.fandom.com/wiki/Got_Grenades%3F,Main,"""Good news! I just heard Marcus reopened his weapon vendor in Fyrestone! Before you go after Nine-Toes, you gotta get yourself some grenades. I'm so happy you killed them skags that I'd just hand you some, but I don't have any left after my last fishin' trip. So, head over to Fyrestone and buy some grenades. Then come on back.""",,Borderlands
https://borderlands.fandom.com/wiki/Nine-Toes:_Take_Him_Down,Main,"""Nine-Toes is in Skag Gully, but I barricaded the nearest entrance when the skags started actin' up. I rigged it with explosives, just in case I ever wanted to get back in. 'Always plan ahead,' I say! Once you're in, look for my wife's grave. It so happens that I stashed one of her favorite guns behind the grave marker. Use it to kill Nine-Toes. She would've wanted it that way.""","Nine-Toes Take Him Down Video walkthrough
Objectives[]
Destroy the barricade, enter Skag Gully, and kill Nine-Toes.
Barricade destroyed
Gun stash found
Nine-Toes killed
Nine-Toes[]
Upon dropping into the pit (see Map2) the fight with Nine-Toes will begin. Nine-Toes is equipped with an average shield, and has about the same amount of health as a Bruiser. Once Nine-Toes' shield is depleted and he begins taking health damage, his two pet Skags are released. Use the pillars as cover. Depleting  Nine-Toes' health in a single shot will prevent Pinky and Digit from spawning.
Incendiary damage is highly effective against not only Nine Toes himself, but Pinky and Digit as well. If no incendiary weapons are available, it may help to kill Nine-Toes first, pick up The Clipper and equip that for use against his pets.
It should be noted that a solid Sniper Rifle will kill him in 2-3 headshots, although this may be difficult due to Pinky and Digit being on the field.
Once Nine-Toes is dead, the elevator will work again, even if the skags are still alive. If Nine-Toes can be killed quickly, fleeing the arena to recover and come back for the skags becomes an option.
Strategy[]
T.K. Baha explains that Nine-Toes is in Skag Gully but he barricaded the nearest entrance. Follow the mission marker to the east where a charge is rigged to blow up the wall (see Map1). Detonate it and head into Skag Gully. Follow the mission marker under a rock bridge and then to the right where TK's wife is buried. Check her grave to find the Lady Finger and a class specific weapon. In playthrough 2, the weapons stash may hold an Eridian weapon. Continue south into Nine-Toes' lair. Stock up on ammo and supplies at the save point. A med kit will come in handy here.
The strategy for playing various classes is different:
Hunter: Move right or left and take the high ground after using Bloodwing on him. Wait for the skags to come out and shoot them when their mouths are open. Finish off Nine-Toes with a critical shot or several body shots. Try for critical shots as often as possible. The new Lady Finger works well due to its ability to double critical damage. A sniper rifle may work better than the Lady Finger for long distance critical hits.
Siren: If she has an SMG equipped, and is at least level 5, phase-walking behind nine toes and striking him from phasewalk is effective. Finish him with an SMG.
Soldier: Immediately run up to Nine-Toes and spray him with rifle fire. It is easier to take out his pet skags after he is dead by taking cover and shooting. The Scorpio Turret is invaluable in this fight.
Berserker: Berserk straight at Nine Toes, aim for the face. Afterwards, use normal anti-skag tactics for his pets.
Completion[]
""Huh? Who's there?! Oh, it's you again. So you actually pulled it off! Nine-Toes is dead. That'll piss off his boss Sledge for sure. Oh, if only my wife were here now. If only I could remember her name. So lonely...""",Borderlands
