"Quest","Quick Walkthrough","Detailed Walkthrough"
"https://en.uesp.net/wiki/Daggerfall:The_Abducted_Child","Talk to a Merchant or an Innkeeper. Travel to the town which was mentioned to you. Enter the residence and grab the child. Deal with any attacking assassins. Return to your employer within the time limit and collect your reward.","A Kidnapping[edit] Speak to a merchant or innkeeper, who says: ""I am desperate. The Dark Brotherhood has taken my child (child's name) and will kill (him/her) if I do not pay a ransom. I do not have enough to buy (his/her) freedom, but I can pay you (random gold) gold pieces if you will free (him/her)."" or ""My child, my poor (child's name) is gone, stolen away by the Dark Brotherhood for (random god) knows what hideous purpose. You must help me, (player's first name). I'll give you all I have, (random gold) gold, if you will bring my child back home to me."" Accept[edit] The merchant or innkeeper goes on: ""You are my savior! My name is (employer's name). Quickly now, for you only have (time limit) days before they kill (child's name). (He/She) is being held in (residence) in (town)."" Decline[edit] The merchant or innkeeper answers: ""This is a dark day for me. (child's name) will surely be slain by the Dark Brotherhood. May (his/her) ghost haunt you for the rest of your days!"" Finding the Child[edit] This missing child was not alone, at least The Dark Brotherhood will send assassins after you  Head to the town and ask for the residence until you have its location, then enter the building. The door may be locked, so be prepared to pick the lock or otherwise gain entrance. When you do, you will receive the message: The (residence) is dark and ominous. It is certain that enemies lurk everywhere. The kidnapped child is somewhere within; search every room until you locate them. When you find and speak to the child, you will hear: ""Are you here to rescue me? My name is (child's name). I don't like these people. Please take me back to my family."" Once the child is following you, some assassins from the Dark Brotherhood may appear and attack you. Upon hitting one for the first time, you will hear: ""No one messes with the Dark Brotherhood and lives!"" Kill any assassins and head back to your employer to receive your reward. Reward[edit] When you return with the child, your employer will be overjoyed and say: ""(Child's name)! You are alive and well! (Player's first name), I owe you a debt that can never be fully repaid. This modest reward is the least that I can give you."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Questgiver's faction +5   Questgiver's associated factions +2 A failed quest (time limit expired) results in a reputation loss according to the table below. Faction/Person Reputation Gain   Questgiver's faction -2   Questgiver's associated factions -1 Additional Reputation[edit] If you complete the quest successfully, you will lose reputation withe the Dark Brotherhood as shown below. Faction/Person Reputation Gain   Dark Brotherhood -15   Associated factions -8 Enemies[edit] 4x One Assassin every two in-game minutes (30% chance) once you enter the house the child is held captive"
"https://en.uesp.net/wiki/Daggerfall:The_Acceptance_Test","Murder at least three citizens or fifteen town guards. Wait for about three days to receive a letter. Travel to the town named in the letter. Meet the poisonmaker in town and get a bottle of snake venom. Travel to the first town named by the poisonmaker and gain entry to the victim's home. Find and pick up the wine decanter. Drop the poisoned decanter from your inventory and leave. Travel to the second town named by the poisonmaker and meet the Dark Brotherhood contact within the time limit to complete the test.","Prelude[edit] If you have murdered a minimum of three citizens or fifteen town guards, your actions will attract the attention of the Dark Brotherhood. About three days after reaching the requisite number of murders, you will receive a letter: A young street urchin presses a letter into your hand. As you attempt to question him, it becomes obvious that he is both deaf and mute. With a wave of frustration you send him on his way. or You feel a letter slip into your hand and hear the sound of footsteps scampering away. There is no other sign of the mysterious courier. Check your inventory for the letter. It reads: (Player's name)      The Dark Brotherhood has been watching  you. You have slain without sanction several  times. You must now join us, or be counted  as our foe. Travel to (town)  in (region) and see (apothecary's name),  who will give you further instructions. A Brother Joining the Family[edit] One of the Dark Brotherhood's experts on poisons The wine decanter  This quest takes place in the region where you received the letter. Should you wish to accept the Dark Brotherhood's offer, travel to the town named in the letter and ask around to locate the apothecary's location, an alchemist's shop. Enter the shop and speak to the poisonmaker, who says: ""Ah, you must be (player's name). The Dark Brotherhood has been watching you. You have proven you can kill with a blade. The Brotherhood does not tolerate rogue assassins. You must either join us, or be marked for death. The Brotherhood will initiate you as a full member if you take this Snake venom and place it in the wine decanter of (victim's name) in (residence) of (first town). You have (time limit) days to do this and report to (Dark Brotherhood contact's name) in (second town). The blessings of Mephala upon you, (player's name). Travel to the first town and ask around to learn the location of the victim's home. The door may be locked, so be prepared to pick the lock or open it with magic if need be. Once inside, locate the wine decanter; it looks like a potion standing on the ground. Pick it up and you will automatically add the poison, and see the following message: The Snake venom clouds the wine but briefly. In a few seconds the drink looks normal again. Now all you have to do is put it back. Drop the wine decanter from your inventory anywhere in the house and leave quickly, as your actions attract the attention of some spellsword guards. Once you've escaped, travel to the second town named by the apothecary, and ask around to learn the location of the Dark Brotherhood contact. Enter the building and speak to the contact to complete the test, and end the quest. Reward[edit] A member of the Dark Brotherhood  If you successfully poisoned the wine, your contact says: ""Well done, (player's name). (Victim's name) was stricken with sudden heart failure. Poor bastard. You have shown you can kill with care and not just with a bared blade. You are now a full member of the Dark Brotherhood. Anytime you enter a town, you will know if there are any guild buildings there. It is customary for the novice to receive payment of a single gold coin for his [sic] first sanctioned death. Here is yours."" If you speak to the contact before the assassination is complete, you will be told: ""You have failed, (player's name). (Victim's name) still lives. It is a guild rule that someone must die once a contract is accepted. You must take the place of (victim's name)."" Two nightblades and two assassins will then appear and attack you. In this instance, you have failed the quest and will be unable to join the Dark Brotherhood. Reputation Gain/Loss[edit] A successfully completed task will gain you no reputation. If you ignore the letter, the quest will count as failure after the time limit expires and you will lose reputation as shown in the table below. Faction/Person Reputation Gain   The Dark Brotherhood -25   Associated factions of the Dark Brotherhood -13   Oblivion and all associated Daedra Princes +1   Sheogorath -1   The Night Mother +1   The Dark Brotherhood and its associated factions +1   Ebonarm -1   The Order of Arkay and its associated factions -1   The Benevolence of Mara and its associated factions -1   The Akatosh Chantry and its associated factions -1   The School of Julianos and its associated factions +1   The House of Dibella and its associated factions -1   The Temple of Stendarr and its associated factions +1   The Mages Guild and its associated factions -1   The Thieves Guild and its associated factions +1   Random Ruler -1   Daggerfall and its associated factions -1   Sentinel and its associated factions -1   Wayrest and its associated factions -1   The King of Worms and The Necromancers -1   The Underking and his Agents -1   Orsinium and its associated factions -1   The Glenmoril Witches -1   The Dust Witches +1   The Daughters of Wroth +1   The Witches of the Marsh +1   The Beldama +1   The Tide Witches +1   The Merchants -1   The Bards -1   The Prostitutes -1   Wrothgarian Mountains and its associated factions +1 (Allies/Enemies affiliations for listed factions are not considered.) If you accepted the assassination but didn't complete it successfully, you will lose reputation according to following table. Faction/Person Reputation Gain    The Dark Brotherhood -35   Associated factions of the Dark Brotherhood -18 If you accepted the assassination but haven't completed it successfully and report to the Dark Brotherhood's contact, you will lose reputation according to following table. Faction/Person Reputation Gain    The Dark Brotherhood -150   Associated factions of the Dark Brotherhood -75 (Allies/Enemies affiliations for listed factions are not considered in the tables) Enemies[edit] 3x One Spellsword every three in-game minutes (25% chance) as long as you are in the residence Two Nightblades if you report to the Dark Brotherhood's contact without completing the assassination Two Assassins if you report to the Dark Brotherhood's contact without completing the assassination"
"https://en.uesp.net/wiki/Daggerfall:Akorithi%27s_Minions","",""
"https://en.uesp.net/wiki/Daggerfall:An_Ancient_Scroll","Talk to the Guildmagister at a Mages Guild hall. Head to the dungeon the Guildmagister mentioned. Find and retrieve the scroll you have come for. Bring it back to the Guildmagister within the time limit.","Ancient Secrets[edit] The Guildmagister says: ""Hmmph. You're not a guild member. I really shouldn't give out jobs to non-members. However, I have something that I need done that I don't really want anyone else in the guild to find out about. If you do this for me for free, I'll spread it around that you are our kind of (player's race). What do you say (player's first name)?"" Accept[edit] The Guildmagister goes on: ""My name is (Guildmagister's name). There is an ancient text supposedly hidden in (dungeon). Bring it back to me within (time limit) days and I'll consider the job done."" Decline[edit] The Guildmagister answers: ""Go away. You bother me."" or ""Ingrate."" Seeking the Scroll[edit] A warning would have been nice...  This quest is yet another dungeon crawl. Travel to the dungeon the Guildmagister told you about and find the scroll within. Once you have found it, pick it up and receive a notification: This must be the parchment (Guildmagister's name) sent you to find. Be warned, reading the scroll will summon an Ice Atronach which will attack you, so it is advised to keep your eyes off the scroll. However, reading it has no negative influence on the outcome of the quest. If you read it, the following invocation is written on the scroll: Zephrim alga n' nagog. Carti alga n' belyl. Azuth Zephrim ne'  nagog. Partik aloy partik frae i eyominathraq n' toyl. Berik azuth n' nagog. Charlaq gimle n' maluk Zephrim qork. And as a result: As you read the final word, a frigid blast almost whirls the paper out of your hands. Deal with the ice atronach. Afterward, or immediately if you did not let curiosity get the better of you, return the scroll to the Guildmagister. Reward[edit] When you bring the scroll to the Guildmagister in time he says: ""Excellent. I remembered to warn you not to read this, didn't I?  Could be quite dangerous if you pronounced ""nagog"" with the hard g, as laymen are apt. Well, thanks for your help, (player's name). Keep this up and we'll consider you for membership in the Mages Guild."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Mages Guild +5   The Mercenary Mages +5   Associated factions +2 A failed quest results in a reputation loss according to the table below. Faction/Person Reputation Gain   Mages Guild -3   The Mercenary Mages -3   Associated factions -2   Oblivion and all associated Daedra Princes +1   Sheogorath -1   The Night Mother +1   The Dark Brotherhood and its associated factions +1   Ebonarm -1   The Order of Arkay and its associated factions -1   The Benevolence of Mara and its associated factions -1   The Akatosh Chantry and its associated factions -1   The School of Julianos and its associated factions +1   The House of Dibella and its associated factions -1   The Temple of Stendarr and its associated factions +1   The Thieves Guild and its associated factions +1   Random Ruler -1   Daggerfall and its associated factions -1   Sentinel and its associated factions -1   Wayrest and its associated factions -1   The King of Worms and The Necromancers -1   The Underking and his agents -1   Orsinium and its associated factions -1   The Glenmoril Witches -1   The Dust Witches +1   The Daughters of Wroth +1   The Witches of the Marsh +1   The Beldama +1   The Tide Witches +1   The Merchants -1   The Bards -1   The Prostitutes -1   Wrothgarian Mountains and its associated factions +1 (Allies/Enemies affiliations for listed factions are not considered.) Enemies[edit] Random dungeon monsters One Ice Atronach if you read the scroll"
"https://en.uesp.net/wiki/Daggerfall:The_Ancient_Watcher","Receive a letter from an Agent of the Underking. Meet with the Agent of the Underking. Find the cursed magical item within Castle Llugwych in Ykalon. Return it to the agent in time to learn the location of Lysandus' Tomb.","...wishes to meet in secret... ...to ask you to retrieve a cursed item... ...from Castle Llugwych, stronghold of the Blades Another Mysterious Letter[edit] Once you have reached level 8, are not actively disliked by the Agents of the Underking, and have found the Wayrest Painting for Queen Akorithi, the following will soon occur: A young courier drily hands you a letter and then stalks off without saying a word. Check your inventory to find an interesting letter: Dear (player's name), Queen Akorithi of Sentinel spoke highly of you as a brave, able, and unprejudiced (player's race). Her actual words were 'a hero.' For some time, we have been looking for someone like that. I will not lie to you about our loyalties. We serve the Underking. If you are a believer in fairy tales and consider the Underking the ultimate force of evil, we apologize for misjudging you. Otherwise, we need your help. You can find me at (building) of (town) in Sentinel. I will wait one month. -- (Agent's name) Note: your quest log will not list the town where the Agent of the Underking resides; the town is only named in the initial letter. Since you must return to the agent later to complete the quest, be sure to remember the name of the town or keep the letter safe and easily accessible. The specified rendezvous point is always located in a town in the Kingdom of Sentinel. If you are in a far-flung region, be prepared to travel rapidly as your contact will only wait a month. Travel to the town and find the target building. The door may be locked, so have an Open spell handy if you do not want to pick the lock or force the door. Enter the building and speak with the agent, who will greet you: ""Good day, (player's first name). My name is (agent's name). I must admit that I am surprised to see you. Are you perhaps able to help the Underking in an endeavor against the Necromancers? We will reward you liberally for this service, and provide information you will probably not be able to find elsewhere."" Agree to help, and the agent will reply: ""You will. Hmm. Remarkable. The Necromancers have taken an item of ours, a (magical item) of some value. The value is of secondary concern. The true problem is that they cursed this item and gave it to the Blades. If you are unaware, the Blades were once the honor guard for Tiber Septim. Today they are loyal to the empire and Tiber's code, but not always to the current emperor. The Underking has reason to not wish harm upon the Blades. We want you to infiltrate Castle Llugwych in Ykalon and remove the (magical item). Please have this done in (time limit) days if you want your information and reward."" Ykalon is far to the north, so gather what you need and set off without much delay. Castle Llugwych is not far from the City of Ykalon if you want to rest or resupply before or during your exploration of the dungeon. When you are ready, head for the castle and enter it. Finding the Item[edit]   From the entrance, head west into the dining hall. Kill the enemies in this room and go through the west door. Go up the hallway and through the door to the west.   Head south up the hallway, turn west, and go through the door. Leave through the door on the west side of the room and continue west past the intersection in the next hallway. Keep following the hallway south until you reach the door at the end.   Leave the small room through the eastern door. Walk up the hallway and turn south at the intersection. Continue heading south until you see a door on your left.   From the door, either continue south and head east at the intersection or go through the room and exit through the door on the south side. Either way, continue on this hallway and through the door at the end.   Follow the new hallway to the end and go east through the door. Enter the first room on your right in this new hallway and leave through the south door. You will arrive at an inactive elevator platform. To unlock the elevator, head east from the shaft and pull lever 1 in the tiny room. This will unlock a door to another room, where you must pull lever 2. Go back to the elevator and ride it up.   After stepping off the elevator, turn east at the junction. There is a vampire ancient in the next hallway. If you do not have any means of resisting shock damage and paralysis, your only chance is to run past it. In the room beyond is a pedestal with the enchanted item on top. If you did not kill the vampire ancient, grab the item quickly and run out the way you came immediately. Otherwise, you can take your time gathering the other treasures in the room. Backtrack to the castle's entrance the same way you came in.  Answers (and More Questions)[edit] The castle's denizens won't make things easy for you  Return the item, and the Agent of the Underking will say: ""Well done, (player's first name). Let me cast this spell upon the (magical item) ... there. The (magical item) is now safe and yours to keep. Not even death can hide a true descendant of Tiber Septim from the Underking. King Lysandus did not die in the battle of Cryngaine. He was slain by treachery before it. The monument to him in Hammerfell [sic] is an empty tomb. His remains were secretly taken to an ancient tomb in Menevia, which I will now reveal to you. I do not know who betrayed Lysandus, nor why his spirit haunts the city of Daggerfall and not the battlefield of Cryngaine. I have kept my part of the bargain, and you have earned the gratitude of the Underking."" Reputation Gain/Loss[edit] If you return the cursed item to the Underking's agent in time, you will gain/lose reputation according to the table below. Faction/Person Reputation Gain   The Underking +15   Agents of the Underking +15   The King of Worms -10   The Necromancers -20 (Allies/Enemies affiliations for listed factions are not considered) Enemies[edit] Enemies 10x One Wraith every fifty in-game minutes (5% chance) once you have retrieved the magical item"
"https://en.uesp.net/wiki/Daggerfall:An_Anonymous_Job","Talk to a Dark Slayer in a Dark Brotherhood guildhall. Head to the town named by the Dark Slayer. Find and kill your target within the Palace. Report back to the Dark Slayer within the time limit to collect your reward.","Some targets probably shouldn't have been in the palace, like the burglar... ...or the rogue Beware the crafty Daedra Seducer  Anonymous Tip[edit] Speak to the Dark Slayer, who says: ""We have an anonymous job for you. It happens every now and then that someone pays us to remove someone, but never reveals why, or may even work though a go between to keep their identity secret. At any rate, the job is yours if you want it."" Accept[edit] The Dark Slayer goes on: ""Go to Palace of (town). Your target has a scar on the left cheek. That's all we know. Come back in (time limit) days to collect your payment. Mephala bless your blade, (player's name)."" Decline[edit] The Dark Slayer answers: ""Can't blame you for not wanting to get mixed up in this one."" Unknown Target[edit] Travel to the town named by the Dark Slayer and locate the palace. You can enter freely between 10:00 and 18:00, but will have to pick the lock at any other time. Find your target within; there is a 25% chance each that this will be a burglar, a healer, or a rogue. However, you should come prepared as there is also a 25% chance the target will instead be a Daedra Seducer. Enter the palace and engage the target in battle. Remember that if you are facing a Daedra Seducer, your weapon must be of mithril or better quality to harm her. When the enemy dies, a notification confirms it was the target: A fresh scar marks the target's left cheek. Return to the Guildhall to complete the quest. Reward[edit] When you report back after a successful kill, the Dark Slayer says: ""Beautiful, (player's first name), truly. Brings tears to these weary eyes. As lovely an accounting as I've ever seen. I feel like writing a poem. Why don't you take your (random gold) gold pieces and get the hell out of here so I can write a ballad about it. Seriously, I'm very proud, (player's first name)."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Dark Brotherhood +5   Dark Slayers +5   Associated factions +2 A failed quest results in a reputation loss according to the table below. Faction/Person Reputation Gain   Dark Brotherhood -2   Dark Slayers -2   Associated factions -1 (Allies/Enemies affiliations for listed factions are not considered in the tables) Enemies[edit] Quest Target: Any of the following: One Burglar One Daedra Seducer One Healer One Rogue"
"https://en.uesp.net/wiki/Daggerfall:Antique_Ivory","Talk to the quest giver at a Thieves Guild hall. Head to a residence in the current town. Gain entrance to the residence and steal the ivory. Return to the quest giver and collect your reward, or: If you hurt or killed any of the ivory's guards, travel to the client of the heist in another town. Meet the client and hand over the ivory.","The scene of the crime The Ivory in question, stashed in a closet The owner hired rogues to guard his property from thieves like you The shirtless goons with the big swords are the archers sent to kill you (they also carry bows) The client behind the heist  A Valuable Stash[edit] Speak to the quest giver, who says: ""(Player's first name), a simple game. An item in a house that needs lifting. Are you up for it?"" Accept[edit] The quest giver goes on: ""That's the spirit.  As I said, nothing complicated about this job. A client wants to get a hold of a certain antique ivory piece which currently resides in (residence) here in (current town). You have two days to bring it to me, for a finder's fee of (random gold) gold."" Decline[edit] The quest giver answers: ""You'll go far in the Thieves Guild with that attitude. Sure you will."" The Heist[edit] Ask around town to locate the residence where the ivory is being stashed. Go there and gain entry. The door will be locked, so be prepared to pick the lock or cast an Open spell. Find the ivory inside and grab it; you will then receive a message: This looks like the piece of ivory (quest giver's name) sent you to steal. Needless to say, the ivory's owner does not want it stolen, and the guards will descend upon you soon after entering. You may flee or fight; if you choose to fight, hitting a guard elicits a taunting response: ""(Oath), you're a feisty one, aintcha? Better get outta here before I have to really hurt ya."" If you kill a guard, another screams: ""This (player's race) scum killed (guard's name)!"" Reward (or Pursuit)[edit] No matter how you escape, return to the guildhall and speak to the quest giver. What happens next depends on how you handled the burglary. If you bring the ivory to the quest giver without hurting or killing any of the guards, he will say: ""Excellent work, (player's first name). Just the way I like these jobs to go, no fuss, no muss. Here's the (random gold) gold, and congratulations on a job well done."" If this is the case the quest is over, having successfully been completed. However, if any of the guards were injured or killed, he will instead be angry: ""(Player's first name), what are you doing here? I don't know how you could botch such a simple job, but if you don't get yourself and that blasted ivory out of town, we're all going to end up in the slammer, or worse. I don't give a damn about your skin, but the Thieves Guild has a reputation to uphold, and we promised our client that item.  Get over to (second town). (Client's name) will meet you in (client's residence) there. Don't screw up again."" Head to the client's location. You will need to take care, as there will now be a large posse of archers tracking you down. They want the ivory back from you; if you did not kill any guards during the burglary, they will be willing to trade it for your life. Upon being hit, the first archer you attack will say: ""Don't move, or I'll cut you down where you stand!  Give us the ivory you stole from (residence) and I'll let you go."" Giving away the ivory will cause you to fail the quest, but the archers will let you escape, saying: ""You're smarter than you look.  Now run along before we decide to turn you over to the (first town) guard."" Refuse the offer and be met with: ""Then we're just going to have to take it off your dead body."" If you did kill at least one guard during the burglary, then the posse will be out for your head, no quarter given: ""We know how to deal with murdering scum like you. (Archer's name), just be careful not to get any blood on (ivory owner's name)'s ivory when you cut this (player's race)'s throat."" Delivery[edit] Assuming you haven't surrendered the ivory, flee or fight your way to the client's home. Enter and deliver the ivory, and listen to the client rant: ""Well, if it isn't (player's name), the Inept Catburglar?  At least you managed to get through with the item. Says something about your brawn, if not your brains. You didn't actually expect to still get paid, did you?"" As the client implied, you will get no reward. In fact, you will actually lose a small amount of reputation with one subgroup of the Thieves Guild. If you don't deliver the ivory, the quest counts as failure and you will lose two reputation with the Thieves Guild, which is pretty little compared to the fuss that has been made about this whole situation. Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Thieves Guild +5   Shadow Schemers +5   Associated factions +2 A failed quest results in a reputation loss according to the table below. Faction/Person Reputation Gain   Thieves Guild -2   Shadow Schemers -2   Associated factions -1 (Allies/Enemies affiliations for listed factions are not considered in the tables.) If you deliver the ivory to the heist's client in time you will lose a small amount of reputation as seen below, Faction/Person Reputation Gain   Thieves Guild ±0   Shadow Schemers -1   Associated factions ±0 Enemies[edit] Daily from 05:30 to 19:00: 6x One Rogue every two in-game minutes (50% chance) once you enter the residence Otherwise: 3x One Rogue every ten in-game minutes (50% chance) once you enter the residence If you hurt or kill any of the rogues encountered in the residence: 20x Three Archers every sixty in-game minutes (50% chance) until the quest is over"
"https://en.uesp.net/wiki/Daggerfall:The_Arm_of_Fury","Talk to a quest giver of the Temple of Kynareth. Travel to dungeon named by the quest giver. Enter the dungeon, then find and kill the traitor within. Report back to the quest giver within the time limit.","Traitor to the Order[edit] Speak to the quest giver, who says: ""Our order demands retribution on a former member who has turned traitor. Will you be the strong arm of our fury, (player's first name)?"" or ""The Goddess has spoken to us in our auguries, and she demands the blood of the foul villian [sic] who has profaned her name. Help us to appease our angered mistress Kynareth."" Accept[edit] The quest giver goes on: ""Very good. The traitor is a killer who has taken refuge in (dungeon) to the (direction). If you have not returned in (time limit) days, your honor will be forfeit and another will take your place. Do not fail us in this, (player's first name)."" Decline[edit] The quest giver answers: ""An ignoble reply. I expected better."" Dispensing Justice[edit] This quest is a typical dungeon crawl. Head to the dungeon named by the quest giver and enter it. Find the traitor within; your target can be an Assassin, a Knight, a Nightblade or a Spellsword. There may be multiple enemies of these types in the dungeon, but you must kill the target for the quest to count as a success. When the target enemy dies, you hear their last words: ""So...the Kynaran Order...sent you to kill...me. Tell them...I spit on their..."" Return to the Temple and report your success. Reward[edit] When you report back after the traitor has been killed, the quest giver will say: ""Well done. You have reason to be proud."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Deity of the Temple +5   Temple and its associated factions +2 A failed quest results in a reputation loss according to the table below. Faction/Person Reputation Gain   Deity of the Temple -2   Temple and its associated factions -1 Enemies[edit] Random dungeon monsters Quest Target: Any of the following: Assassin Knight Nightblade Spellsword"
"https://en.uesp.net/wiki/Daggerfall:Arms_Supply","Talk to the quest giver at a Thieves Guild hall. Head to the town the quest giver mentions. Deliver the weapon to your contact. Return to the quest giver with the loot the contact gave you. Give the loot to the quest giver within the time limit and collect your sparse reward.","Smuggle the weapon to another town Deliver the goods to the contact's home A Simple Assignment[edit] The quest giver says: ""Awright, (player's first name), this is a simple sort of assignment. One you should have no trouble with. All you gotta do is bring this (weapon) over to our agent in (town), get (his/her) payment for it, and bring it back. Think you can handle that, (player's first name)?"" Accept[edit] The quest giver goes on: ""Okay then, your contact is a (contact's description), about what you'd expect. Supposed to be hanging around a nook they call (building) in (town). Now, (contact's name) has picked up some loot out there in (town) and wants you to bring it back to us. If you  think you can handle all that, we'll expect you back here in (time limit) days with no excuses. All right then. Go."" Decline[edit] The quest giver answers: ""No? How much more simple you want yer assignment to be? Stand still while I slap you with eels? And that might not be such a bad idea! (Oath), what a waste."" Weapon Running[edit] Other thieves don't like you cutting in on their territory Smuggle a gem back to the Thieves Guild  Travel to the town the quest giver sent you to. Take care, as you may encounter resistance along the way from rival thieves or guards seeking to take the weapon from you. After you land a successful hit, your first opponent will shout one of the following: ""Halt in the name of (random name)! I know you are smuggling weapons. Surrender or face the consequences."" or ""I heard you were smuggling (weapon)s for the Thieves Guild. Give them to me and I will spare your life."" or ""We want those (weapon)s. Turn them over and we won't rough you up too bad."" If you surrender the weapon, you are told: ""Now get out of here before you get hurt."" Naturally, if you hand it over you will fail the quest. If you refuse the offer, escape or fight your way to your destination. Find the correct building, enter and speak to your contact, who greets you by saying: ""Well done, (player's first name). I couldn't have made it here as easily carrying that (weapon). Here's a sample of what I've stolen so far ... a (gem). Bring it back to (quest giver's name) and let (him/her) know I'm fine. Thanks again, (player's first name). See you later."" Having traded the weapon for a gem, return to the quest giver to collect your sparse reward. Reward[edit] When giving the loot to the quest giver he will be pleased and say: ""Oh, that's a nice (gem). (Contact's name) gave you that? (Oath), (he/she) must be doing okay out in (town). Good going, (player's first name). Here's (random gold) gold for your trouble."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Thieves Guild +5   Shadow Schemers +5   Associated Factions +2 If you do not bring the weapon to your contact in time, meaning you keep it for yourself, you will lose reputation according to the table below. Faction/Person Reputation Gain   Thieves Guild -12   Shadow Schemers -7   Associated Factions -6 Additional Reputation[edit] If you give the weapon to the guards, you will lose reputation according to the table below. Faction/Person Reputation Gain   Thieves Guild -22   Shadow Schemers -12   Associated factions -11 (Allies/Enemies affiliations for listed factions are not considered in the tables) If you don't bring the gem back to the quest giver in time, you will lose reputation according to the table above. Enemies[edit] 4x One Spellsword every one hundred seventy-nine in-game minutes (5% chance) until you have handed over or delivered the weapon 4x Two Thieves One  every one hundred sixty-three in-game minutes (5% chance) until you have handed over or delivered the weapon 4x One Warrior every one hundred fifty in-game minutes (5% chance) until you have handed over or delivered the weapon"
"https://en.uesp.net/wiki/Daggerfall:The_Army_of_Undead","Talk to the Quester of your Knightly Order. Head to the specified dungeon. Find and kill the lich. Report back to the Quester within the time limit.","The Coming Horde[edit] Speak to the Quester, who says: ""I am (Quester's name) of (Questers). I have a most dangerous quest (player's name). You are one of the few that could possibly take it on. A lich is raising an army of undead. We need someone to go in and put a stop to it."" Accept[edit] The Quester goes on: ""You are brave indeed. The lich has made (dungeon) into its lair. Go there and destroy the foul thing. In (time limit) days we will send out someone else, should you not return."" Decline[edit] The Quester answers: ""I understand, (player's name). This is too dangerous even for you. There are one or two other heroes that might be able to pull this one off. I'll go ask them."" Destroy the Lich[edit] A caged Ancient Lich is still a deadly foe  Head to the dungeon named by the Quester. Enter it, then find and destroy the lich within. Beware, as there is a 33% chance that you will come up against an even more dangerous Ancient Lich. Regardless of its type, when the lich is destroyed a message pops up saying: The lich is dead. Without his magical support, the army of undead will return to the grave. Reward[edit] Upon reporting back the Quester, he heralds: ""Hail to the hero, (player's name)! Well done! You name will be recorded in all the histories."" Reputation Gain/Loss[edit] A successfully completed quest results in a reputation gain according to the table below. Faction/Person Reputation Gain   Generic Knightly Order +5   Knight Order +7   City-State where the order is located +4   Nobility of the city-state where the order is located +2   People of the city-state where the order is located +4   All other factions of the city-state where the order is located +2 A failed quest results in a reputation loss according to the table below. Faction/Person Reputation Gain   Generic Knightly Order -2   Knight Order -2  Enemies[edit] Random dungeon monsters Quest Target. Any of the following: One Lich One Ancient Lich"
