"Quest","Quick Walkthrough","Detailed Walkthrough"
"https://en.uesp.net/wiki/Morrowind:Quests","",""
"https://en.uesp.net/wiki/Morrowind:Addhiranirr_Informant","Return to Caius in Balmora for your orders. Meet with the informants in Vivec. Huleeya Informant Meet with Huleeya at the Black Shalk Cornerclub in the Foreign Quarter. Calm the locals and escort Huleeya to Jobasha's Bookshop to receive his notes. Addhiranirr Informant Meet with Addhiranirr in the Underworks of the St. Olms Canton. Find and tell the excise agent Duvianus Platorius that Addhiranirr has left for the mainland. Receive the information from Addhiranirr. Meet Mehra Milo Meet with Mehra Milo at the Library of Vivec in the Temple Canton. Steal or buy the book Progress of Truth. Return to Caius in Balmora.","Huleeya Addhiranirr Mehra Milo Orders from Caius[edit] After the last errand, Caius tells you to train for a while and come back to him later. Specifically, your character needs to be at least level 3 before Caius will give you the next assignment. At that point, he sends you on a fact-finding mission to the city of Vivec. Your mission is to track down and rendezvous with three people: Addhiranirr, a Khajiit Thieves Guild member in St. Olms, Huleeya, an Argonian Morag Tong assassin at the Black Shalk Cornerclub in the Foreign Quarter, and Mehra Milo, a Tribunal Temple priestess in the Hall of Wisdom of the Temple Canton. Caius is once again looking for any Sixth House or Nerevarine Cult information and he gives you 200 gold for expenses. The quickest way is to take the Silt Strider or the Mages Guild Guide, but feel free to take the scenic route. Huleeya Informant[edit] Huleeya is in the Black Shalk Cornerclub, in the Foreign Quarter Lower Waistworks. He should be easy to find, as he is the only Argonian in the room. Unfortunately, Huleeya seems to be having trouble with the locals, who will not let him pass. Talk with the Dark Elf, Ethys Savil, or one of his two friends, and persuade him to leave the Argonian alone. Raising his disposition a bit will work, but so will homicide. If you try to leave with Huleeya without talking to one of the thugs, they will attack and you will have to protect Huleeya. Attacking the thugs first will result in Huleeya refusing to talk to you. Once you've solved this, you may escort Huleeya unhindered to Jobasha's Rare Books. Jobasha's bookshop is on the same level as the cornerclub, in the Foreign Quarter Lower Waistworks, just on the opposite side. Once you're inside the bookshop with Huleeya, you will receive one Reputation point for your help and he will give you some notes to take to Caius. Also while at the bookshop, pick up the book Progress of Truth on the second floor far left bookcase as you will be needing it later in this quest. You can steal it when the Ordinator patrols elsewhere, or just buy it. Addhiranirr Informant[edit] Addhiranirr is the next closest contact in the St. Olms Canton, southeast of the Foreign Quarter (past the Redoran and next to the St. Delyn cantons). It turns out Addhiranirr is difficult to find as almost no one in St. Olms knows where she is. With enough exploration and questions, you do eventually find her all alone in the northeast Underworks, hiding from a Census and Excise agent. In order to get anything out of her, the agent must be taken care of. The agent in question is Duvianus Platorius, who can be found in St. Olms Waistworks. As usual, you can either kill him or persuade him that Addhiranirr has fled. Note that if you happen to accidentally tell him where Addhiranirr is, you can still get the information Caius wants by raising Addhiranirr's disposition until she will talk to you. Also, if you tell Duvianus Platorius where Addhiranirr is and come back later to talk about the topic 'Addhiranirr', he will give you the response normally given if you had chosen to lie to him. Anyway, once the agent is out of the way, Addhiranirr will let you know that the Sixth House is into smuggling, but no one knows what due to intense secrecy. Meet Mehra Milo[edit] The last of the contacts is Mehra Milo. She may be found in the Library of Vivec, located in the Hall of Wisdom in the Temple Canton at the southern end of Vivec. Once you find her and follow her to the back of the library, she will tell you what she knows about the Nerevarine cult. She'll also suggest that you obtain a copy of the book Progress of Truth for Caius. Although the library has a copy of the book, it is under guard, so she suggests trying the local bookshops, even though the book is officially banned by the Tribunal Temple. The copy in the library is the tall book on top of the bookshelf in the southwest corner. Alternatively, you can just buy a copy from Jobasha's Rare Books in the Lower Waistworks of the Foreign Quarter for 150 gold. Other copies can be found at: Tel Uvirith, Arelas' House Vivec, Hall of Justice Secret Library Vivec, Telvanni Tower Return to Caius[edit] Return the information to Caius, who will promote you to Journeyman and suggest you take more time to train and do some other guild work to keep your cover up. Come back for the next part of the quest in a few days."
"https://en.uesp.net/wiki/Morrowind:An_Admiring_Sponsor","Talk with people in the House to be directed to Crassius Curio for sponsoring. Speak to Crassius Curio to learn his request. Unequip all your items. Speak to Crassius Curio again to be sponsored.","You Need a Sponsor[edit] Once you reach the rank of Lawman in the House, you'll need a sponsor in order to be promoted further. Talking with people in the House, you will be directed to Crassius Curio in his manor on the Hlaalu Plaza in Vivec. Crassius Curio[edit] If you haven't met Curio before, he's a strange one to say the least. In order to be sponsored, all you need to do is take your clothes off... all of them. Once you've removed everything, just speak with him to be sponsored. However, this entire quest can be skipped if you have already been named Hortator of House Hlaalu, just talk to Duke Vedam Dren in Ebonheart about the ""Camonna Tong"". He will then ""name you Grandmaster of House Hlaalu"", in reality this simply raises your rank in House Hlaalu twice, which should make you House Cousin of House Hlaalu. After that Curio will send you to Odral Helvi and the questline continues normally. Spying on Odral Helvi[edit] Curio will then direct you to Odral Helvi for more quests. It seems like he suspects Helvi of corruption and he wants you to keep him informed of Helvi's moves."
"https://en.uesp.net/wiki/Morrowind:Aeta_Wave-Breaker%27s_Jewels","Find Aeta Wave-Breaker in the West Gash region, east of Caldera, and tell her that you will help recover her stolen jewels. Find the thieves' hideout: the cave Shushishi, northeast of Aeta. Make your way through the cave until you find the Khajiit Dro'Zhirr. Either kill Dro-zhirr, or ""convince"" him to give you the jewels. Bring the jewels back to Aeta to receive the 300 gold.","Finding Aeta[edit] Aeta can be found in the West Gash region, directly east of Caldera, looking wistfully across the hills to the east. If you don't see her there, find the armorer's shop, and look for the stone wall opposite his entrance. Go around the northern end of the wall and head southeast for a few steps; she should be easy to spot. Speak to her about ""some notorious thieves"" and agree to retrieve her jewels. Finding Shushishi[edit] The cave of Shushishi, where Dro'Zhirr and his fellow bandits are hiding, is northeast of Aeta, roughly east of the Caldera Governor's Hall. If you are able to use a levitate spell (or have a similar way of getting across high obstacles), get to the top of the hills northeast of Aeta. (Otherwise, you'll have to head south and take the long walk around the hills.) You should see a ravine that runs north-to-south on the other side; the entrance to Shushishi is right at the southern end of the ravine. If you have reasonable climbing skills, you can also climb the cleft in the hills just southeast of the Indalen Ancestral tomb, northeast of Caldera. You will end up just above the Abaelun Mine. It is then just a short walk east and south to Shushishi. Inside the Cave[edit] When you enter Shushishi, prepare to be attacked by an Orc carrying a random magic axe. As you progress through the cave, you'll encounter several other bandits as well as four slaves. Dro'Zhirr himself won't attack, so you can either persuade him to give you the jewels or take them by force. Collecting the Reward[edit] When you've obtained the two pieces of simple jewelry (an expensive amulet and ring), make your way back to Aeta. Speak to her, and she'll give you 300 gold for her family heirlooms."
"https://en.uesp.net/wiki/Morrowind:Ahemmusa_Nerevarine","Talk with the Wise Woman Sinnammu Mirpal in the Ahemmusa Camp. Secure the Ald Daedroth shrine (north of the camp) for Sinnammu (easiest method is to kill everyone). Return to Sinnammu and escort her to the Inner Shrine to be named Nerevarine.","Ahemmusa Camp[edit] If you haven't found out the location of the Ahemmusa Camp yet, ask the Ashlanders in the other camps. The Ahemmusa Tribe can be found on the far northeast corner of the main island (check your in-game map once you talk to her about it). It's a long walk, but you can grab a boat to Tel Mora and then to Vos, and then travel a short distance north to the camp. Sinnammu Mirpal needs your help Sinnammu Mirpal[edit] Once you reach the Ahemmusa Camp, talk to any of the Ashlanders, who will tell you that you should show courtesy to the Gulakhans before speaking to the wise woman. The Ahemmusa Gulakhans are Kausi, Dutadalk, and Yenammu. Kausi can be found in his Yurt, and Dutadalk and Yenammu in Dutadalk's Yurt. Speak with any of the three about the Nerevarine and they will permit you to speak to the wise woman, Sinnammu Mirpal. Mention that you wish her to name you the Nerevarine. She will agree, but on one condition: that you secure a safe place for the Ahemmusa in Ald Daedroth, an ancient Daedric Shrine north of the camp (check your in-game map). In the past, the shrine was a traditional refuge for the tribe in times of trouble, but now it has been overtaken by cultists. Once you make Ald Daedroth safe, you will have to escort her there to prove it. Ald Daedroth[edit] Ald Daedroth is directly north of the camp, though it's quite a swim (or walk if you have a Water Walking spell handy). When you arrive, it will become apparent that things are a bit more complicated than Mirpal made out. The shrine is currently being assaulted by Ordinators. Initially, the Ordinators outside will not be hostile towards you. If you speak to one of them, they will ask you who you are. If you tell them that you are a cultist, or that you are the Nerevarine, they will attack you. If you tell them you are merely there to loot the shrine, they will ignore you. Many of the cultists are quite dangerous and wield enchanted weapons, so it may be best to let them fight the Ordinators rather than getting their attention. If you do not intervene, the Ordinators will still win most of the fights. To make the shrine safe, you need to reach the Antechamber, which is accessible via the Inner Shrine. When you enter the shrine, go down the stairs and to the door straight across the large hall. You do not need to clear out the Left Wing or the Right Wing areas. In the Antechamber, you will encounter the priestess Hlireni Indavel, who is initially not hostile towards you. If you raise her disposition to 90 or above, or if your Speechcraft is 50 or above, you can persuade her to take pity on the Ahemmusa. If your level or reputation is 20 or higher, you can threaten to kill her and she will submit. Otherwise, you will need to kill her. However, making an arrangement with Hlireni or killing the cultists does not have any effect, and Sinnammu will be satisfied that the shrine is safe even if you do not speak with her at all. It is not necessary to kill any of the Ordinators in order to make the shrine safe. Escorting Sinnammu[edit] However you decide to go about it, once you've made the shrine safe, return to Mirpal and escort her to the shrine. She has a water walking ability, so despite her warnings, she is actually safe from attack by Slaughterfish if you use that method to get there. Bring her to the Inner Shrine's statue and she will recognize you as the Nerevarine and give you the Madstone of the Ahemmusa to identify yourself as such. You'll receive one point of Reputation when you bring her to the shrine, and another when she acknowledges you as Nerevarine."
"https://en.uesp.net/wiki/Morrowind:Ahnassi,_a_Special_Friend","Meet Ahnassi in the Halfway Tavern in Pelagiad and let her admire your smooth moves. Give Ahnassi the gift of friendship by acting on her tip about a special belt. Share a care with Ahnassi to learn that a Camonna Tong thug, Daren Adryn, has frightened her. Travel to Gnaar Mok and take care of him, which ever way you choose. Return to have Ahnassi clear your criminal record. Hear about a key to the Redoran Treasury in Vivec and plunder the vaults. Ahnassi's old friend has turned to Skooma; convince him to let go of that habit. (Optional) Visit Ahnassi's friend, the Acrobatics Master trainer Senyndie, for better prices and a skill book. Bring Ahnassi two flowers, a Coda Flower and a Gold Kanet, as a token of your love. Steal a Flamemirror Robe from a Telvanni wizard in return for 20 ebony throwing stars. Pick up the Elvul's Black Blindfold (a glove actually) from the Imperial Commission inside Castle Ebonheart.","Ahnassi, a Special Friend[edit] If you are a male character, visit the Khajiit Ahnassi in the Halfway Tavern in Pelagiad. Raise her disposition to 50 and she'll open up to you. Choose topic Thieves Guild to receive Honor Among Thieves (it will only be obtainable from her if the quest isn't started yet, a player isn't a member of Thieves Guild, a player has >= 50 Agility and her disposition >= 50). After that, choose the smooth moves and her profession dialogue topics and then Give Ahnassi the gift of friendship. She'll then plead with you to come and visit her often, which opens up a string of quests with her. A New Belt[edit] Once you and Ahnassi are properly acquainted, she'll reveal to you that the guest Hrordis, upstairs, has a magic belt and worships Mehrunes Dagon. The belt is actually the Belt of Sanguine Fleetness which is needed for the involved Threads of the Webspinner quest of the Morag Tong, so hang on to it if you decide to whack Hrordis. However, Hrordis won't talk to you, so either have a crime rating already, or go without clothes so you will be able to taunt her, or use Frenzy Humanoid (and let her or her summon strike first), among other tactics; see her article for numerous strategies to avoid a tavern-wide brawl and a murder bounty. If you speak to Ahnassi about the new friend topic, you'll open up the share a gift option which will allow her to give you a quality potion of feather. Pressure from the Camonna Tong[edit] Share a care with Ahnassi to learn that a Camonna Tong thug, Daren Adryn, has frightened her by trying to force her to join the guild (which doesn't sound right, since the Camonna Tong doesn't like outlanders or non-Dunmer at all!). Someone bothering your girlfriend just won't do, so go and pay Daren a surprise visit in Nadene Rotheran's shack in the town of Gnaar Mok. You can talk to him about Ahnassi, but it will only serve to delay the inevitable fight with him and, unfortunately, the other three Camonna Tong members in the shack. The other three NPCs in the shack can be spared by exiting the building immediately after killing Daren Adryn, casting a Chameleon spell on yourself, then entering the shack again and casting a Calm Humanoid spell on the three NPCs before looting Daren's corpse. Return to Ahnassi, who will be so pleased that she will clear your entire current criminal record. She will also give you some new gifts including an extravagant shirt and pants and the Short Blade skill book The 36 Lessons of Vivec, Sermon 30. The Redoran Vaults[edit] Once you've taken care of Daren, Ahnassi will tell you that the Redoran noble Beldrose Dralor has a key to two small chests in the Redoran Treasury in Vivec, in his wife's chest of clothes. The Dralor Manor is located in the Redoran Plaza in Vivec and the key can be found in an unlocked chest of drawers in the top bedroom. It's better than she says, and leads to one of the greatest loot hauls in the entire game: the key actually unlocks the entire Lower Vault of the Redoran Treasury (and two chests within it, which are only a small bit of the booty to be found here). Just watch out for the guards who will attack if they see you take anything (the key words here being ""see you""). See Redoran Vaults § Robbing the Redoran Treasury for details. The Third Wheel[edit] If you explore her share a care dialogue topic, it turns out that your girlfriend has a former mate, J'Dhannar, about whom she still cares, and who is in some trouble. J'Dhannar is a Skooma addict who lives in the St. Olms canton in Vivec, and Ahnassi wants you to try to persuade him to quit the drug, though common wisdom about Skooma is ""once an addict, always an addict"". You'll find him on the lower level of the Canalworks section of St. Olms. He will become quite irate when you try and get him off the Skooma.  He'll also insist that he and Ahnassi are not former mates, but current ones. If you speak with a Savant (such as Ladia Flarugrius upstairs in the Halfway Tavern in Pelagiad where Ahnassi is, or Crazy-Legs Arantamo in Vivec's Foreign Quarter) about Skooma addiction, the book Confessions of a Skooma-Eater will be recommended.  Valued at 25 gold, it can be had at Jobasha's Rare Books (as one would probably expect) in Vivec's Foreign Quarter, and at the shop of Codus Callonus in Ald'ruhn, among other places. Return to J'Dhannar with the book and, with a disposition of 50+, he will agree to read the book and give up Skooma. He will also release Ahnassi from their marital bond. Return to Ahnassi with the news. Note: If you have the book in your inventory already, you can get him to quit Skooma the first time you talk to him.  While this will skip his dialogue about still being Ahnassi's mate, it will not disrupt his releasing her from that arrangement. Become a Very Special Friend[edit] Once this is done, return to Ahnassi and you'll hear that J'Dhannar has indeed quit the skooma and has returned home to Elsweyr. Ahnassi now considers you her very special friend and invites you to visit her home in town, supplying you with a key. You can basically consider yourself as close to married as you'll get within the game, and you can use her house as your own. Ahnassi will now be found in her/your house from this point on. She Knows This Acrobat ...[edit] Once you and Ahnassi move in together, you have the chance to meet with Ahnassi's friend, Senyndie, at the Arena Fighters Quarters in Vivec. She just happens to be the Master Trainer of Acrobatics (meaning that you can train with her all the way up to skill level 100). Mention Ahnassi to Senyndie and the latter's Disposition will soar, meaning lower training prices, as well as a free copy of The Black Arrow, Part I, an Acrobatics skill book. Flowers for the Lady[edit] Speak with Ahnassi again using the share a gift topic to learn that she wants two flowers, a Coda Flower and a Gold Kanet. Sounds simple enough, and the gold kanet is indeed hard to miss in most places (look at the crossroads west of Pelagiad for instance). The coda is more difficult to find, and is actually the flower of the Draggle-Tail plants found along the Bitter Coast region. The best place to find them is between the town of Seyda Neen and the stronghold of Hlormaren far to the northwest. You can also buy a coda from Peragon at Moonmoth Legion Fort. Return the flowers to Ahnassi for her profuse thanks. The Wizard's Robe[edit] Once you give her the flowers, Ahnassi will ask you to steal a Flamemirror Robe from the wizard Mavon Drenim's lair in Vivec, Telvanni Plaza. Drenim is a powerful opponent and will most likely know when you've entered before you do. Either face the wizard and kill him if you can, or take the stealthy / runaway approach and take the robe from the closet (you can actually manage to squeeze yourself behind the closet, thus blocking you from view and allowing you to freely take the robe without being spotted). Keep it for yourself by thanking her for the tip or gift it to Ahnassi for 20 ebony throwing stars in return. Keep in mind that you may get a writ for Drenim as a Morag Tong quest, so you may be able to complete both at once (or do the Morag Tong one first and simply hold on to the robe). However, if you do this part of Ahnassi's quest prior to being given the writ from the Morag Tong, you will not receive any reward from the Tong because you killed him without a writ. (You can actually give Ahnassi any Flamemirror Robe, such as the one you might legally receive for completing the quest, ""For the Love of a Bosmer"".) Blinded by Love[edit] In the last quest from Ahnassi, revealed again by her share a gift topic, you have to retrieve Elvul's Black Blindfold (a glove actually) from the Imperial Commission inside Ebonheart's Grand Council Chambers. Ahnassi will tell you that it is well guarded, and inform you of a secret entrance located underwater just outside of Ebonheart. If you take her advice, you may be attacked in the secret entrance by Furius Acilius wearing Lord's Mail, one of the best cuirasses in the game (but only if you talk to him).  He's tougher than the average fight, but the cuirass is well worth it. (If you are in the Imperial Legion, you may wish to postpone this fight for the armor artifact, because it is part of a major Legion quest.) After progressing through the passages, you will have to get by two locked doors (level 95), which can be tricky if your Security skill is low or your Open spellcasting not high enough, although the Worn Imperial Key found in one of the crates in the passage will open one of them, and a Scroll of Ekash's Lock Splitter can be used for the other. The alternative route is simply to enter the Imperial Commission through the front door. The glove is behind the level 50 locked door. If you are not a member of the Imperial Legion, feel free to open the door via spell/lockpick, or pickpocket the key from Rufinus Alleius (who is in the Imperial Commission, too). If you are a Legion member, you will be expelled. Oddly, the Guards don't react to you at all in your attempts in unlocking the door. (You'll also find that you can steal with impunity from some other rooms in Ebonheart and its ambassadorial missions because many contain NPCs whose Alarm is all set to zero. They verbally protest but do nothing, and you get no Bounty.  It requires trial and error to determine the safe rooms, so save first.) To complete the quest, snatch the glove from the chest of drawers, and return with it to Ahnassi to talk about share a gift again. She'll let you keep the item. (It should be used with caution, as it has a permanent Damage Marksman effect, sufficient to reduce any character's skill to 0; you would probably not want to accidentally harm a follower NPC with it, especially one you intend to keep around, such as Fjorgeir.) This is all there is to Ahnassi's quests, though you will find that in her/your house, the two containers of food and drink will refill themselves after a while."
"https://en.uesp.net/wiki/Morrowind:Alchemical_Formulas","Talk to Nileno Dorvayn about duties. Steal a copy of Aurane Frernis' secret alchemy formulas. Return it to Nileno for an increase in faction reputation.","Hlaalu Alchemy[edit] Nileno Dorvayn at the Hlaalu Council Manor in Balmora will ask you to steal a formula from an alchemist who has been taking business from a loyal Hlaalu alchemist in Vivec. The alchemist in question is Aurane Frernis in the Foreign Quarter's lower waistworks. Confusingly, her shop is indicated as Apothecary, not Alchemist, while there is another, unrelated Alchemist shop nearby, and the Foreign Quarter canton is called the ""Market Canton"" in the game's dialogue (no such canton actually exists). Aurane's Secret Formula[edit] Locations of the Scrolls You can find Aurane Frernis in the Foreign Quarter's lower waistworks. It may be very difficult to steal a recipe scroll without any magic. In all, there's one on the table, one in a chest at the foot of the bed, and one on Aurane herself. The chest is locked (40) and trapped, so non-thieves should avoid this one; the same goes for the one on Aurane. The easiest would be the one on the table; it's a small room, so there's little to hide behind when stealing the scroll. A chameleon spell or item would be useful since you can't hide anywhere in the room while stealing it. The lamp above Aurane Frernis' bed is enough to break line of sight to the alchemist and allow the recipe scroll on the table to be picked up using the Telekinesis spell. Once you've acquired the formula, return it to Nileno in Balmora with the recipe to complete the quest and receive a five point boost in faction reputation. An easy way to do this (especially early in the game) is to grab the scroll on the table and turn around immediately to leave the room (before she manages to do anything other than shout at you). You will have to pay a bounty of 100 (remember to drop all the stuff you've stolen, including the recipe scroll, if you choose to do the quest this way), but other than that all will be as before - she won't even be angry when you come back."
"https://en.uesp.net/wiki/Morrowind:Alleius%27_Bounty","Speak to Lorbumol gro-Aglakh at the Guild of Fighters in Vivec for your orders. Travel to Ebonheart to collect a bounty on Rufinus Alleius. Find the magistrate at the Grand Council and kill him. Return to Lorbumol to complete the quest.","Orders[edit] Lorbumol gro-Aglakh in the Vivec Guild of Fighters asks you to collect yet another bounty on a magistrate (judge) in the Grand Council of Ebonheart, Rufinus Alleius. Alleius' Bounty[edit] Take a boat to Ebonheart and seek out the magistrate in the Grand Council Chambers. Asking around will reveal that he is actually in the Imperial Commission. Kill him and return to Lorbumol for your 1,000 gold bounty. You could try taunting before attacking; after five successful taunts or so at 0/100 disposition Rufinus Alleius starts attacking you."
"https://en.uesp.net/wiki/Morrowind:Alms_from_the_Argonian_Mission","Talk to Iulus Truptor at the Imperial Chapels in Ebonheart for a new almoner mission. Visit the Argonian Mission to collect some alms. Persuade Im-Kilaya to donate some gold. Return to Iulus to complete the quest.","Almoner Mission[edit] Iulus Truptor at the Imperial Chapels in Ebonheart will ask you to perform a collection of donations from the Argonian Mission in town. Alms from the Argonian Mission[edit] If Im-Kilaya's disposition towards you is at least 50, he'll give you the whole 100 gold. However, if you find the slave On-Wan behind a locked (25) door, you can persuade Im-Kilaya to donate even more by asking about the ""Runaway slave"" before asking about ""Alms for the poor"". Finding the slave also causes Im-Kilaya's disposition to jump by 40 points. Alternatively, with high enough Speechcraft (and perhaps also if you have already returned Rabinna and/or Reeh-Jah here), you need not use blackmail. If his disposition is 80 or higher, Im-Kilaya will tell you this: ""The Imperial Cult has our respect. We are disappointed that the Imperial Cult does not speak out against the inhumane practices of slavery in Morrowind. But perhaps you are right. It is by demonstrating our superior commitment to civilization and humanity that we best disprove the Dunmer's barbaric insistence that we are no more than animals. Please accept this donation to the Imperial Cult on behalf of the province of Argonia."" after which he donates 200 gold. Approaching others in the Mission is fruitless; they apologize politely and direct you to speak to Im-Kilaya as their leader. Return to Iulus. If you raised only 100 gold, you will receive a five point disposition bump, five points of faction reputation and two Exclusive Fortify Luck Potions. At 200 gold you receive a ten point disposition bump, ten faction reputation points, and the magical Zenithar's Frock."
"https://en.uesp.net/wiki/Morrowind:Alms_from_the_Skyrim_Mission","Talk to Iulus Truptor at the Imperial Chapels in Ebonheart for a new almoner mission. Visit the Skyrim Mission to collect some alms. Persuade the members of the Mission to donate some gold. Return to Iulus to complete the quest.","Almoner Mission[edit] Iulus Truptor at the Imperial Chapels in Ebonheart will ask you to collect alms from the Skyrim Mission in Ebonheart. Alms from the Skyrim Mission[edit] Be careful when asking for donations as you receive only one chance. Raise their Disposition before asking in order to receive a higher donation.  To be safe, you should raise it to at least 70 to get the most out of them (some only need to be raised to 60).  Heidmir alone will give up to 200 gold if he likes you enough -- 100 for his country, and 100 for himself. Here is a list of the people in the Skyrim Mission along with how much they will donate: Name Disp. Gold  Disp. Gold   Bedraflod 50-69 5  70+ 10   Briring 40-59 5  60+ 10   Eiruki Hearth-Healer 30-59 20  60+ 40   Heidmir 50-69 100  70+ 200   Ingokning 50-69 5  70+ 20   Total - 135  - 280 Once you have the money, head back to Iulus for your reward. If you raised only 100 gold you'll receive a five point disposition bump with Iulus, five points of faction reputation, and two Bargain Fortify Personality Potions. However if you tell him you've ""DOUBLED it!"" he will be very pleased with you and gives you the Shoes of Conviction as well as ten points of faction reputation and disposition. Anything over 200 gold you get to keep, so it pays to try and get a good disposition with the NPCs first."
