"Quest","Quick Walkthrough","Detailed Walkthrough"
"https://en.uesp.net/wiki/Oblivion:Daedric_Quests","",""
"https://en.uesp.net/wiki/Oblivion:Knights_of_the_Nine_Quests","",""
"https://en.uesp.net/wiki/Oblivion:Main_Quest","",""
"https://en.uesp.net/wiki/Oblivion:Side_Quests","",""
"https://en.uesp.net/wiki/Oblivion:Unfinished_Quests","",""
"https://en.uesp.net/wiki/Oblivion:Accidents_Happen","Receive your next contract from Vicente Valtieri. Travel to Baenlin's house in Bruma. Kill Baenlin. (Optional) Release the mounted Minotaur head. Return to Vicente to collect your reward.","Blood of the Damned[edit] The mini-quest to get the contract from Vicente Valtieri is called ""Blood of the Damned"". To complete it, you just need to accept the contract from Vicente. A Regular Routine...[edit] Once you accept the contract, Vicente will tell you what needs to be done: ""As I expected. Good. The target is a Wood Elf named Baenlin. You will find him at his home in Bruma. Enter secretly and avoid his manservant, Gromm. On the second floor is a secreted door leading to a crawlspace. Inside are the fastenings of a mounted head that hangs over Baenlin's favorite chair. Loosen the fastenings any night between 8:00 pm and 11:00 pm, and the head will surely fall on Baenlin as he relaxes in his chair, as is custom. If Baenlin is killed in any other manner, or if the manservant Gromm is killed, you will forfeit the bonus. Now go, and may Sithis be with you."" You are now directed to go to Bruma and kill the target Baenlin in his own home. If you speak to Gogron or Teinaava before you leave, they will also provide an insight on his manservant, Gromm: ""The manservant's name is Gromm, you say? Sounds like a Nord. Probably a big one. If he catches you, get ready for a serious fight."" and ""If the target is old and weak, as you say, then his manservant is sure to be quite the opposite. Best to stay out of his way."" ""...and the head will surely fall on Baenlin as he relaxes in his chair, as is custom."" ...Goes Horribly Wrong[edit] When you arrive in Bruma, Baenlin's house is located just north of the eastern gate. If you spoke to Antoinetta beforehand, she'll give you some advice about how to enter the house: ""How do you plan on entering this man's house? Through the front door? Be smart and look for a more inconspicuous way in, like a cellar entrance."" Following her suggestion, you can find a door leading into the basement situated at the rear of the house, providing a safe and indirect access. Once inside the house, sneak upstairs, enter the room closest to the stairs, and proceed into the crawlspace through the door hidden in the wall. The precarious fastenings are at the end of the crawlspace, but remember Vicente's directions: ""Loosen the fastenings any night between 8:00 pm and 11:00 pm, and the head will surely fall on Baenlin as he relaxes in his chair, as is custom."" Wait until it is between those times before you release the mounted head, which will fall on Baenlin in his seat, killing him instantly. A Deadly Advancement[edit] Sneaking out the same way you came, you will notice Gromm standing in front of Baenlin's dead body. Be careful not to attract his attention as he will now attack you on sight. Retreat through the basement and out into Bruma, then return to the Dark Brotherhood Sanctuary. Valtieri will comment on your completion of the contract. If you killed Baenlin in the manner requested, he will say: ""So, the accident has been staged, and Baenlin lies dead. Well done! You have more than earned your reward and bonus."" However, if you completed the mission in some other way, he will be disappointed: ""Baenlin is dead, yes, but you did not fulfill the contract precisely as directed. I will grant your reward of gold, but the bonus is forfeit."" He will then reward you with a leveled amount of gold (up to 600 gold) and an advancement to Slayer. If you successfully made Baenlin's death seem like an accident, you will receive the bonus reward Sufferthorn. You can now accept the next quest from Vicente, and the quest Scheduled for Execution will begin."
"https://en.uesp.net/wiki/Oblivion:Acrobatics_Training","When your Acrobatics skill reaches 70, speak with Ganredhel in Cheydinhal or Tsrava in Leyawiin. Once you have the recommendation, head to Aerin's Camp to speak with Aerin. When you arrive you will find Torbern instead, who agrees to train you.","An Acrobat's Test[edit] Once your Acrobatics skill is 70 or higher, speak with either Ganredhel in the city of Cheydinhal or with Tsrava in Leyawiin to learn who can teach you more about Acrobatics. You will be told that Aerin is the only one that can do it and you are sent to find her at her camp. They helpfully mark the location on your map. A Missing Trainer[edit] Aerin's Camp is in the far northeast corner of Cyrodiil, north of Cheydinhal and east of Bruma. Reaching it can be a challenge. The easiest way to get here is to follow an unmarked road that leads there. Otherwise you will have to traverse some steep slopes. Although Ganredhel and Tsrava will tell you to find Aerin for master training, Aerin is nowhere to be found. However, you will find Torbern, who agrees to train you in her absence. Unlike most of the master trainers, he doesn't require you to do anything in order to receive training."
"https://en.uesp.net/wiki/Oblivion:Affairs_of_a_Wizard","Retrieve your first dead drop from a hollow rock on Hero Hill. Head to Leafrot Cave. Learn of the lich's weakness, and decide how you will deal with Celedaen. Head to the next dead drop under the Great Oak in Chorrol.","The Dead Drop[edit] This is your first contract as a Silencer of the Black Hand and is initiated by ""The Dead Drop"" mini-quest, which requires you to travel to Hero Hill to find your orders. Your target is Celedaen, a necromancer in Leafrot Cave who is trying to gain favor with the great Sovereign by attaining lichdom. Once you get inside, you will come upon a few leveled undead near a bedroll, with some alchemical equipment, a chest, and various books - make sure you look for the Destruction skill book, The Art of War Magic. Lich's Weakness[edit] On the table is Celedaen's journal, The Path of Transcendence, which tells of his quest for becoming one of the undead, specifically, one of the Worm Eremites. According to the journal, the fabled way of killing liches by shattering their Soul Container at any time is actually a myth. The only way to truly kill a lich is to, during the transformation, remove his Soul Container from his physical person while it is being used to transport his soul from his mortal body. Luckily, his transformation is not yet complete, leaving that weakness open for exploitation. This gives you two options: simply fight this powerful mage, or sneak up on him and pickpocket his Soul Container: the Sands of Resolve (looks like an hourglass). If you steal the hourglass, he will die instantly, and you will simply need to go to the next Dead Drop in Chorrol to complete this quest."
"https://en.uesp.net/wiki/Oblivion:Ahdarji%27s_Heirloom","Go to your new Doyen, S'Krivva in Bravil, to receive this quest. Travel to Leyawiin and speak with Ahdarji to get the details of the quest. Discover the whereabouts of Amusei and question him about the ring. Steal the ring from Countess Alessia Caro. Return the ring to Ahdarji for a reward, and report to S'Krivva for another reward.","If you plan on doing all the intermediate steps to this quest, then before you embark on it, make sure to have at least one lockpick on you that you will be giving away. There will also be many locked doors, a locked chest and a locked jewelry box that you can deal with however you usually deal with locked items, including using spells and/or pickpocketing up to five keys, one for a dungeon, one for the secret room doors, one for the castle interior doors, one for the bedroom door and a final one for the jewelry box at the end. Go to your new Doyen, S'Krivva in Bravil, to receive this quest. She will tell you that a ring has been stolen by someone not in the guild from a Khajiit named Ahdarji, the widow of a former fence and also a former Thieves Guild member herself. Since the guild frowns on rogue or freelance thieves, they are willing to help Ahdarji; more precisely, they are willing to send you to help her. Speak with Ahdarji[edit] Speak to any beggar in Leyawiin and you will be told that Ahdarji lives on the west side of town (she actually lives on the east), goes to the Three Sisters' Inn in the evenings, and eats her midday meals at the Five Claws Lodge. Find her at one of those locations, and speak to her. Ahdarji tells you that an Argonian named Amusei (remember him?) stole the ring. She wants you to kill him and get her ring back. Of course, you can't kill him since he is essential until The Ultimate Heist is completed, so she says to at least make him suffer. Amusei is in jail Question Amusei[edit] Talk to a beggar to find out where Amusei is. Pay one of them and you learn that he was arrested for trying to swindle Alessia Caro, the Countess of Leyawiin. You also find out that the guards accept bribes to allow people to visit prisoners. Head to the castle dungeon and talk to the jailor. He tells you that ""dirty lizards"" aren't allowed to have visitors per the countess' orders; however, 20 gold quickly changes his tune. Picking the lock to the dungeon is also possible, though the lock is level-dependent. If you don't even want to do that, pickpocket the guard and steal his dungeon key. Go downstairs, and ask Amusei where the ring is. He questions why he should tell you. Bribe him with a lockpick, and he reveals that the ring didn't originally belong to Ahdarji, but rather to the countess. After stealing it from Ahdarji, he tried to ransom it back to her and was arrested. The ring is now in the hands of the countess. Steal the Ring[edit] In order to avoid a possible future bug, you must then return to Ahdarji and tell her that Amusei tried to sell the ring back, she will say that she will make better use of the ring and will pay double for you to steal it back for her. If you talk to a beggar, he or she will tell you to talk to Hlidara Mothril, the countess' handmaiden, who stays with the countess all day. The beggar will also tell you about other ""secrets"" in the castle: a torture chamber specifically for Argonians. Oddly enough, you can get the tip about Hlidara Mothril from the Count himself, although he mentions nothing of the torture chamber. You can ask the countess about the ring, too, and she doesn't seem to get suspicious. Finally, you can also ask Leyawiin Castle members about the ring and finding the Countess. RemasteredOblivion The secret torture chamber The secret torture chamber Speak to Hlidara Mothril: With a disposition of 60, Hlidara Mothril tells you the countess' schedule (she is away from Leyawiin from the 15th to the 17th of every month) With a disposition of 70, Hlidara Mothril tells you the countess wears the ring at all times except for baths and while she's sleeping, at which point it is left in a jewelry box. She will also tell you about a secret passage from the torture room to the countess' private quarters. The countess sleeps at 11pm and her jewelry box is to the right of her bed on the dresser. Wait until about 1am and proceed to the countess' private quarters. Head to the Castle Leyawiin Basement to find a lever hidden in an open barrel. Pull the lever and the wall will open up, revealing a passage to the secret torture room. There's a second lever you'll have to pull hidden in the secret passage. Pick the leveled lock on the next door (or steal the key from the count or Caelia Draconis beforehand), sneak left past the patrolling guard, and pick the lock on the leveled private chambers' door. You can also try reaching the Private Quarters via the County Hall itself, but you will have to avoid more denizens and guards that way. Once inside the countess' room, pick the leveled lock on the jewelry box or pickpocket the key from the countess, grab the ring and some minor treasure, including the letter called Divining the Elder Scolls (which is worth 50 gold), and go out the way you came in. Beware, the guard is still patrolling. Reward[edit] Return to Ahdarji, and give her the ring for a 200 gold reward for your efforts (if you don't tell her Amusei tried to sell the ring, she only gives you 100 gold). Finally, return to S'Krivva for another 200 gold reward, rank advancement to Prowler, and your next mission."
"https://en.uesp.net/wiki/Oblivion:Alchemy_Acquisitions","Raminus Polus informs you of a service provided to Traven by a guildmate. Talk to Julienne Fanis about creating alchemy ingredients. Use the Enchanted Chest to make more alchemy ingredients.","Talk with Julienne Fanis[edit] You receive this quest immediately upon completing Confront the King. Simply follow your compass to find Julienne Fanis and talk to her about alchemical ingredients. She will reveal that you can place an ingredient in the Enchanted Chest in the Arch-Mage's quarters once a week and it will create several samples of it. She will also warn you that if you take longer than a week to retrieve the duplicated items, everything in the chest will disappear. Using the Chest[edit] Once you place a compatible ingredient into the chest, it will add ten more portions of that ingredient within 24 hours. You can only add one ingredient at a time - if you add multiple ingredients, they will not duplicate and the chest will consume all of them in 24 hours. You will lose the added portions of the ingredient and the original ingredient if you fail to collect them within one week. Once your ingredients have multiplied, you must wait a week from the time you first placed the original ingredient in the chest before you can use the chest again. Additionally, it does not matter how many portions of an ingredient you place in the chest as only ten more portions will be added to what you put in. Compatible Ingredients[edit] The list of compatible ingredients is actually coded in the script that the chest uses. Below is the list of these ingredients. Placing more than one type of ingredient in the chest will cause them all to disappear after a day. All items other than the ingredients listed in the chart below will disappear after a day. Food[edit] Apple Beef Blackberry Bread Loaf Carrot Cheese Wedge Corn Flour Garlic Grapes Ham Ironwood Nut Leek Lettuce Onion Pear Pumpkin Radish Rice Strawberry Sweetcake Sweetroll Tobacco Tomato Watermelon Wheat Grain Plants[edit] Alkanet Flower Aloe Vera Leaves Arrowroot Bergamot Seeds Bloodgrass Columbine Root Pulp Dragon's Tongue Fennel Seeds Flax Seeds Ginkgo Leaf Ginseng Harrada Lady's Mantle Leaves Lady's Smock Leaves Lavender Sprig Mandrake Root Milk Thistle Seeds Monkshood Root Pulp Morning Glory Root Pulp Motherwort Sprig Mugwort Seeds Nightshade Peony Seeds Primrose Leaves Redwort Flower Sacred Lotus Seeds Somnalius Frond Spiddal Stick St. Jahn's Wort Nectar Tiger Lily Nectar Viper's Bugloss Leaves Water Hyacinth Nectar White Seed Pod Wormwood Leaves Mushrooms[edit] Bog Beacon Asco Cap Cairn Bolete Cap Cinnabar Polypore Yellow Cap Clouded Funnel Cap Dryad Saddle Polypore Cap Elf Cup Cap Emetic Russula Cap Fly Amanita Cap Green Stain Cup Cap Steel Blue Entoloma Cap Stinkhorn Cap Summer Bolete Cap Tinder Polypore Cap Wisp Stalk Caps From Creatures[edit] Boar Meat Bonemeal (both types) Clannfear Claws Crab Meat Daedra Heart Daedra Silk Daedra Venin Daedroth Teeth Dreugh Wax Ectoplasm Fire Salts Frost Salts Glow Dust Imp Gall Minotaur Horn Mort Flesh Mutton Ogre's Teeth Rat Meat Scales Scamp Skin Troll Fat Vampire Dust (both types) Venison Void Salts Unique Ingredients[edit] If you attempt to duplicate Bloodcrust Vampire Dust or Deranged Zombies' Bonemeal, the chest will take those rare ingredients and return the normal versions; not only does the chest create ten normal samples, but the initial sample is also transformed into a normal one. So while you cannot sell the Vampire Dust that you received from killing the vampires at Bloodcrust Cavern to Roland Jenseric, you can instead use the dust to make normal Vampire Dust with the Enchanted Chest, then turn around and sell all eleven samples for 250 gold each. This is a quick way to earn gold, provided that you have completed the Order of the Virtuous Blood quest. Incompatible Ingredients[edit] Below is a list of all the ingredients in the original distribution of Oblivion that can not be reproduced in this chest. None of the ingredients introduced by the Shivering Isles official expansion can be reproduced in the chest, nor can the three ingredients introduced by the Mehrunes' Razor and Vile Lair add-ons. Ambrosia Ashes of Hindaril Cheese Wheel Cinnabar Polypore Red Cap Foxglove Nectar Green Stain Shelf Cap Human Heart Human Skin Jumbo Potato Lichor Nirnroot Orange Painted Troll Fat Pinarus' Prize Minotaur Horn Poisoned Apple Potato Rat Poison Refined Frost Salts Root Pulp Rumare Slaughterfish Scales Shepherd's Pie S'jirra's Famous Potato Bread Taproot Unicorn Horn The Unofficial Oblivion Patch, version 1.4.0, addresses this issue.  The following ingredients may now be reproduced in the chest as they are neither otherworldly, nor unique in their properties, nor quest items, as other omitted ingredients are: Cheese Wheel, Cinnabar Polypore Red Cap, Foxglove Nectar, Green Stain Shelf Cap, Orange, Potato, Root Pulp, Shepherd's Pie, and Taproot."
