"Quest","Quick Walkthrough","Detailed Walkthrough"
"https://en.uesp.net/wiki/Skyrim:The_Affairs_of_Hagravens","Find Melka imprisoned in Blind Cliff Cave. Protect her from Forsworn as you travel through the tower. Kill Petra.","A Hagraven in Need[edit] Upon entering Blind Cliff Bastion you will see the hagraven Melka in a cage. As you approach her, she will ask you to free her and help her reclaim her tower from another hagraven, Petra. To release Melka, pull the chain near the cage. After leaving the cage she will then lead you through her tower. The first room displays a central stone slab adorned with three handles; Melka will tell you that the middle one is the correct one to use. Pull the handle and go through the gate it opens. Follow the short path into a room inhabited by a Forsworn. There will then be a gate with a tunnel full of swinging blades. Melka will mention a lever that will stop the blades: she will then pull a handle on the floor that lowers a section of a wall, revealing another lever to do just that. Reclaiming the Tower[edit] Move through the tunnel and go up the stairs. After the stairs you will pass a section of wall that moves away when the nearby handle is pulled. Through the newly cleared section of wall are some ingots and a chest. The next room has an alchemy lab, and is referred to by Melka as her ""parlor"". Follow the path past the quicksilver ore. The next room contains Petra and two Forsworn. Killing them and Petra will result in Melka rewarding you with the unique staff, Eye of Melka. If Melka died anywhere along the way you can simply loot the staff from her corpse."
"https://en.uesp.net/wiki/Skyrim:Aftershock","Speak with Tolfdir. Travel to location where the rupture is and defeat enemies in its vicinity. Return for your reward.","This quest is initiated from Tolfdir at the College of Winterhold after becoming Arch-Mage. When asked ""Is there anything I should be aware of?"" Tolfdir will respond that there is some sort of magical disturbance which seems to be related to the Eye of Magnus, and will provide a quest location. Travel to the quest location given. The map marker will point you to any one of twenty-seven locations in Skyrim (there are three possible locations in each hold). Defeat the Magic Anomalies and return to Tolfdir for a leveled gold reward. However, if the rupture occurred in Winterhold, then you do not receive anything, as the College gets no thanks from the already unhappy citizens. Reward[edit] Levels Reward   1–9 500   10–19 750   20–29 1,000   30–39 1,250   40+ 1,500 Possible Locations[edit] Hold X Y Z Map   Eastmarch  156774 34973.2 -12097.3 (map)   150116 -19969.3 -9522.54 (map)   157887 -10004 -5701.51 (map)   Falkreath  11456.6 -87138.9 9099.58 (map)   3191.81 -74939.1 4265.12 (map)   -6586.35 -53651.6 1571.73 (map)   Haafingar  -115923 125363 -13348 (map)   -150279 112002 -13856 (map)   -59606 129451 -10192.1 (map)   Hjaalmarch  -26330.7 54009.8 -11479.4 (map)   -22964.2 96914.9 -13116.8 (map)   -17923.1 114182 -13608.7 (map)   The Pale  67783.6 41701.1 -7949.6 (map)   13956.8 81918.3 -10131.7 (map)   26322 53657.4 -7227.48 (map)   The Reach  -122084 15215.7 -4146.69 (map)   -93317 63170.8 -12512 (map)   -129837 60564.9 -9449.18 (map)   The Rift  154730 -106058 10797.1 (map)   105575 -74706.2 10646.9 (map)   136527 -69979 14900.1 (map)   Whiterun  -51447.9 14353.8 -6905.97 (map)   43888.8 -9992.87 -2488.3 (map)   -5524.83 2130.19 -6528.94 (map)   Winterhold  87612.1 91605 -10019.7 (map)   87813.4 76805.4 -5513.69 (map)   138605 68813.2 -7901.52 (map)"
"https://en.uesp.net/wiki/Skyrim:Alchemy_Tutorial","Ask for permission to use the alchemy lab. Combine the ingredients at an alchemy lab to create a potion.","The Recipe[edit] Ask any of the quest givers if you can use the alchemy lab located in their shop or inn, as the case may be. They will all consent with the same reply, ""Long as you clean up. You know how to use it right? Mix a couple of ingredients together, see what happens. A little Wheat and Blisterwort makes a healing potion, if you didn't know. We have plenty of ingredients for sale, too.""  This is just a suggestion, crafting any potion will complete the quest objective, you can buy ingredients directly from the quest giver. Crafting the Potion[edit] Once your ingredients are collected, approach the alchemy lab and select at least two of them. Note that to succeed into crafting a potion, each ingredient must share an alchemical effect with another. Confirm the crafting and create a potion to complete the quest. After this, the effect will be added to the Alchemy menu if you don't have it already."
"https://en.uesp.net/wiki/Skyrim:Alduin%27s_Bane","Read the Elder Scroll at the Throat of the World. Learn how to use the Dragonrend shout. Defeat Alduin.","The Time-Wound[edit] As soon as you claim the Elder Scroll from the Tower of Mzark, this quest starts and points you back to the Throat of the World where Paarthurnax awaits. Exit the tower by using the lift to the east and pull the handle on the surface, thus providing yet another shortcut to Blackreach. You will find yourself a long way from Alftand where you initially entered and may wish to loot the abandoned camp just outside the tower entrance. Travel back to the Throat of the World and Paarthurnax will be quite impressed with your efforts: ""You have it. The Kel - the Elder Scroll. Tiid kreh... qalos. Time shudders at its touch. There is no question. You are doom-driven. Kogaan Akatosh. The very bones of the earths are at your disposal. Go then. Fulfill your destiny. Take the Scroll to the Time-Wound. Do not delay. Alduin will be coming. He cannot miss the signs."" Make your way a few feet to the northwest and you will see the Time-Wound, an unnatural ripple of air that distorts light passing through it. Go into the middle, find the Elder Scroll in your inventory, and read it:  A Glimpse into the Past[edit] ""Know that Gormlaith sent you down to death!"" ""Which is why I brought the Elder Scroll."" ""Alduin approaches!"" ""Begone, World-Eater!"" ""You are banished!"" After a temporary blindness, you will regain your vision and find yourself in the Merethic Era, unable to move and forced to watch past events. The strange carvings on the Elder Scroll will still be visible and your vision blurred and tinted red. You will watch as the ancient Nords, Hakon One-Eye and Gormlaith Golden-Hilt, fight a dragon atop the Throat of the World. The battle will begin with Hakon on his own, until Gormlaith comes rushing in and jumps on top of the dragon: Hakon: ""Gormlaith! We're running out of time! The battle..."" Dragon: ""Daar sul thur se Alduin vokrii. Today Alduin's lordship will be restored. But I honor your courage. Krif voth ahkrin. Die now, in vain."" Hakon: (attacks) ""For Skyrim!"" Gormlaith: (joins the attack and kills the dragon) ""Know that Gormlaith sent you down to death!"" After killing the dragon they will sheathe their swords and walk past a desecrated corpse, talking about their victory: Gormlaith: ""Hakon! A glorious day, is it not!"" Hakon: ""Have you no thought beyond the blooding of your blade?"" Gormlaith: ""What else is there?"" Hakon: ""The battle below goes ill. If Alduin does not rise to our challenge, I fear all may be lost."" Gormlaith: ""You worry too much, brother. Victory will be ours."" At this point, Felldir the Old will emerge from behind you and join the conversation: Hakon: (To Felldir) ""Why does Alduin hang back? We've staked everything on this plan of yours, old man."" Felldir: ""He will come. He cannot ignore our defiance. And why should he fear us, even now?"" Gormlaith: ""We've bloodied him well. Four of his kin have fallen to my blade alone this day."" Felldir: ""But none have yet stood against Alduin himself. Galthor, Sorri, Birkir..."" Gormlaith: ""They did not have Dragonrend. Once we bring him down, I promise I will have his head."" Felldir: ""You do not understand. Alduin cannot be slain like a lesser dragon. He is beyond our strength. Which is why I brought the Elder Scroll."" Felldir will then pull out the ancient Elder Scroll, much to the surprise of Hakon: Hakon: ""Felldir! We agreed not to use it!"" Felldir: ""I never agreed. And if you are right, I will not need it."" Hakon: ""No. We will deal with Alduin ourselves, here and now."" Gormlaith: ""We shall see soon enough. Alduin approaches!"" Hakon: ""So be it."" While the Nords draw their weapons, Alduin will land atop the word wall and speak: Alduin: ""Meyye! Tahrodiis aanne! Him hinde pah liiv! Zu'u hin daan!"" Gormlaith: ""Let those that watch from Sovngarde envy us this day!"" At this point, the Nords will release the Dragonrend shout. When they shout, you will automatically learn the shout. In the skies, Alduin will feel mortality rise through his body and will immediately be forced to land: Alduin: ""Nivahriin joorre! What have you done? What twisted Words have you created?! Tahrodiis Paarthurnax! My teeth to his neck! But first... dir ko maar. You will die in terror, knowing your final fate... To feed my power when I come for you in Sovngarde!"" Gormlaith: ""If I die today, it will not be in terror. You feel fear for the first time, worm. I see it in your eyes. Skyrim will be free!"" The three Nords will then proceed to attack the World-Eater, but to no avail. Alduin will pick up Gormlaith between his teeth and fling her to the right, killing her: Hakon: ""No, damn you! It's no use! Use the Scroll, Felldir! Now!"" Felldir: ""Hold, Alduin on the Wing! Sister Hawk, grant us your sacred breath to make this contract heard! Begone, World-Eater! By words with older bones than your own we break your perch on this age and send you out! You are banished! Alduin, we shout you out from all our endings unto the last!"" Alduin: ""Faal Kel...?! Nikriinne..."" A surprised Alduin will futilely breathe fire at Felldir before disappearing into the flow of time, to an unknown era. Felldir, however, knows that the defeat was only temporary: Felldir: ""You are banished!"" Hakon: ""It worked... you did it..."" Felldir: ""Yes, the World-Eater is gone... may the spirits have mercy on our souls."" Alduin[edit] Directly after the cutscene, when you arrive back in the present, Alduin will appear at the Throat of the World, shouting: ""Bahloki nahkip sillesejoor. My belly is full of the souls of your fellow mortals, Dovahkiin. Die now and await your fate in Sovngarde!"" Paarthurnax will then interfere, saying: ""Lost funt. You are too late, Alduin! Dovahkiin! Use Dragonrend, if you know it!"" Alduin battles Paarthurnax at the Throat of the World. Paarthurnax and Alduin will take flight, attacking each other in the air. Paarthurnax tells you to use your Dragonrend shout if you can, and indeed, when the chance arises, use Dragonrend on Alduin, forcing him to the ground. It can be rather difficult distinguishing between the two dragons if the battle is done at night or while it is snowing.  The quest arrow on your compass always points to Alduin, so use that to distinguish between them. During the battle, Alduin may say some of the following taunts: ""Dovahkiin, you call yourself? Arrogant mortal."", ""Bahloki nahkip sillesejoor."", ""I will feast on your soul in Sovngarde!"", ""You are no match for me, joor!"", ""Paarthurnax is weak. I am strong."", ""My time has come again."", ""Maar saraan ko Sovngarde."", ""I have feasted on many greater than you."", or ""You will pay for your defiance!"" When Alduin is grounded, he may say: ""My teeth to your neck, Dovahkiin!"" When he is grounded, you must attack him as much as you can before he takes flight again. This may take a few tries, since he has a huge health pool and does reasonable damage. Be wary of Alduin's ""Dragon Storm Call"" shout, which causes fiery meteors to rain from the sky, causing both fire and physical damage. Note that Clear Skies will cancel the meteor shower, and has such a short recharge time that it won't interfere with using Dragonrend on him. In particular, using Dragonrend immediately when it recharges will keep Alduin grounded for the whole fight. When Alduin's health drops to zero, he says: ""Meyz mul, Dovahkiin. You have become strong. But I am Al-du-in, Firstborn of Akatosh! Mulaagi zok lot! I cannot be slain here, by you or anyone else! You cannot prevail against me. I will outlast you... mortal!"" He will then fly off, completing the quest."
"https://en.uesp.net/wiki/Skyrim:Alduin%27s_Wall","Escort Esbern to Riverwood. Talk to Esbern. Gain entrance to Sky Haven Temple. Learn the secret of Alduin's Wall.","Blades Reunited[edit] From The Ratway in Riften, it is necessary to travel with Esbern back to Riverwood so he can meet with Delphine. Make your way out of the Ratway by backtracking the way you came in, avoiding or defeating the Thalmor agents and various underworld criminals you may encounter along the way. The Esbern dialogue option ""Do you know the way out of here?"" will cause Esbern to lead the way through the Ratway rather than follow you (however, this can be glitched). Once outside, travel back to Riverwood and into the Sleeping Giant Inn. Upon arriving at the inn, you will be greeted by Delphine, who is surprised to see Esbern alive. After a brief reunion between the two former Blades, Delphine will wish to speak to the two of you in private. Delphine will lead you to the secret cellar, where Esbern announces that his intention is to find an ancient Blades prophecy. He will go on to say the group must leave for Sky Haven Temple, a Blades headquarters built up around an ancient Akaviri military camp in the Reach. Of particular importance within that location is a structure from the First Era known as Alduin's Wall, which may tell how to defeat Alduin. Delphine soon realizes that Esbern's description of the temple's location matches her knowledge of the Karthspire, and the Blades agree to set out for that location. Delphine tells Orgnar that the Inn is now his and bids him farewell. At this point, you can choose to either travel with the Blades or alone, heading towards the marker Delphine placed on your map. If you choose to travel alone, it may be easier to take a carriage to Markarth and then head east, as Delphine recommends. You can also take the longer route through Falkreath Hold, though this is generally easier if you have the Blades with you. The Karthspire[edit] Whether you went as a group or solo, when you arrive at the Karthspire Camp you will find yourself up against a horde of Forsworn, and possibly a hagraven. Both Delphine and Esbern will arrive and assist you (and probably aggravate the entire camp in the process: if you want to make sure they don't do that, you may have to ask them to ""wait here"" a considerable distance away.) Though you can stand and fight, if the battle begins to overwhelm you, it is simple to retreat into the Karthspire caverns themselves (but see the Bugs section). You will now need to journey through the interior of the Karthspire, defeating the three Forsworn, including a Forsworn Briarheart, and making your way to the beginning of the Akaviri ruins. Sky Haven Temple[edit] Heading up the stone steps on the right you will be confronted with a trio of three-sided pillars, each side inscribed with a symbol. According to Esbern, they are of Akaviri origin, but the one that matters most to you is the symbol meaning 'Dragonborn'. This symbol resembles two dragon heads facing each other and an arrow pointing down. Activate all three pillars until this symbol is facing you. This will lower the bridge to your left, allowing you and the Blades to continue. In the next chamber you will be confronted with a floor of pressure plates, inscribed with the same three symbols as the pillars. Once again the Dragonborn symbol is the key; stepping only on these tiles to reach the other side. Stepping off of the route will cause a fireball to be launched, so moving slowly is advisable. If you prefer, you can use the Whirlwind Sprint shout to move across without triggering the trap. Once safely on the other side, pull the chain to allow the Blades to cross, and exit the chamber. You will need to travel across a pair of bridges, and then into the entrance chamber of Sky Haven Temple. Esbern heads for a large stone head built into the far wall, which, according to Esbern, is the visage of Reman Cyrodiil. In fact, the entire temple is some sort of shrine to him. In front of the head is a large carved circle, which Esbern declares to be a ""blood seal"", requiring the blood of a Dragonborn to function. Activating the circle prompts you to cut your hand, dripping blood on the circle. The stone head then retracts, and an opening is revealed. Delphine and Esbern take a few moments in the following tunnel to inspect the Akaviri carvings and light the braziers, but you may wish to run ahead and view the temple proper. Upon arriving, Esbern is immediately attracted to a large relief on the far wall, Alduin's Wall. He moves over to inspect it, taking several moments to fully identify it. The wall depicts the history of Alduin and the Dragon Cult, and details a prophecy regarding their defeat. Ultimately, he proclaims that the ancient Nords actually used a shout to defeat Alduin, and Delphine turns to you asking if you know of such a shout. Alduin's Wall relief At this point, your best source of information is likely the Greybeards, however much Delphine may dislike them. Esbern will go on to explain that the last panel speaks of Alduin's return and his contending with the last Dragonborn at the end of time. From here, take a moment to explore the Temple to locate the leveled sword Dragonbane found in a room almost straight opposite Alduin's Wall. Bid farewell to the two Blades, both of them enraptured by Sky Haven Temple, and leave the building. Your next destination is High Hrothgar, home of the Greybeards. Achievements[edit] One achievement is unlocked when you complete this quest: Alduin's Wall (20 points/Bronze)"
"https://en.uesp.net/wiki/Skyrim:Alteration_Ritual_Spell","Talk to Tolfdir in the College of Winterhold when your Alteration skill is 90 or higher. Find Kahvozein's Fang. Harvest dragon heartscales. Return to Tolfdir.","Kahvozein's Fang[edit] To initiate this quest, you must have an Alteration skill of 90 or higher. Speak with Tolfdir and ask if there is anything new that he can teach you. He tells you that he has been working on a new spell but, to complete his research, he needs heartscales. These must be cut from a dragon's skeleton and can only be done using a dagger called Kahvozein's Fang. He asks you to retrieve the blade, which can be found in a radiant dragon priest dungeon. Possible dungeons are listed below: Dungeon Category Region   Forelhost  Nordic Ruins  The Rift   High Gate Ruins  Nordic Ruins  The Pale   Lost Valkygg  Ruins  Hjaalmarch   Ragnvald  Nordic Ruins  The Reach   Valthume  Nordic Ruins  The Reach   Volskygge  Nordic Ruins  Haafingar The Heartscales[edit] Once you have the dagger, you must either slay a dragon or locate a dragon corpse in order to retrieve the heartscales. If you intend on hunting down a live dragon, it is not necessary to slay it using Kahvozein's Fang. You need only equip the dagger in your right hand (it won't work with your left hand) and loot the creature's corpse. The heartscales will automatically be added to your inventory. Once you have the scales, bring them back to Tolfdir.  He will reward you with the Dragonhide spell tome, and will now sell the Mass Paralysis spell tome."
"https://en.uesp.net/wiki/Skyrim:Amber_and_Madness_Smithing","Investigate the area north of Mistwatch. Kill Evethra. Read Evethra's Journal.","After defeating Thoron for Restoring Order (or by sneaking to avoid his detection while he is still alive), you can loot the items on his work table. The note Note on Amber and Madness Ore will give you a miscellaneous quest to investigate the area north of Mistwatch. Travel to Mistwatch, a tower just east of the Atronach Stone. In the geyser fields just north of the tower, you'll find a stone altar and the camp of the mad blacksmith Evethra. Approach her and the objective will update to ""Kill Evethra"". Do so, then loot her journal along with the unique Arcane Blacksmith's Apron. Read the journal to complete the quest and gain the ability to craft Amber/Madness items using the Glass Smithing and Ebony Smithing perks respectively."
"https://en.uesp.net/wiki/Skyrim:Amulet_of_the_Moon","Talk to Kharjo. Retrieve the Moon Amulet. Return to Kharjo.","A Stolen Treasure[edit] Kharjo is a Khajiit caravan guard traveling with Ahkari. Due to the roving nature of his occupation he can be difficult to track down, but keep in mind that Ahkari's caravan makes stops just outside of Dawnstar and Riften. When speaking to Kharjo, he will remark that the caravan was ambushed by a group of bandits. Normally, the Khajiit are able to scare away this type of nuisance, but this time the bandits made off with his heirloom amulet. The amulet was given to him by his mother when he was a cub, and is the only thing to keep him warm in this cold land. When you tell him that you will retrieve it for him, he is appreciative of your desire to help, but will also say that it is not enough to lose your life over. He will then send you to the randomly determined bandit hideout. Find the Amulet[edit] This is a list of possible locations for the Amulet: Eastmarch  Falkreath Hold  Haafingar  Hjaalmarch  The Pale  The Rift  Whiterun Hold  Winterhold  SolstheimDB   Cragslane CavernGallows RockLost Knife HideoutStony Creek CaveUttering Hills Camp  Bilegulch MineCracked Tusk KeepEmbershard MineKnifepoint Ridge  Broken Oar Grotto  OrotheimRobber's Gorge  Frostmere Crypt  Broken Helm HollowFaldar's ToothRift WatchtowerTreva's Watch  Halted Stream CampRedoran's RetreatSwindler's DenValtheim KeepWhite River Watch  Fort Fellhammer  Bloodskal BarrowDamphall MineHrodulf's House Acquiring the amulet will involve visiting the hideout in question. Track down, and either slay or sneak past its bandit inhabitants to take the amulet from the boss chest at the end of the dungeon. Return to Kharjo, but be aware that he may have moved or could be on the road while you are looking for him. Your Reward[edit] Once you find him, Kharjo will be most pleased to have the Moon Amulet again. He will give you a leveled amount of gold and becomes a potential follower. Levels Reward   1–9 400   10–19 600   20–29 800   30–39 1,000   40+ 1,200"
"https://en.uesp.net/wiki/Skyrim:Amulets_of_Night_Power","Speak to Feran Sadri. Retrieve both of the Amulets of Night Power. Return to Feran.","Talk to Feran Sadri in Volkihar Keep and he will tell you of two amulets which will augment your powers as a Vampire Lord. He will direct you to two random locations, one containing the Amulet of Bats and the other containing the Amulet of The Gargoyle. The amulet may be in possession of a boss or in the chest at the end of a dungeon. Head to the two dungeons shown on your map, retrieve the amulets, and return to Feran, who will give you several potions of blood as a reward."
"https://en.uesp.net/wiki/Skyrim:Ancestral_Worship","Talk to Golldir outside Hillgrund's Tomb. Accompany him as he tries to rescue his aunt Agna from Vals Veran. Find a way into the room where Vals Veran is hiding. Kill Vals Veran. *(Optional) Protect Golldir.","Necromancer in the Barrow[edit] Within the antechamber of Hillgrund's Tomb, you'll encounter a Nord named Golldir. He explains that a necromancer named Vals Veran is inside his ancestral barrow, defiling it. His aunt Agna went in to put a stop to this, but Golldir was too scared to go with her. If pressed, he will explain that he has been terrified of the barrow ever since his father locked him in it as a child. If you accept, he will accompany you into the barrow to help rescue his aunt and kill Veran. Rescuing Agna[edit] The tomb is very linear and any offshoots are only small, dead-end rooms. As you continue down the stairs, draugr will attack in small waves. Several varieties will be present in each wave. Like all normal barrows, exploration into the burial sites will lead to more attacks as entombed draugr come to life. Golldir may raise a vocal objection to you looting his ancestors, but concedes to allowing it since you are helping him. There is no chance of successfully rescuing Aunt Agna; at the bottom of the room you'll find her corpse. The door to the burial chamber where Veran is located is barred shut. Reaching Vals Veran[edit] With more resolve, Golldir will lead you through the abandoned section of the barrow to find a secret way into the chamber where Veran is hiding. This section is full of his disgraced ancestors and the draugr numbers are larger here. Stronger varieties of draugr are entombed in the walls, but should only appear singly. After passing through a room with a single spider ambush, a simple puzzle will present itself. Before you leave the spider room look for a Sanctified Mace behind the web on the left of the room. In order to pass the puzzle the plaque with a bear on it must be located. A chain hanging from that plaque will open a secret door that leads to the main chamber. Confronting Vals Veran[edit] If you've had problems up until now, this next area may prove very troublesome. The room is a large tiered burial chamber with sarcophagi all around. As you approach the top, Vals Veran will come out and start speaking of death's beauty. Whether you try to talk to him, attack him, or let him finish his speech, he will eventually disappear and teleport across the room. Attacking him at this juncture is futile as he will simply teleport across the room and heal. If you are quick, you can kill him with a single power attack before he teleports, but you will still need to fight off the waves of draugr. You can also kill him using a sneak attack almost as soon as you enter the room, if your Sneak and Archery skills are high enough—but once again, you'll still have to deal with all the draugr. A goal is also to keep Golldir alive through the battle, to earn the gold reward. If you don't manage to kill Veran instantly, you'll need to focus instead on the waves of draugr. They can quickly swarm you and any followers while Veran casts damaging Frost magic from afar. The third wave of draugr will contain a boss-level draugr that must be dealt with. After dispatching it, Veran will continue to summon more draugr (but in lesser numbers), but most importantly, will stop teleporting. He can now be hunted down and killed. Golldir will thank you for your help and state that he will remain close by the tomb and spend his time hunting. Reward[edit] Killing Vals Veran will grant you the Hillgrund's Tomb Crypt Key, which can be found on Veran's body. The highest reward is only granted if Golldir is kept alive. If he survives, he will give you a large leveled amount of gold and a Hillgrund's Chest Key, which opens an augmented loot chest, located just beyond the main burial chamber (where the battle with Veran took place), through the door at the top of the stairs. Beyond the chest is the barred door leading to the room in which Aunt Agna's body was found. If you do not receive this key, you can loot it from Golldir's corpse or just pick the expert-leveled lock on the chest. After you exit the tomb you can speak to Golldir again (if he's alive) about becoming a follower. This dialogue option will not open up until after you leave the tomb. Levels Reward   1–9 500   10–19 750   20–29 1,000   30–39 1,250   40+ 1,500"
